split,hour,n_rows,active_count,weak_count,inactive_count,mean_power,positive_rate
test,6,8296,616,646,7034,0.15087873674059787,0.0742526518804243
test,7,8296,3261,1860,3175,0.27667430086788813,0.39308100289296044
test,8,8296,6802,456,1038,0.6747999035679846,0.8199132111861138
test,9,8296,7102,278,916,1.1594431051108969,0.8560752169720347
test,10,8296,7276,146,874,1.5271202989392478,0.8770491803278688
test,11,8296,7317,119,860,1.7808088235294117,0.8819913211186113
test,12,8296,7338,111,847,1.8480568948891032,0.8845226615236258
test,13,8296,7339,105,852,1.7104375602700097,0.8846432015429122
test,14,8296,7258,176,862,1.4372528929604629,0.8748794599807136
test,15,8296,7184,233,879,1.010291706846673,0.8659594985535197
test,16,8296,6654,611,1031,0.5391935872709739,0.8020732883317261
test,17,8296,2231,1529,4536,0.23192381870781098,0.2689247830279653
test,18,8296,672,621,7003,0.13860776277724202,0.08100289296046287
test,19,8296,531,162,7603,0.12931412729026037,0.06400675024108003
train,6,30110,7869,3186,19055,0.14513616738625043,0.26134174692793094
train,7,30110,17514,3250,9346,0.4932341414812355,0.5816672201926271
train,8,30110,25405,1586,3119,1.0952919295914978,0.8437396213882431
train,9,30113,26973,565,2575,1.785147942748979,0.8957260983628333
train,10,30120,27345,319,2456,2.3031301460823372,0.9078685258964143
train,11,30122,27455,252,2415,2.61794535555408,0.9114600624128544
train,12,30125,27519,250,2356,2.721980082987552,0.9134937759336099
train,13,30125,27499,267,2359,2.613073858921162,0.9128298755186722
train,14,30125,27470,311,2344,2.295407468879668,0.9118672199170125
train,15,30136,27286,465,2385,1.788265197770109,0.9054287231218476
train,16,30142,26437,1112,2593,1.1445458164687148,0.8770818127529693
train,17,30145,20075,3843,6227,0.5605589650024879,0.6659479183944269
train,18,30144,12241,3824,14079,0.21508293524416136,0.40608412951167727
train,19,30144,1819,3380,24945,0.08034169320594481,0.06034368365180467
valid,6,4216,2575,586,1055,0.23150379506641366,0.6107685009487666
valid,7,4216,3500,171,545,0.7690227703984819,0.8301707779886148
valid,8,4216,3723,64,429,1.3984274193548387,0.8830645161290323
valid,9,4216,3741,43,432,1.9553107210626186,0.8873339658444023
valid,10,4216,3789,15,412,2.377803605313093,0.898719165085389
valid,11,4216,3799,10,407,2.6105882352941174,0.9010910815939279
valid,12,4216,3801,8,407,2.689357210626186,0.9015654648956357
valid,13,4216,3795,11,410,2.6103984819734345,0.9001423149905123
valid,14,4216,3761,10,445,2.3881214421252372,0.8920777988614801
valid,15,4216,3733,42,441,1.9772509487666035,0.8854364326375711
valid,16,4216,3751,47,418,1.4998956356736244,0.8897058823529411
valid,17,4216,3727,62,427,0.8920303605313094,0.8840132827324478
valid,18,4216,3304,364,548,0.34941176470588237,0.7836812144212524
valid,19,4216,238,1137,2841,0.0886764705882353,0.056451612903225805
