month,hour,n_rows,n_sites,positive_rate,inactive_rate,actual_mean_mw,pred_mean_mw,bias_pct,abs_bias_pct,city_nrmse_pct
7,6,2108,68,0.8159,0.1841,0.2674,0.2294,-14.2157,14.2157,1.2032
7,7,2108,68,0.8899,0.1101,0.8965,0.847,-5.5279,5.5279,2.398
7,8,2108,68,0.9094,0.0906,1.6103,1.4772,-8.2639,8.2639,4.7496
7,9,2108,68,0.9113,0.0887,2.2345,2.0831,-6.7797,6.7797,5.8113
7,10,2108,68,0.9108,0.0892,2.6689,2.4482,-8.2715,8.2715,6.1887
7,11,2108,68,0.9118,0.0882,2.9064,2.7285,-6.1225,6.1225,7.2556
7,12,2108,68,0.9127,0.0873,2.9618,2.8077,-5.2039,5.2039,6.6005
7,13,2108,68,0.9127,0.0873,2.9015,2.7822,-4.1137,4.1137,5.8303
7,14,2108,68,0.9113,0.0887,2.6187,2.5494,-2.646,2.646,7.517
7,15,2108,68,0.9075,0.0925,2.1953,2.0301,-7.5246,7.5246,7.6324
7,16,2108,68,0.9137,0.0863,1.6716,1.5423,-7.7326,7.7326,6.3342
7,17,2108,68,0.9137,0.0863,1.0315,0.9344,-9.4164,9.4164,3.8664
7,18,2108,68,0.9056,0.0944,0.419,0.4136,-1.2875,1.2875,1.4363
7,19,2108,68,0.547,0.453,0.0681,0.0879,28.9487,28.9487,0.7896
8,6,2108,68,0.6836,0.3164,0.1956,0.1389,-29.0081,29.0081,1.1985
8,7,2108,68,0.8515,0.1485,0.6415,0.5432,-15.33,15.33,3.0023
8,8,2108,68,0.8871,0.1129,1.1865,1.1342,-4.409,4.409,3.394
8,9,2108,68,0.8838,0.1162,1.6761,1.6922,0.9622,0.9622,5.2875
8,10,2108,68,0.8937,0.1063,2.0867,2.0604,-1.2619,1.2619,6.8802
8,11,2108,68,0.8952,0.1048,2.3148,2.2253,-3.8653,3.8653,7.285
8,12,2108,68,0.8942,0.1058,2.4169,2.3407,-3.1547,3.1547,6.1952
8,13,2108,68,0.8928,0.1072,2.3193,2.3132,-0.2601,0.2601,7.1265
8,14,2108,68,0.8776,0.1224,2.1576,2.1119,-2.118,2.118,7.5672
8,15,2108,68,0.8833,0.1167,1.7592,1.7091,-2.8494,2.8494,6.024
8,16,2108,68,0.888,0.112,1.3282,1.2501,-5.8827,5.8827,4.9223
8,17,2108,68,0.8838,0.1162,0.7525,0.6905,-8.2406,8.2406,2.9298
8,18,2108,68,0.8344,0.1656,0.2798,0.2474,-11.5637,11.5637,1.1708
8,19,2108,68,0.1053,0.8947,0.1092,0.0716,-34.4282,34.4282,0.7508
9,6,2040,68,0.3397,0.6603,0.176,0.1142,-35.0882,35.0882,1.2038
9,7,2040,68,0.8137,0.1863,0.4537,0.3063,-32.4825,32.4825,3.3221
9,8,2040,68,0.8627,0.1373,0.9105,0.849,-6.7478,6.7478,3.6599
9,9,2040,68,0.875,0.125,1.3433,1.3405,-0.2091,0.2091,5.4486
9,10,2040,68,0.8809,0.1191,1.6218,1.6788,3.5173,3.5173,6.1391
9,11,2040,68,0.8809,0.1191,1.8066,1.8486,2.3275,2.3275,8.4145
9,12,2040,68,0.8809,0.1191,1.8371,1.9736,7.4316,7.4316,7.8978
9,13,2040,68,0.8789,0.1211,1.7403,1.8917,8.6992,8.6992,8.2775
9,14,2040,68,0.8765,0.1235,1.5467,1.6168,4.5292,4.5292,8.4114
9,15,2040,68,0.873,0.127,1.2177,1.188,-2.436,2.436,4.1545
9,16,2040,68,0.8603,0.1397,0.8373,0.8134,-2.8644,2.8644,2.8964
9,17,2040,68,0.8157,0.1843,0.4283,0.3605,-15.8245,15.8245,1.9763
9,18,2040,68,0.3701,0.6299,0.185,0.0886,-52.1013,52.1013,1.7723
9,19,2040,68,0.0858,0.9142,0.1622,0.0636,-60.7538,60.7538,1.8227
10,6,2108,68,0.0911,0.9089,0.1599,0.071,-55.5982,55.5982,1.5572
10,7,2108,68,0.7709,0.2291,0.3118,0.1874,-39.9115,39.9115,2.6669
10,8,2108,68,0.8762,0.1238,0.7031,0.6723,-4.3806,4.3806,3.0639
10,9,2108,68,0.8838,0.1162,1.0517,1.1731,11.5497,11.5497,5.5693
10,10,2108,68,0.8866,0.1134,1.3394,1.5806,18.0101,18.0101,7.7759
10,11,2108,68,0.8904,0.1096,1.5447,1.7009,10.112,10.112,5.4204
10,12,2108,68,0.8947,0.1053,1.6056,1.7446,8.658,8.658,5.4013
10,13,2108,68,0.8918,0.1082,1.4815,1.6462,11.1174,11.1174,6.7285
10,14,2108,68,0.8909,0.1091,1.2816,1.3384,4.4312,4.4312,5.4806
10,15,2108,68,0.8899,0.1101,0.9306,0.9197,-1.1713,1.1713,4.0188
10,16,2108,68,0.8695,0.1305,0.5187,0.5275,1.695,1.695,2.151
10,17,2108,68,0.6504,0.3496,0.2166,0.1399,-35.4026,35.4026,1.4839
10,18,2108,68,0.0901,0.9099,0.1617,0.0665,-58.9092,58.9092,1.6764
10,19,2108,68,0.0849,0.9151,0.16,0.0593,-62.9539,62.9539,1.7642
11,6,2040,68,0.1074,0.8926,0.1622,0.068,-58.0896,58.0896,1.6658
11,7,2040,68,0.727,0.273,0.2273,0.12,-47.2179,47.2179,2.001
11,8,2040,68,0.899,0.101,0.7019,0.5833,-16.9063,16.9063,3.2849
11,9,2040,68,0.9025,0.0975,1.2925,1.3205,2.1686,2.1686,4.0599
11,10,2040,68,0.9054,0.0946,1.7689,1.8684,5.6257,5.6257,5.0594
11,11,2040,68,0.9064,0.0936,2.0882,2.0602,-1.3429,1.3429,5.1304
11,12,2040,68,0.9074,0.0926,2.1702,2.1565,-0.629,0.629,5.2975
11,13,2040,68,0.9088,0.0912,1.9666,2.0365,3.5502,3.5502,3.8561
11,14,2040,68,0.9083,0.0917,1.6049,1.7127,6.717,6.717,3.7175
11,15,2040,68,0.9093,0.0907,1.0406,1.1219,7.808,7.808,2.6197
11,16,2040,68,0.9034,0.0966,0.4594,0.4957,7.9033,7.9033,1.3643
11,17,2040,68,0.2319,0.7681,0.1688,0.0381,-77.4267,77.4267,2.3207
11,18,2040,68,0.1103,0.8897,0.1644,0.0624,-62.0641,62.0641,1.8263
11,19,2040,68,0.1083,0.8917,0.1607,0.056,-65.1584,65.1584,1.8538
12,6,2108,68,0.075,0.925,0.1066,0.0679,-36.3199,36.3199,0.6975
12,7,2108,68,0.1675,0.8325,0.118,0.074,-37.3138,37.3138,0.9132
12,8,2108,68,0.862,0.138,0.3921,0.2724,-30.5444,30.5444,2.433
12,9,2108,68,0.8971,0.1029,0.9605,0.9738,1.3832,1.3832,2.6634
12,10,2108,68,0.9056,0.0944,1.3893,1.4735,6.0654,6.0654,4.0022
12,11,2108,68,0.9075,0.0925,1.6944,1.7224,1.649,1.649,3.9292
12,12,2108,68,0.9084,0.0916,1.7894,1.817,1.5423,1.5423,4.3819
12,13,2108,68,0.9094,0.0906,1.6625,1.7469,5.0738,5.0738,4.726
12,14,2108,68,0.9084,0.0916,1.3247,1.5011,13.3187,13.3187,4.627
12,15,2108,68,0.9037,0.0963,0.8599,0.9361,8.8645,8.8645,2.4383
12,16,2108,68,0.87,0.13,0.3484,0.4015,15.2649,15.2649,1.2253
12,17,2108,68,0.1195,0.8805,0.1183,0.0359,-69.6351,69.6351,1.5254
12,18,2108,68,0.0583,0.9417,0.0456,0.0621,36.125,36.125,1.0388
12,19,2108,68,0.056,0.944,0.0365,0.0557,52.5241,52.5241,0.8467
