column,dtype,non_null_count,null_count,n_unique
time,datetime64[ns],596939,0,15344
site_id,object,596939,0,68
power_mw,float64,596939,0,2060
power_pred,float64,421771,175168,352197
pred_baseline,float64,421771,175168,408803
power_pred_cal,float64,421771,175168,274174
p_on_pred,float64,421771,175168,399810
rel_error_pred,float64,421771,175168,412663
g_blend_pred,float64,596939,0,548067
clear_sky_ghi,float64,596939,0,262425
p_base,float64,398946,197993,396529
capacity_mw,float64,596939,0,59
county,object,421771,175168,6
install_group,object,421771,175168,4
capacity_bucket,object,421771,175168,3
coastal_flag,float64,421771,175168,2
scene_v151,string,421771,175168,4
quality_score,float64,596939,0,68
calibration_enabled,object,421771,175168,2
split,object,596939,0,3
hour,int32,596939,0,14
power_pred_raw,float64,421771,175168,352197
power_pred_final,float64,175168,421771,120021
actual_mw,float64,421771,175168,2059
pred_mw,float64,421771,175168,274174
calibrated_ratio,float64,421771,175168,725
calibration_applied,object,421771,175168,2
hs_factor,float64,421771,175168,4
power_pred_round60_hour_scene,float64,421771,175168,313620
site_factor,float64,421771,175168,59
power_pred_round60_site_conservative,float64,421771,175168,313441
power_pred_round60_combined_conservative,float64,421771,175168,313441
power_pred_round60_safe,float64,421771,175168,313454
power_pred_final_round59,float64,421771,175168,313541
power_pred_final_round60,float64,421771,175168,313454
city_factor,float64,421771,175168,12
power_pred_round61_city,float64,421771,175168,313636
power_pred_round61_city_safe,float64,421771,175168,313636
power_pred_final_round61,float64,421771,175168,313636
month,float64,175168,421771,6
dayofyear,float64,175168,421771,184
pred_norm,float64,0,596939,0
clear_sky_index,float64,175168,421771,128738
scene_is_clear_peak,float64,0,596939,0
scene_is_mid,float64,0,596939,0
scene_is_low,float64,0,596939,0
scene_is_night,float64,0,596939,0
latitude,float64,175168,421771,1
longitude,float64,175168,421771,1
power_pred_ridge_residual,float64,0,596939,0
power_pred_lgb_residual,float64,0,596939,0
scene,object,0,596939,0
power_pred_round64_safe,float64,0,596939,0
time_block,object,596939,0,5
site_group,object,175168,421771,9
y_norm,float64,596939,0,22632
baseline_norm,float64,175168,421771,119529
pr_median,float64,175168,421771,68
bias,float64,175168,421771,68
zero_ratio,float64,175168,421771,67
power_pred_round68_lgb_safe_blend,float64,175168,421771,120021
active_threshold_mw,float64,596939,0,57
state_label,object,596939,0,3
residual_norm,float64,175168,421771,134764
site_zero_ratio_6_19,float64,596939,0,68
site_positive_count_train_valid,int64,596939,0,68
site_power_median,float64,596939,0,54
site_power_p90,float64,596939,0,63
