site_id,capacity_mw,n_total,n_train_valid,zero_count,weak_count,active_count,zero_ratio,weak_ratio,active_ratio,positive_count_6_19,power_mean,power_median,power_p90
S002,3.3,3439,1731,51,73,1607,0.029462738301559793,0.042172154823801274,0.9283651068746389,1680,0.955534373194685,0.47,2.37
S003,4.1667,11938,10230,2880,552,6798,0.28152492668621704,0.05395894428152493,0.6645161290322581,7350,0.7688172043010754,0.555,1.97
S004,3.97,3519,1811,179,36,1596,0.09884041965764771,0.019878520154610713,0.8812810601877415,1632,1.246305908337935,1.1,2.72
S006,5.0,3461,1753,315,6,1432,0.17969195664575013,0.0034227039361095267,0.8168853394181403,1438,0.5421791215059898,0.43,1.22
S007,22.0,15344,13636,2134,928,10574,0.156497506600176,0.06805514813728367,0.7754473452625403,11502,6.4767299794661195,4.545,16.055
S008,3.172,3844,2136,90,116,1930,0.042134831460674156,0.054307116104868915,0.903558052434457,2046,1.3208473782771535,1.14,2.84
S009,5.25,6115,4407,643,321,3443,0.14590424324937598,0.07283866575901975,0.7812570909916042,3764,1.3063036078965282,0.99,3.294000000000001
S010,2.0,15344,13636,2233,958,10445,0.1637577002053388,0.07025520680551481,0.7659870929891464,11403,0.4819008506893517,0.34,1.24
S011,2.323,15344,13636,1954,1132,10550,0.1432971545907891,0.0830155470812555,0.7736872983279555,11682,0.5135604282780875,0.38,1.27
S012,17.55,3435,1727,220,148,1359,0.12738853503184713,0.08569774174869717,0.7869137232194557,1507,3.068980891719746,1.72,8.078000000000001
S014,5.1,3440,1732,87,117,1528,0.05023094688221709,0.06755196304849885,0.8822170900692841,1645,1.4630715935334873,1.18,3.29
S016,8.5,3444,1736,246,26,1464,0.14170506912442396,0.014976958525345621,0.8433179723502304,1490,2.5653629032258065,2.15,5.64
S017,0.954,15344,13636,8942,175,4519,0.6557641537107656,0.012833675564681724,0.33140217072455264,4694,0.0962283660897624,0.0,0.41
S018,5.1,9390,7682,1180,381,6121,0.1536058318146316,0.04959645925540224,0.7967977089299662,6502,1.3869461077844312,1.1,3.37
S019,3.0,15344,13636,2532,683,10421,0.1856849515987093,0.05008800234672925,0.7642270460545615,11104,0.9199237312995012,0.66,2.3
S020,3.8,5180,3472,459,202,2811,0.13220046082949308,0.058179723502304145,0.8096198156682027,3013,1.0241532258064519,0.82,2.43
S021,2.2,3728,2020,321,64,1635,0.1589108910891089,0.031683168316831684,0.8094059405940595,1699,0.6201930693069306,0.48,1.57
S022,3.24,15344,13636,2818,1037,9781,0.2066588442358463,0.07604869463185684,0.7172924611322968,10818,0.5142087122323262,0.32,1.34
S023,16.37,15344,13636,2548,759,10329,0.1868583162217659,0.05566148430624817,0.757480199471986,11088,3.0697983279554126,2.24,7.69
S024,5.99,12436,10728,2512,643,7573,0.23415361670395227,0.05993661446681581,0.705909768829232,8216,1.2892132736763608,0.86,3.39
S025,5.65,8361,6653,1436,218,4999,0.2158424770780099,0.032767172704043286,0.7513903502179468,5217,1.3902585299864723,1.03,3.58
S028,3.14,6115,4407,903,110,3394,0.2049012933968686,0.02496029044701611,0.7701384161561152,3504,0.8879101429543907,0.69,2.184000000000001
S030,2.9,15344,13636,2056,871,10709,0.150777354062775,0.06387503666764446,0.7853476092695805,11580,0.7539982399530654,0.51,1.87
S031,0.9222,15344,13636,3046,123,10467,0.22337929011440305,0.009020240539747726,0.7676004693458492,10590,0.19007040187738342,0.14,0.48
S032,9.335,10500,8792,2042,765,5985,0.23225659690627842,0.08701091901728844,0.6807324840764332,6750,1.1778821656050955,0.72,2.72
S033,5.688,4121,2413,146,131,2136,0.060505594695399914,0.05428926647326979,0.8852051388313303,2267,2.115590551181102,1.87,4.54
S034,3.496,3119,1411,150,35,1226,0.10630758327427356,0.024805102763997167,0.8688873139617292,1261,1.158362863217576,0.96,2.59
S035,5.296,11578,9870,2111,692,7067,0.2138804457953394,0.0701114488348531,0.7160081053698075,7759,1.2569716312056738,0.82,3.35
S037,5.946,3462,1754,1751,0,3,0.9982896237172177,0.0,0.0017103762827822121,3,0.002810718358038769,0.0,0.0
S038,1.672,3440,1732,220,62,1450,0.12702078521939955,0.03579676674364896,0.8371824480369515,1512,0.6050115473441109,0.49,1.399000000000001
S039,3.45,3435,1727,80,110,1537,0.04632310364794441,0.06369426751592357,0.889982628836132,1647,0.9330746960046322,0.75,2.18
S040,5.96,3710,2002,281,74,1647,0.14035964035964035,0.03696303696303696,0.8226773226773226,1721,1.9519130869130872,1.585,4.429
S041,2.2,10262,8554,1436,313,6805,0.16787467851297638,0.036591068505962124,0.7955342529810615,7118,0.7701414542903905,0.59,1.86
S042,3.724,5661,3953,688,133,3132,0.17404502909182898,0.033645332658740194,0.7923096382494308,3265,1.0471135846192765,0.84,2.58
S044,8.492,4236,2528,2065,36,427,0.8168512658227848,0.014240506329113924,0.16890822784810128,463,0.5651977848101265,0.0,2.653000000000002
S045,2.915,4065,2357,774,401,1182,0.32838353839626644,0.17013152312261348,0.5014849384811201,1583,0.6982774713619008,0.06,2.37
S046,4.25,5324,3616,583,191,2842,0.16122787610619468,0.05282079646017699,0.7859513274336283,3033,1.165528207964602,0.9,2.9
S047,4.8,13398,11690,2101,851,8738,0.1797262617621899,0.0727972626176219,0.7474764756201882,9589,1.0294961505560307,0.78,2.56
S048,4.0,3439,1731,498,30,1203,0.2876949740034662,0.01733102253032929,0.6949740034662045,1233,0.7838128249566725,0.48,2.22
S049,14.1,15344,13636,2553,874,10209,0.1872249926664711,0.06409504253446759,0.7486799647990613,11083,2.6655888823701965,1.91,6.84
S050,2.55,3435,1727,88,126,1513,0.050955414012738856,0.07295888824551244,0.8760856977417487,1639,0.641621308627678,0.53,1.42
S051,5.025,3440,1732,92,120,1520,0.053117782909930716,0.06928406466512702,0.8775981524249422,1640,1.2097228637413393,1.01,2.65
S052,6.08,6986,5278,936,411,3931,0.17733990147783252,0.07787040545661235,0.7447896930655551,4342,1.0873758999621068,0.76,2.5
S053,13.33,15344,13636,1347,321,11968,0.09878263420357876,0.023540627750073335,0.8776767380463479,12289,3.4202024053974767,3.66,6.17
S054,11.272,4904,3196,684,167,2345,0.21401752190237797,0.05225281602002503,0.733729662077597,2512,2.291257822277847,1.69,5.79
S055,4.0,3435,1727,1210,0,517,0.7006369426751592,0.0,0.29936305732484075,517,0.3231499710480602,0.0,1.4140000000000008
S056,3.15,3519,1811,180,46,1585,0.09939260077305356,0.025400331308669245,0.8752070679182772,1631,0.8005963556046384,0.68,1.68
S058,5.99,15344,13636,1417,973,11246,0.10391610442945146,0.07135523613963039,0.8247286594309181,12219,1.1855206805514813,0.53,3.34
S059,2.0,15344,13636,2505,778,10353,0.18370489879730126,0.057054854796127895,0.7592402464065708,11131,0.43040701085362276,0.34,1.11
S060,5.84,3584,1876,98,88,1690,0.05223880597014925,0.046908315565031986,0.9008528784648188,1778,1.9788326226012793,1.71,4.34
S061,3.784,3519,1811,188,101,1522,0.10381004969630038,0.05577029265599116,0.8404196576477084,1623,1.1276532302595252,0.91,2.68
S062,4.45368,15344,13636,3457,589,9590,0.25352009386916985,0.043194485186271635,0.7032854209445585,10179,0.8049457318861838,0.54,2.125
S063,3.66,3438,1730,289,2,1439,0.16705202312138728,0.0011560693641618498,0.8317919075144509,1441,1.1972485549132947,1.02,2.65
S064,3.288,15344,13636,2954,125,10557,0.2166324435318275,0.009166911117629803,0.7742006453505427,10682,0.7177559401584042,0.49,1.83
S065,1.9239,15344,13636,1902,1200,10534,0.1394837195658551,0.08800234672924612,0.7725139337048988,11734,0.5605859489586389,0.39,1.42
