month,site_id,capacity_mw,n_rows,n_sites,positive_rate,inactive_rate,actual_mean_mw,pred_mean_mw,bias_pct,abs_bias_pct,city_nrmse_pct
7,S002,3.3,434,1,0.9885,0.0115,0.9614,0.8757,-8.9168,8.9168,17.3595
7,S003,4.1667,434,1,0.4194,0.5806,0.5613,0.9405,67.5537,67.5537,21.658
7,S004,3.97,434,1,0.9194,0.0806,1.5784,1.2939,-18.0228,18.0228,16.3457
7,S006,5.0,434,1,0.8594,0.1406,0.6461,0.6068,-6.0793,6.0793,5.2505
7,S007,22.0,434,1,0.9862,0.0138,8.4368,7.9634,-5.6102,5.6102,13.1368
7,S008,3.172,434,1,0.9931,0.0069,1.4705,1.3848,-5.8274,5.8274,16.1321
7,S009,5.25,434,1,0.9931,0.0069,2.131,1.7161,-19.4677,19.4677,15.4812
7,S010,2.0,434,1,0.9931,0.0069,0.6726,0.682,1.3841,1.3841,12.6546
7,S011,2.323,434,1,0.9954,0.0046,0.8353,0.7377,-11.6925,11.6925,16.5784
7,S012,17.55,434,1,0.9562,0.0438,4.5087,4.321,-4.1646,4.1646,9.4612
7,S014,5.1,434,1,0.9816,0.0184,1.6059,1.5747,-1.9428,1.9428,12.1635
7,S016,8.5,434,1,0.9009,0.0991,2.6521,2.6819,1.1227,1.1227,11.2989
7,S017,0.954,434,1,0.9631,0.0369,0.3795,0.2779,-26.7813,26.7813,18.2636
7,S018,5.1,434,1,0.9724,0.0276,1.8021,1.7179,-4.6722,4.6722,14.7179
7,S019,3.0,434,1,0.9332,0.0668,1.1645,1.1501,-1.2394,1.2394,19.8341
7,S020,3.8,434,1,0.9816,0.0184,1.3696,1.1676,-14.7444,14.7444,14.0182
7,S021,2.2,434,1,0.9493,0.0507,0.915,0.5468,-40.2397,40.2397,24.3903
7,S022,3.24,434,1,0.9954,0.0046,1.1074,0.8465,-23.5523,23.5523,17.0491
7,S023,16.37,434,1,0.9378,0.0622,4.3161,4.491,4.0519,4.0519,9.0416
7,S024,5.99,434,1,0.9862,0.0138,2.0899,1.9996,-4.3193,4.3193,10.8394
7,S025,5.65,434,1,0.9516,0.0484,1.8388,1.8491,0.5614,0.5614,12.3728
7,S028,3.14,434,1,0.9539,0.0461,1.2588,1.0286,-18.2893,18.2893,17.1131
7,S030,2.9,434,1,0.97,0.03,0.9712,0.9559,-1.5733,1.5733,12.2768
7,S031,0.9222,434,1,0.9147,0.0853,0.2702,0.2653,-1.8197,1.8197,11.6911
7,S032,9.335,434,1,0.8548,0.1452,3.4764,1.5072,-56.6457,56.6457,27.2648
7,S033,5.688,434,1,0.9724,0.0276,2.3558,2.0702,-12.1261,12.1261,18.7889
7,S034,3.496,434,1,0.9286,0.0714,1.2726,1.2395,-2.5938,2.5938,14.4476
7,S035,5.296,434,1,0.9908,0.0092,1.7969,1.8159,1.0567,1.0567,14.3119
7,S037,5.946,434,1,0.0,1.0,0.0,0.2524,,,5.1309
7,S038,1.672,434,1,0.9194,0.0806,0.7073,0.6875,-2.7943,2.7943,18.2857
7,S039,3.45,434,1,0.9816,0.0184,1.0942,0.8868,-18.9616,18.9616,14.2299
7,S040,5.96,434,1,0.9816,0.0184,2.4437,2.283,-6.5745,6.5745,13.6091
7,S041,2.2,434,1,0.977,0.023,0.8944,0.7991,-10.6498,10.6498,15.5089
7,S042,3.724,434,1,0.9516,0.0484,1.4812,1.4176,-4.2908,4.2908,14.9192
