column,dtype,non_null,null_count
time,datetime64[ns],596939,0
site_id,object,596939,0
power_mw,float64,596939,0
power_pred,float64,421771,175168
pred_baseline,float64,421771,175168
power_pred_cal,float64,421771,175168
p_on_pred,float64,421771,175168
rel_error_pred,float64,421771,175168
g_blend_pred,float64,596939,0
clear_sky_ghi,float64,596939,0
p_base,float64,398946,197993
capacity_mw,float64,596939,0
county,object,421771,175168
install_group,object,421771,175168
capacity_bucket,object,421771,175168
coastal_flag,float64,421771,175168
scene_v151,string,421771,175168
quality_score,float64,596939,0
calibration_enabled,object,421771,175168
split,object,596939,0
hour,int32,596939,0
power_pred_raw,float64,421771,175168
power_pred_final,float64,175168,421771
actual_mw,float64,421771,175168
pred_mw,float64,421771,175168
calibrated_ratio,float64,421771,175168
calibration_applied,object,421771,175168
hs_factor,float64,421771,175168
power_pred_round60_hour_scene,float64,421771,175168
site_factor,float64,421771,175168
power_pred_round60_site_conservative,float64,421771,175168
power_pred_round60_combined_conservative,float64,421771,175168
power_pred_round60_safe,float64,421771,175168
power_pred_final_round59,float64,421771,175168
power_pred_final_round60,float64,421771,175168
city_factor,float64,421771,175168
power_pred_round61_city,float64,421771,175168
power_pred_round61_city_safe,float64,421771,175168
power_pred_final_round61,float64,421771,175168
month,int32,596939,0
dayofyear,int32,596939,0
pred_norm,float64,0,596939
clear_sky_index,float64,175168,421771
scene_is_clear_peak,float64,0,596939
scene_is_mid,float64,0,596939
scene_is_low,float64,0,596939
scene_is_night,float64,0,596939
latitude,float64,175168,421771
longitude,float64,175168,421771
power_pred_ridge_residual,float64,0,596939
power_pred_lgb_residual,float64,0,596939
scene,object,0,596939
power_pred_round64_safe,float64,0,596939
time_block,object,175168,421771
site_group,object,175168,421771
y_norm,float64,175168,421771
baseline_norm,float64,175168,421771
pr_median,float64,175168,421771
bias,float64,175168,421771
zero_ratio,float64,175168,421771
power_pred_round68_lgb_safe_blend,float64,175168,421771
y_true_norm,float64,596939,0
_bl_pred,float64,596939,0
y_base_norm,float64,596939,0
residual_norm,float64,596939,0
residual_norm_clipped,float64,596939,0
recency_weight,float64,421771,175168
site_bias_valid,float64,596939,0
site_nrmse_valid,float64,596939,0
