site_id,capacity_mw,nrmse_valid,zero_ratio_valid,actual_mean,pred_mean,bias_pct,n_samples_valid,is_high_error,label_zero_ratio_high,label_capacity_small,label_capacity_large,label_bias_positive,label_bias_negative,label_samples_low
S002,3.3,15.3752,0.0058,0.7157,0.7386,3.1955,868,True,False,False,True,True,False,False
S003,4.1667,21.4868,0.7903,0.2807,0.8185,191.6405,868,True,True,False,True,True,False,False
S004,3.97,15.1187,0.0945,1.3822,1.1248,-18.6241,868,True,False,False,True,False,True,False
S006,5.0,4.9915,0.1763,0.5802,0.545,-6.0645,868,False,False,False,True,False,True,False
S007,22.0,12.9981,0.0507,7.3395,7.3168,-0.3094,868,True,False,False,True,False,False,False
S008,3.172,16.1259,0.0415,1.2672,1.2251,-3.3163,868,True,False,False,True,False,True,False
S009,5.25,15.1877,0.0369,1.8874,1.5993,-15.2663,868,True,False,False,True,False,True,False
S010,2.0,11.6739,0.023,0.6134,0.6047,-1.4055,868,False,False,False,True,False,True,False
S011,2.323,14.1565,0.0392,0.702,0.665,-5.2679,868,True,False,False,True,False,True,False
S012,17.55,9.0308,0.0806,4.0149,3.7961,-5.4494,868,False,False,False,True,False,True,False
S014,5.1,12.4068,0.068,1.4372,1.3988,-2.6741,868,True,False,False,True,False,True,False
S016,8.5,11.9734,0.1613,2.3647,2.4122,2.0079,868,False,False,False,True,True,False,False
S017,0.954,16.5991,0.0426,0.2904,0.2192,-24.5172,868,True,False,False,True,False,True,False
S018,5.1,14.2743,0.068,1.5786,1.5655,-0.8295,868,True,False,False,True,False,False,False
S019,3.0,31.3837,0.1325,1.2492,1.0382,-16.8921,868,True,False,False,True,False,True,False
S020,3.8,14.3589,0.0495,1.2175,1.1445,-5.9982,868,True,False,False,True,False,True,False
S021,2.2,22.191,0.0714,0.8126,0.534,-34.2787,868,True,False,False,True,False,True,False
S022,3.24,15.0748,0.0369,1.0055,0.801,-20.3377,868,True,False,False,True,False,True,False
S023,16.37,9.1775,0.0783,4.0674,3.9673,-2.4627,868,False,False,False,True,False,True,False
S024,5.99,11.9168,0.0472,1.8317,1.7659,-3.5888,868,False,False,False,True,False,True,False
S025,5.65,11.7217,0.0749,1.6678,1.6526,-0.9116,868,False,False,False,True,False,False,False
S028,3.14,16.3157,0.091,1.1104,0.9245,-16.7446,868,True,False,False,True,False,True,False
S030,2.9,11.5908,0.0611,0.869,0.86,-1.0357,868,False,False,False,True,False,True,False
S031,0.9222,10.3795,0.1164,0.2374,0.2358,-0.668,868,False,False,False,True,False,False,False
S032,9.335,25.3352,0.1475,3.0462,1.3609,-55.3256,868,True,False,False,True,False,True,False
S033,5.688,17.3375,0.0518,2.1385,1.8492,-13.5309,868,True,False,False,True,False,True,False
S034,3.496,14.0956,0.0945,1.1711,1.1067,-5.4951,868,True,False,False,True,False,True,False
S035,5.296,14.1636,0.0588,1.6369,1.6129,-1.4665,868,True,False,False,True,False,True,False
S037,5.946,6.2589,1.0,0.0,0.2957,0.0,868,False,True,False,True,False,False,False
S038,1.672,17.049,0.0853,0.6422,0.5959,-7.2043,868,True,False,False,True,False,True,False
S039,3.45,15.1147,0.0576,0.8932,0.7736,-13.3916,868,True,False,False,True,False,True,False
S040,5.96,13.5069,0.0484,2.1454,2.0144,-6.1055,868,True,False,False,True,False,True,False
S041,2.2,15.2285,0.0553,0.7975,0.7265,-8.9099,868,True,False,False,True,False,True,False
S042,3.724,15.3269,0.0726,1.293,1.2405,-4.059,868,True,False,False,True,False,True,False
S044,8.492,11.9959,1.0,0.0,0.8365,0.0,868,False,True,False,True,False,False,False
S045,2.915,26.2432,0.7304,0.3652,0.689,88.6788,868,True,True,False,True,True,False,False
S046,4.25,19.4331,0.1336,1.3019,1.2228,-6.0723,868,True,False,False,True,False,True,False
S047,4.8,13.2605,0.1244,1.0518,1.1386,8.2536,868,True,False,False,True,True,False,False
S048,4.0,13.8926,0.1106,1.0701,0.9867,-7.799,868,True,False,False,True,False,True,False
S049,14.1,9.6293,0.0714,3.5458,3.5128,-0.9308,868,False,False,False,True,False,False,False
S050,2.55,12.5473,0.0634,0.6648,0.5391,-18.903,868,True,False,False,True,False,True,False
S051,5.025,10.1456,0.0565,1.2076,1.1744,-2.7491,868,False,False,False,True,False,True,False
S052,6.08,15.3791,0.0461,1.9819,1.6801,-15.2271,868,True,False,False,True,False,True,False
S053,13.33,14.5149,0.0046,5.1435,4.2953,-16.4903,868,True,False,False,True,False,True,False
S054,11.272,10.8615,0.0668,3.0427,3.0149,-0.915,868,False,False,False,True,False,False,False
S055,4.0,17.3297,0.4044,0.6429,0.5048,-21.4832,868,True,True,False,True,False,True,False
S056,3.15,10.2283,0.1048,0.8143,0.796,-2.2493,868,False,False,False,True,False,True,False
S058,5.99,13.3305,0.0449,1.8495,1.7785,-3.8363,868,True,False,False,True,False,True,False
S059,2.0,10.7499,0.0565,0.5239,0.5239,0.0062,868,False,False,False,True,False,False,False
S060,5.84,15.8734,0.0449,2.161,1.7605,-18.5363,868,True,False,False,True,False,True,False
S061,3.784,17.0069,0.0588,1.2935,1.0601,-18.0444,868,True,False,False,True,False,True,False
S062,4.45368,9.8369,0.0841,1.0006,1.0078,0.7208,868,False,False,False,True,False,False,False
S063,3.66,17.8868,0.1521,1.2908,1.2158,-5.8083,868,True,False,False,True,False,True,False
S064,3.288,11.6703,0.1152,0.9593,0.9354,-2.4849,868,False,False,False,True,False,True,False
S065,1.9239,14.2515,0.0403,0.6512,0.6326,-2.8532,868,True,False,False,True,False,True,False
S066,5.45,12.9255,0.0518,1.8067,1.6429,-9.0654,868,True,False,False,True,False,True,False
S068,1.223,11.2668,0.0818,0.3631,0.3517,-3.1318,868,False,False,False,True,False,True,False
S069,3.0,5.6112,1.0,0.0,0.1309,0.0,868,False,True,False,True,False,False,False
S070,2.1,10.0276,0.0668,0.5721,0.5633,-1.5505,868,False,False,False,True,False,True,False
S071,20.0,6.3922,0.0853,2.8981,2.7464,-5.2344,868,False,False,False,True,False,True,False
S072,3.125,13.7295,0.053,1.0695,1.0622,-0.6838,868,True,False,False,True,False,False,False
S073,15.0,11.2457,0.0518,3.6937,3.7156,0.5924,868,False,False,False,True,False,False,False
S074,4.0,14.9791,0.0507,1.4745,1.3137,-10.905,868,True,False,False,True,False,True,False
S075,2.63,14.0591,0.0657,0.8751,0.7412,-15.2982,868,True,False,False,True,False,True,False
S076,5.0,23.6348,0.3468,1.2213,1.2781,4.653,868,True,True,False,True,True,False,False
S077,0.901,20.7892,0.9539,0.0175,0.1536,780.1017,868,True,True,False,True,True,False,False
S115,7.0,13.3593,0.1521,2.2749,2.2637,-0.4923,868,True,False,False,True,False,False,False
S116,22.0,12.3516,0.0357,6.954,6.9614,0.1054,868,True,False,False,True,False,False,False
