candidate,w1,w2,w3,window,city_nrmse,site_nrmse,delta,bad_sites,passes
blend_w1=0.0_w2=0.0_w3=0.25,0.0,0.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.25,0.0,0.0,0.25,window_late,5.252,14.1965,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.5,0.0,0.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.5,0.0,0.0,0.5,window_late,5.252,14.1965,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.75,0.0,0.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.75,0.0,0.0,0.75,window_late,5.252,14.1965,0.0,0,True
blend_w1=0.0_w2=0.0_w3=1.0,0.0,0.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.0_w3=1.0,0.0,0.0,1.0,window_late,5.252,14.1965,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.0,0.0,0.25,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.0,0.0,0.25,0.0,window_late,5.2069,14.0894,-0.0452,0,True
blend_w1=0.0_w2=0.25_w3=0.25,0.0,0.25,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.25,0.0,0.25,0.25,window_late,5.2214,14.1335,-0.0306,0,True
blend_w1=0.0_w2=0.25_w3=0.5,0.0,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.5,0.0,0.25,0.5,window_late,5.2299,14.1525,-0.0222,0,True
blend_w1=0.0_w2=0.25_w3=0.75,0.0,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.75,0.0,0.25,0.75,window_late,5.2348,14.1627,-0.0173,0,True
blend_w1=0.0_w2=0.25_w3=1.0,0.0,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.25_w3=1.0,0.0,0.25,1.0,window_late,5.2379,14.1691,-0.0141,0,True
blend_w1=0.0_w2=0.5_w3=0.0,0.0,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.0,0.0,0.5,0.0,window_late,5.2069,14.0894,-0.0452,0,True
blend_w1=0.0_w2=0.5_w3=0.25,0.0,0.5,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.25,0.0,0.5,0.25,window_late,5.2148,14.1167,-0.0372,0,True
blend_w1=0.0_w2=0.5_w3=0.5,0.0,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.5,0.0,0.5,0.5,window_late,5.2214,14.1335,-0.0306,0,True
blend_w1=0.0_w2=0.5_w3=0.75,0.0,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.75,0.0,0.5,0.75,window_late,5.2263,14.1446,-0.0258,0,True
blend_w1=0.0_w2=0.5_w3=1.0,0.0,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.5_w3=1.0,0.0,0.5,1.0,window_late,5.2299,14.1525,-0.0222,0,True
blend_w1=0.0_w2=0.75_w3=0.0,0.0,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.0,0.0,0.75,0.0,window_late,5.2069,14.0894,-0.0452,0,True
blend_w1=0.0_w2=0.75_w3=0.25,0.0,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.25,0.0,0.75,0.25,window_late,5.2121,14.109,-0.0399,0,True
blend_w1=0.0_w2=0.75_w3=0.5,0.0,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.5,0.0,0.75,0.5,window_late,5.2172,14.1231,-0.0348,0,True
blend_w1=0.0_w2=0.75_w3=0.75,0.0,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.75,0.0,0.75,0.75,window_late,5.2214,14.1335,-0.0306,0,True
blend_w1=0.0_w2=0.75_w3=1.0,0.0,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=0.75_w3=1.0,0.0,0.75,1.0,window_late,5.2248,14.1414,-0.0272,0,True
blend_w1=0.0_w2=1.0_w3=0.0,0.0,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.0,0.0,1.0,0.0,window_late,5.2069,14.0894,-0.0452,0,True
blend_w1=0.0_w2=1.0_w3=0.25,0.0,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.25,0.0,1.0,0.25,window_late,5.2108,14.1047,-0.0413,0,True
blend_w1=0.0_w2=1.0_w3=0.5,0.0,1.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.5,0.0,1.0,0.5,window_late,5.2148,14.1167,-0.0372,0,True
blend_w1=0.0_w2=1.0_w3=0.75,0.0,1.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.75,0.0,1.0,0.75,window_late,5.2184,14.126,-0.0337,0,True
blend_w1=0.0_w2=1.0_w3=1.0,0.0,1.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.0_w2=1.0_w3=1.0,0.0,1.0,1.0,window_late,5.2214,14.1335,-0.0306,0,True
blend_w1=0.25_w2=0.0_w3=0.0,0.25,0.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.0,0.25,0.0,0.0,window_late,5.1426,13.9269,-0.1095,0,True
blend_w1=0.25_w2=0.0_w3=0.25,0.25,0.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.25,0.25,0.0,0.25,window_late,5.1761,14.0285,-0.076,0,True
blend_w1=0.25_w2=0.0_w3=0.5,0.25,0.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.5,0.25,0.0,0.5,window_late,5.1968,14.0776,-0.0553,0,True
blend_w1=0.25_w2=0.0_w3=0.75,0.25,0.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.75,0.25,0.0,0.75,window_late,5.2088,14.1048,-0.0432,0,True
blend_w1=0.25_w2=0.0_w3=1.0,0.25,0.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.0_w3=1.0,0.25,0.0,1.0,window_late,5.2167,14.122,-0.0354,0,True
blend_w1=0.25_w2=0.25_w3=0.0,0.25,0.25,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.0,0.25,0.25,0.0,window_late,5.159,13.983,-0.093,0,True
blend_w1=0.25_w2=0.25_w3=0.25,0.25,0.25,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.25,0.25,0.25,0.25,window_late,5.1805,14.041,-0.0715,0,True
blend_w1=0.25_w2=0.25_w3=0.5,0.25,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.5,0.25,0.25,0.5,window_late,5.1949,14.0751,-0.0572,0,True
blend_w1=0.25_w2=0.25_w3=0.75,0.25,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.75,0.25,0.25,0.75,window_late,5.2046,14.0971,-0.0474,0,True
blend_w1=0.25_w2=0.25_w3=1.0,0.25,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.25_w3=1.0,0.25,0.25,1.0,window_late,5.2116,14.1125,-0.0404,0,True
blend_w1=0.25_w2=0.5_w3=0.0,0.25,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.0,0.25,0.5,0.0,window_late,5.1715,14.0132,-0.0805,0,True
blend_w1=0.25_w2=0.5_w3=0.25,0.25,0.5,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.25,0.25,0.5,0.25,window_late,5.1849,14.0502,-0.0671,0,True
blend_w1=0.25_w2=0.5_w3=0.5,0.25,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.5,0.25,0.5,0.5,window_late,5.1952,14.0754,-0.0569,0,True
blend_w1=0.25_w2=0.5_w3=0.75,0.25,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.75,0.25,0.5,0.75,window_late,5.2029,14.0933,-0.0492,0,True
blend_w1=0.25_w2=0.5_w3=1.0,0.25,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.5_w3=1.0,0.25,0.5,1.0,window_late,5.2088,14.1067,-0.0432,0,True
blend_w1=0.25_w2=0.75_w3=0.0,0.25,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.0,0.25,0.75,0.0,window_late,5.1791,14.0303,-0.073,0,True
blend_w1=0.25_w2=0.75_w3=0.25,0.25,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.25,0.25,0.75,0.25,window_late,5.1883,14.0567,-0.0638,0,True
blend_w1=0.25_w2=0.75_w3=0.5,0.25,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.5,0.25,0.75,0.5,window_late,5.1959,14.0762,-0.0561,0,True
blend_w1=0.25_w2=0.75_w3=0.75,0.25,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.75,0.25,0.75,0.75,window_late,5.2021,14.0912,-0.0499,0,True
blend_w1=0.25_w2=0.75_w3=1.0,0.25,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=0.75_w3=1.0,0.25,0.75,1.0,window_late,5.2072,14.1029,-0.0448,0,True
blend_w1=0.25_w2=1.0_w3=0.0,0.25,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.0,0.25,1.0,0.0,window_late,5.184,14.0412,-0.068,0,True
blend_w1=0.25_w2=1.0_w3=0.25,0.25,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.25,0.25,1.0,0.25,window_late,5.1908,14.0614,-0.0612,0,True
blend_w1=0.25_w2=1.0_w3=0.5,0.25,1.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.5,0.25,1.0,0.5,window_late,5.1968,14.0772,-0.0552,0,True
blend_w1=0.25_w2=1.0_w3=0.75,0.25,1.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.75,0.25,1.0,0.75,window_late,5.2019,14.0899,-0.0502,0,True
blend_w1=0.25_w2=1.0_w3=1.0,0.25,1.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.25_w2=1.0_w3=1.0,0.25,1.0,1.0,window_late,5.2062,14.1002,-0.0458,0,True
blend_w1=0.5_w2=0.0_w3=0.0,0.5,0.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.0,0.5,0.0,0.0,window_late,5.1426,13.9269,-0.1095,0,True
blend_w1=0.5_w2=0.0_w3=0.25,0.5,0.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.25,0.5,0.0,0.25,window_late,5.1601,13.9867,-0.0919,0,True
blend_w1=0.5_w2=0.0_w3=0.5,0.5,0.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.5,0.5,0.0,0.5,window_late,5.1761,14.0285,-0.076,0,True
blend_w1=0.5_w2=0.0_w3=0.75,0.5,0.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.75,0.5,0.0,0.75,window_late,5.1879,14.0571,-0.0641,0,True
blend_w1=0.5_w2=0.0_w3=1.0,0.5,0.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.0_w3=1.0,0.5,0.0,1.0,window_late,5.1968,14.0776,-0.0553,0,True
blend_w1=0.5_w2=0.25_w3=0.0,0.5,0.25,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.0,0.5,0.25,0.0,window_late,5.15,13.9584,-0.102,0,True
blend_w1=0.5_w2=0.25_w3=0.25,0.5,0.25,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.25,0.5,0.25,0.25,window_late,5.1655,14.0032,-0.0865,0,True
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_late,5.1781,14.0351,-0.074,0,True
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_late,5.1877,14.0583,-0.0643,0,True
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_late,5.1953,14.0758,-0.0567,0,True
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_late,5.159,13.983,-0.093,0,True
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_late,5.1708,14.0161,-0.0813,0,True
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_late,5.1805,14.041,-0.0715,0,True
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_late,5.1884,14.0601,-0.0636,0,True
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_late,5.1949,14.0751,-0.0572,0,True
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_late,5.1661,14.0004,-0.086,0,True
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_late,5.1751,14.026,-0.0769,0,True
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_late,5.1829,14.046,-0.0692,0,True
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_late,5.1894,14.0621,-0.0626,0,True
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_late,5.1949,14.0751,-0.0571,0,True
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_late,5.1715,14.0132,-0.0805,0,True
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_late,5.1786,14.0336,-0.0734,0,True
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_late,5.1849,14.0502,-0.0671,0,True
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_late,5.1904,14.0639,-0.0616,0,True
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_late,5.1952,14.0754,-0.0569,0,True
