candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=0.0_w2=0.0_w3=0.25,0.0,0.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.25,0.0,0.0,0.25,window_late,5.2529,0.0009,3,False
blend_w1=0.0_w2=0.0_w3=0.5,0.0,0.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.5,0.0,0.0,0.5,window_late,5.2529,0.0009,3,False
blend_w1=0.0_w2=0.0_w3=0.75,0.0,0.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.0_w3=0.75,0.0,0.0,0.75,window_late,5.2529,0.0009,3,False
blend_w1=0.0_w2=0.0_w3=1.0,0.0,0.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.0_w3=1.0,0.0,0.0,1.0,window_late,5.2529,0.0009,3,False
blend_w1=0.0_w2=0.25_w3=0.0,0.0,0.25,0.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.0,0.0,0.25,0.0,window_late,5.3212,0.0692,2,False
blend_w1=0.0_w2=0.25_w3=0.25,0.0,0.25,0.25,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.25,0.0,0.25,0.25,window_late,5.2677,0.0157,2,False
blend_w1=0.0_w2=0.25_w3=0.5,0.0,0.25,0.5,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.5,0.0,0.25,0.5,window_late,5.2585,0.0064,2,False
blend_w1=0.0_w2=0.25_w3=0.75,0.0,0.25,0.75,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.25_w3=0.75,0.0,0.25,0.75,window_late,5.2554,0.0034,2,False
blend_w1=0.0_w2=0.25_w3=1.0,0.0,0.25,1.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.25_w3=1.0,0.0,0.25,1.0,window_late,5.2541,0.0021,2,False
blend_w1=0.0_w2=0.5_w3=0.0,0.0,0.5,0.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.0,0.0,0.5,0.0,window_late,5.3212,0.0692,2,False
blend_w1=0.0_w2=0.5_w3=0.25,0.0,0.5,0.25,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.25,0.0,0.5,0.25,window_late,5.2813,0.0293,3,False
blend_w1=0.0_w2=0.5_w3=0.5,0.0,0.5,0.5,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.5,0.0,0.5,0.5,window_late,5.2677,0.0157,2,False
blend_w1=0.0_w2=0.5_w3=0.75,0.0,0.5,0.75,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.5_w3=0.75,0.0,0.5,0.75,window_late,5.2616,0.0096,2,False
blend_w1=0.0_w2=0.5_w3=1.0,0.0,0.5,1.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.5_w3=1.0,0.0,0.5,1.0,window_late,5.2585,0.0064,2,False
blend_w1=0.0_w2=0.75_w3=0.0,0.0,0.75,0.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.0,0.0,0.75,0.0,window_late,5.3212,0.0692,2,False
blend_w1=0.0_w2=0.75_w3=0.25,0.0,0.75,0.25,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.25,0.0,0.75,0.25,window_late,5.2897,0.0377,3,False
blend_w1=0.0_w2=0.75_w3=0.5,0.0,0.75,0.5,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.5,0.0,0.75,0.5,window_late,5.2754,0.0233,2,False
blend_w1=0.0_w2=0.75_w3=0.75,0.0,0.75,0.75,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.75_w3=0.75,0.0,0.75,0.75,window_late,5.2677,0.0157,2,False
blend_w1=0.0_w2=0.75_w3=1.0,0.0,0.75,1.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=0.75_w3=1.0,0.0,0.75,1.0,window_late,5.2632,0.0112,2,False
blend_w1=0.0_w2=1.0_w3=0.0,0.0,1.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.0,0.0,1.0,0.0,window_late,5.3212,0.0692,2,False
blend_w1=0.0_w2=1.0_w3=0.25,0.0,1.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.25,0.0,1.0,0.25,window_late,5.2952,0.0432,2,False
blend_w1=0.0_w2=1.0_w3=0.5,0.0,1.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.5,0.0,1.0,0.5,window_late,5.2813,0.0293,3,False
blend_w1=0.0_w2=1.0_w3=0.75,0.0,1.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=1.0_w3=0.75,0.0,1.0,0.75,window_late,5.273,0.021,2,False
blend_w1=0.0_w2=1.0_w3=1.0,0.0,1.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.0_w2=1.0_w3=1.0,0.0,1.0,1.0,window_late,5.2677,0.0157,2,False
blend_w1=0.25_w2=0.0_w3=0.0,0.25,0.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.0,0.25,0.0,0.0,window_late,5.4882,0.2362,8,False
blend_w1=0.25_w2=0.0_w3=0.25,0.25,0.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.25,0.25,0.0,0.25,window_late,5.3361,0.0841,4,False
blend_w1=0.25_w2=0.0_w3=0.5,0.25,0.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.5,0.25,0.0,0.5,window_late,5.3005,0.0485,3,False
blend_w1=0.25_w2=0.0_w3=0.75,0.25,0.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.0_w3=0.75,0.25,0.0,0.75,window_late,5.2856,0.0336,3,False
blend_w1=0.25_w2=0.0_w3=1.0,0.25,0.0,1.0,window_early,17.072,0.0,0,True
