hour,scene_v151,n,actual_sum,pred_sum,raw_factor,global_factor,shrinkage_weight,final_factor,factor_clipped
6,low,18926,4664.79,2178.0594,2.1417,1.353,0.9743,2.1214,1.35
6,night,13270,489.86,1701.8863,0.2878,0.5302,0.9637,0.2966,0.75
7,low,19225,8958.15,5223.2588,1.7151,1.353,0.9747,1.7059,1.35
7,mid,7963,8536.42,9069.3375,0.9412,0.9618,0.9409,0.9425,0.9425
7,night,5008,207.77,639.487,0.3249,0.5302,0.9092,0.3435,0.75
8,low,13404,7727.48,5094.184,1.5169,1.353,0.964,1.511,1.35
8,mid,18792,30426.32,31335.7938,0.971,0.9618,0.9741,0.9707,0.9707
9,clear_peak,4671,13101.92,13567.3477,0.9657,0.959,0.9033,0.965,0.965
9,low,5428,5009.9,3354.3712,1.4935,1.353,0.9157,1.4817,1.35
9,mid,22100,42790.2,44165.5259,0.9689,0.9618,0.9779,0.9687,0.9687
10,clear_peak,13717,43382.26,44919.7692,0.9658,0.959,0.9648,0.9655,0.9655
10,low,4093,5411.61,4153.1458,1.303,1.353,0.8911,1.3085,1.3085
10,mid,14393,29186.46,30296.7823,0.9634,0.9618,0.9664,0.9633,0.9633
11,clear_peak,18460,61704.79,64172.6418,0.9615,0.959,0.9736,0.9615,0.9615
11,low,3580,5540.02,4987.6201,1.1108,1.353,0.8775,1.1404,1.1404
11,mid,10165,20989.2,21573.8937,0.9729,0.9618,0.9531,0.9724,0.9724
12,clear_peak,22053,73761.32,76779.6637,0.9607,0.959,0.9778,0.9607,0.9607
12,low,3417,5721.04,5442.3521,1.0512,1.353,0.8724,1.0897,1.0897
12,mid,6737,12130.91,12622.8039,0.961,0.9618,0.9309,0.9611,0.9611
13,clear_peak,21765,69898.88,73240.8235,0.9544,0.959,0.9775,0.9545,0.9545
13,low,3215,5390.22,5128.9943,1.0509,1.353,0.8654,1.0916,1.0916
13,mid,7227,12784.48,13197.612,0.9687,0.9618,0.9353,0.9682,0.9682
14,clear_peak,18613,55128.83,57612.0524,0.9569,0.959,0.9738,0.957,0.957
14,low,3269,4760.48,4131.7105,1.1522,1.353,0.8673,1.1788,1.1788
14,mid,10325,17805.28,18421.7669,0.9665,0.9618,0.9538,0.9663,0.9663
15,clear_peak,13720,35240.43,36647.5593,0.9616,0.959,0.9648,0.9615,0.9615
15,low,3751,3886.48,2430.5447,1.599,1.353,0.8824,1.5701,1.35
15,mid,14747,21867.83,22545.0811,0.97,0.9618,0.9672,0.9697,0.9697
16,clear_peak,5411,10731.0,11538.4034,0.93,0.959,0.9154,0.9325,0.9325
16,low,4956,3049.83,1807.6457,1.6872,1.353,0.9084,1.6566,1.35
16,mid,21857,26149.5,27310.4777,0.9575,0.9618,0.9776,0.9576,0.9576
17,low,8646,2469.63,1951.0925,1.2658,1.353,0.9453,1.2705,1.2705
17,mid,20040,17331.26,18672.5963,0.9282,0.9618,0.9757,0.929,0.929
17,night,3541,304.31,14.13,21.5364,0.5302,0.8763,18.9373,1.35
18,low,9995,2392.36,2095.252,1.1418,1.353,0.9524,1.1519,1.1519
18,mid,10327,4425.24,4931.9814,0.8973,0.9618,0.9538,0.9002,0.9002
18,night,11905,868.92,1453.1432,0.598,0.5302,0.9597,0.5952,0.75
19,low,8097,1046.06,822.1458,1.2724,1.353,0.9418,1.277,1.277
19,night,24130,1603.05,2743.8608,0.5842,0.5302,0.9797,0.5831,0.75
