site_id,candidate,valid_baseline_nrmse,valid_candidate_nrmse,valid_delta_nrmse,valid_baseline_bias,valid_candidate_bias,valid_delta_bias,fallback_applied,fallback_reason
S002,round60_hour_scene,11.8892,11.8927,0.0035,-2.0927,-1.9665,-0.1262,False,
S002,round60_site,11.8892,12.1949,0.3057,-2.0927,3.3329,1.2401,False,
S002,round60_combined,11.8892,12.1949,0.3057,-2.0927,3.3329,1.2401,False,
S003,round60_hour_scene,16.495,16.5098,0.0148,219.4762,220.308,0.8317,False,
S003,round60_site,16.495,16.495,0.0,219.4762,219.4762,0.0,False,
S003,round60_combined,16.495,16.495,0.0,219.4762,219.4762,0.0,False,
S004,round60_hour_scene,11.6932,11.6963,0.0032,-21.1755,-21.1084,-0.0671,False,
S004,round60_site,11.6932,10.8786,-0.8145,-21.1755,-15.4073,-5.7682,False,
S004,round60_combined,11.6932,10.8786,-0.8145,-21.1755,-15.4073,-5.7682,False,
S006,round60_hour_scene,8.3812,8.3826,0.0014,41.8951,41.9925,0.0974,False,
S006,round60_site,8.3812,8.4473,0.0661,41.8951,42.5022,0.6071,False,
S006,round60_combined,8.3812,8.4473,0.0661,41.8951,42.5022,0.6071,False,
S007,round60_hour_scene,10.0291,10.0347,0.0056,-0.9194,-0.8117,-0.1076,False,
S007,round60_site,10.0291,10.1124,0.0833,-0.9194,-4.9468,4.0274,False,
S007,round60_combined,10.0291,10.1124,0.0833,-0.9194,-4.9468,4.0274,False,
S008,round60_hour_scene,12.4934,12.539,0.0455,2.494,2.7913,0.2973,False,
S008,round60_site,12.4934,12.5132,0.0197,2.494,1.8846,-0.6094,False,
S008,round60_combined,12.4934,12.5132,0.0197,2.494,1.8846,-0.6094,False,
S009,round60_hour_scene,15.7067,15.6839,-0.0228,-20.2573,-19.869,-0.3883,False,
S009,round60_site,15.7067,15.5249,-0.1818,-20.2573,-13.9904,-6.2669,False,
S009,round60_combined,15.7067,15.5249,-0.1818,-20.2573,-13.9904,-6.2669,False,
S010,round60_hour_scene,9.1173,9.1293,0.0119,5.9724,6.2243,0.2519,False,
S010,round60_site,9.1173,9.1169,-0.0005,5.9724,5.9276,-0.0448,False,
S010,round60_combined,9.1173,9.1169,-0.0005,5.9724,5.9276,-0.0448,False,
S011,round60_hour_scene,11.0139,11.0323,0.0184,1.6331,1.8546,0.2215,False,
S011,round60_site,11.0139,10.9251,-0.0888,1.6331,-2.5471,0.914,False,
S011,round60_combined,11.0139,10.9251,-0.0888,1.6331,-2.5471,0.914,False,
S012,round60_hour_scene,7.1097,7.1112,0.0015,2.9256,3.0006,0.075,False,
S012,round60_site,7.1097,6.9631,-0.1466,2.9256,-1.5573,-1.3683,False,
S012,round60_combined,7.1097,6.9631,-0.1466,2.9256,-1.5573,-1.3683,False,
S014,round60_hour_scene,9.6072,9.6085,0.0013,-0.0701,-0.0089,-0.0612,False,
S014,round60_site,9.6072,9.7421,0.1349,-0.0701,2.7223,2.6521,False,
S014,round60_combined,9.6072,9.7421,0.1349,-0.0701,2.7223,2.6521,False,
S016,round60_hour_scene,9.3066,9.3078,0.0012,4.5467,4.7083,0.1616,False,
S016,round60_site,9.3066,9.4155,0.1089,4.5467,7.58,3.0333,False,
S016,round60_combined,9.3066,9.4155,0.1089,4.5467,7.58,3.0333,False,
S017,round60_hour_scene,12.7549,12.7614,0.0065,-19.6445,-19.4459,-0.1986,False,
S017,round60_site,12.7549,14.5159,1.761,-19.6445,-29.6121,9.9676,True,nrmse_delta=1.76pp bias_delta=9.97pp
S017,round60_combined,12.7549,14.5159,1.761,-19.6445,-29.6121,9.9676,True,nrmse_delta=1.76pp bias_delta=9.97pp
S018,round60_hour_scene,11.196,11.21,0.014,8.3337,8.5784,0.2447,False,
S018,round60_site,11.196,11.4929,0.2968,8.3337,13.6343,5.3007,True, bias_delta=5.30pp
S018,round60_combined,11.196,11.4929,0.2968,8.3337,13.6343,5.3007,True, bias_delta=5.30pp
S019,round60_hour_scene,24.8168,24.789,-0.0278,-0.0101,0.2675,0.2574,False,
S019,round60_site,24.8168,24.5128,-0.304,-0.0101,-5.8512,5.8411,True, bias_delta=5.84pp
