station_id,capacity_mw,capacity_bucket,n,actual_sum,pred_sum,raw_factor,group_factor,final_factor,factor_clipped,is_low_confidence_geo,status,nrmse_before,nrmse_after,delta
S002,3.3,medium,1731,1654.03,1371.5276,1.206,1.0137,1.1356,1.1356,False,ok,15.5667,16.2447,0.678
S004,3.97,medium,1811,2257.06,1837.192,1.2285,1.0137,1.1521,1.1521,False,ok,15.3099,13.8996,-1.4103
S006,5.0,medium,1753,950.44,967.4317,0.9824,1.0137,0.9938,0.9938,False,ok,10.9735,10.1283,-0.8452
S007,22.0,large,13636,88316.69,90879.8259,0.9718,0.9665,0.9714,0.9714,False,ok,13.1312,13.4056,0.2744
S008,3.172,medium,2136,2821.33,3107.7245,0.9078,1.0137,0.9416,0.9416,False,ok,16.181,17.2081,1.027
S009,5.25,medium,4407,5756.88,5032.4094,1.144,1.0137,1.1199,1.1199,False,ok,20.3113,21.4483,1.137
S010,2.0,small,13636,6571.2,6601.4969,0.9954,0.9763,0.9941,0.9941,False,ok,11.7489,11.8594,0.1105
S011,2.323,small,13636,7002.91,7500.1054,0.9337,0.9763,0.9366,0.9366,False,ok,14.347,14.4397,0.0928
S012,17.55,large,1727,5300.13,5336.4048,0.9932,0.9665,0.9834,0.9834,False,ok,9.3088,9.1399,-0.1689
S014,5.1,medium,1732,2534.04,2408.2379,1.0522,1.0137,1.0381,1.0381,False,ok,12.5788,12.559,-0.0198
S016,8.5,medium,1736,4453.47,4240.3669,1.0503,1.0137,1.0369,1.0369,False,ok,12.136,12.1616,0.0256
S017,0.954,small,13636,1312.17,2628.7319,0.4992,0.9763,0.5318,0.7,False,ok,16.6059,22.6286,6.0227
S018,5.1,medium,7682,10654.52,10059.587,1.0591,1.0137,1.0539,1.0539,False,ok,14.4743,14.584,0.1098
S019,3.0,medium,13636,12544.08,14123.7933,0.8882,1.0137,0.8967,0.8967,False,ok,32.3705,31.825,-0.5455
S020,3.8,medium,3472,3555.86,2310.3409,1.5391,1.0137,1.4216,1.4,False,ok,27.3015,24.7739,-2.5275
S021,2.2,small,2020,1252.79,660.7451,1.896,0.9763,1.5915,1.4,False,ok,33.0647,25.7002,-7.3645
S022,3.24,medium,13636,7011.75,8740.2685,0.8022,1.0137,0.8167,0.8167,False,ok,15.0874,19.0446,3.9572
S023,16.37,large,13636,41859.77,41528.9136,1.008,0.9665,1.0051,1.0051,False,ok,9.3346,9.3277,-0.0069
S024,5.99,medium,10728,13830.68,14976.3783,0.9235,1.0137,0.9312,0.9312,False,ok,11.9495,12.333,0.3835
S025,5.65,medium,6653,9249.39,8757.6126,1.0562,1.0137,1.0506,1.0506,False,ok,12.1059,12.1821,0.0763
S028,3.14,medium,4407,3913.02,3735.6748,1.0475,1.0137,1.0412,1.0412,False,ok,17.1554,17.1557,0.0002
S030,2.9,small,13636,10281.52,10305.0816,0.9977,0.9763,0.9963,0.9963,False,ok,11.6248,11.6831,0.0583
S031,0.9222,small,13636,2591.8,2726.692,0.9505,0.9763,0.9523,0.9523,False,ok,10.4863,10.9197,0.4334
S032,9.335,medium,8792,10355.94,7369.9576,1.4052,1.0137,1.3652,1.3652,False,ok,29.0088,24.0632,-4.9456
S033,5.688,medium,2413,5104.92,4672.507,1.0925,1.0137,1.0694,1.0694,False,ok,17.8384,17.4985,-0.3399
S034,3.496,medium,1411,1634.45,1668.6519,0.9795,1.0137,0.9937,0.9937,False,ok,14.3373,14.3915,0.0543
S035,5.296,medium,9870,12406.31,11938.686,1.0392,1.0137,1.0368,1.0368,False,ok,14.4542,14.4427,-0.0115
S037,5.946,medium,1754,4.93,1235.9722,0.004,1.0137,0.3706,0.7,False,ok,26.3378,17.8207,-8.5171
S038,1.672,small,1732,1047.88,1128.5438,0.9285,0.9763,0.946,0.946,False,ok,17.2061,17.5622,0.3561
S039,3.45,medium,1727,1611.42,1335.014,1.207,1.0137,1.1361,1.1361,False,ok,15.8021,14.8983,-0.9038
S040,5.96,medium,2002,3907.73,4239.5238,0.9217,1.0137,0.9524,0.9524,False,ok,13.6221,14.1217,0.4995
S041,2.2,small,8554,6587.79,5728.6072,1.15,0.9763,1.1318,1.1318,False,ok,16.0264,14.8359,-1.1905
S042,3.724,medium,3953,4139.24,4628.7247,0.8943,1.0137,0.9184,0.9184,False,ok,15.4424,16.2646,0.8222
S045,2.915,small,2357,1645.84,1739.4449,0.9462,0.9763,0.9552,0.9552,False,ok,26.2384,25.444,-0.7945
S046,4.25,medium,3616,4214.55,3138.1984,1.343,1.0137,1.2716,1.2716,False,ok,26.3573,28.4469,2.0895
S047,4.8,medium,11690,12034.81,10157.7881,1.1848,1.0137,1.1713,1.1713,False,ok,13.4315,14.4778,1.0462
S048,4.0,medium,1731,1356.78,1510.772,0.8981,1.0137,0.9404,0.9404,False,ok,14.5945,14.3449,-0.2496
S049,14.1,large,13636,36347.97,35646.4196,1.0197,0.9665,1.016,1.016,False,ok,9.7139,9.7629,0.049
S050,2.55,small,1727,1108.08,877.5112,1.2628,0.9763,1.1577,1.1577,False,ok,13.2481,12.1761,-1.072
S051,5.025,medium,1732,2095.24,1854.1821,1.13,1.0137,1.0874,1.0874,False,ok,10.7701,11.1816,0.4114
S052,6.08,medium,5278,5739.17,6915.8224,0.8299,1.0137,0.8591,0.8591,False,ok,16.2607,16.7763,0.5156
S053,13.33,large,13636,46637.88,50408.5986,0.9252,0.9665,0.928,0.928,False,ok,17.9638,17.8765,-0.0873
S054,11.272,large,3196,7322.86,7280.5811,1.0058,0.9665,0.9964,0.9964,False,ok,10.9811,10.9118,-0.0694
S055,4.0,medium,1727,558.08,616.026,0.9059,1.0137,0.9454,0.9454,False,ok,18.6533,18.1337,-0.5196
S056,3.15,medium,1811,1449.88,1376.7729,1.0531,1.0137,1.0391,1.0391,False,ok,11.0571,11.0918,0.0347
S058,5.99,medium,13636,16165.76,16732.7185,0.9661,1.0137,0.9694,0.9694,False,ok,13.4727,13.7372,0.2645
