feature,dtype,non_null,null_count,min,max
month,float64,175168,421771,7.0,12.0
dayofyear,float64,175168,421771,182.0,365.0
pr_median,float64,596939,0,0.0,0.36818181818181817
bias,float64,596939,0,-1.0,-0.6687173331443454
zero_ratio,float64,596939,0,0.09078467153284671,1.0
clear_sky_ghi,float64,596939,0,0.0,1021.4481101675716
clear_sky_index,float64,175168,421771,0.0,2.0
g_blend_pred,float64,596939,0,0.0,979.2200921531193
latitude,float64,175168,421771,0.0,0.0
longitude,float64,175168,421771,0.0,0.0
quality_score,float64,596939,0,0.4051573917931422,0.9954096855634612
scene_v151,Float64,0,596939,,
scene,float64,0,596939,,
