site_id,time_block,best_weight,base_nrmse,blend_nrmse,delta,n_samples
S002,afternoon,0.0,12.9326,12.9326,0.0,124
S002,dawn,0.75,9.7803,8.8738,-0.9066,186
S002,dusk,1.0,8.6664,8.0239,-0.6425,186
S002,morning,0.0,16.6731,16.6731,0.0,124
S002,noon,0.0,22.3029,22.3029,0.0,248
S003,afternoon,0.0,19.8115,19.8115,0.0,124
S003,dawn,0.0,9.6801,9.6801,0.0,186
S003,dusk,0.0,7.3347,7.3347,0.0,186
S003,morning,0.0,24.2419,24.2419,0.0,124
S003,noon,0.0,31.8618,31.8618,0.0,248
S004,afternoon,0.25,17.2339,17.1486,-0.0853,124
S004,dawn,1.0,8.7697,7.9006,-0.8691,186
S004,dusk,1.0,5.2926,4.9919,-0.3007,186
S004,morning,0.25,16.102,15.9376,-0.1644,124
S004,noon,0.25,21.5127,21.4585,-0.0542,248
S006,afternoon,0.75,9.4941,5.8914,-3.6026,124
S006,dawn,0.0,2.1626,2.1626,0.0,186
S006,dusk,0.75,2.1375,1.983,-0.1545,186
S006,morning,0.75,13.2893,5.4597,-7.8295,124
S006,noon,1.0,16.7747,6.9632,-9.8115,248
S007,afternoon,0.0,11.9794,11.9794,0.0,124
S007,dawn,0.25,7.5434,7.5389,-0.0046,186
S007,dusk,0.75,2.8847,2.5903,-0.2944,186
S007,morning,0.0,16.2561,16.2561,0.0,124
S007,noon,0.0,18.4332,18.4332,0.0,248
S008,afternoon,0.0,15.9338,15.9338,0.0,124
S008,dawn,0.5,7.6157,7.293,-0.3227,186
S008,dusk,0.75,6.0456,5.7741,-0.2715,186
S008,morning,0.0,16.4405,16.4405,0.0,124
S008,noon,0.0,24.1489,24.1489,0.0,248
S009,afternoon,1.0,26.2769,18.465,-7.8119,124
S009,dawn,1.0,10.9921,8.4466,-2.5455,186
S009,dusk,1.0,7.0396,5.8904,-1.1492,186
S009,morning,0.75,25.2054,18.3535,-6.8519,124
S009,noon,0.25,20.5851,19.7205,-0.8646,248
S010,afternoon,0.0,12.915,12.915,0.0,124
S010,dawn,0.5,5.0652,4.6816,-0.3836,186
S010,dusk,0.25,4.7427,4.7302,-0.0125,186
S010,morning,0.25,12.1921,12.0815,-0.1106,124
S010,noon,0.25,17.0112,16.9522,-0.059,248
S011,afternoon,0.0,11.4625,11.4625,0.0,124
S011,dawn,0.5,13.782,13.626,-0.1559,186
S011,dusk,0.0,14.3832,14.3832,0.0,186
S011,morning,0.5,15.8507,15.1755,-0.6752,124
S011,noon,0.25,15.2145,15.0389,-0.1756,248
S012,afternoon,0.0,10.3897,10.3897,0.0,124
S012,dawn,0.25,4.5497,4.4781,-0.0716,186
S012,dusk,0.25,3.3508,3.3049,-0.0459,186
S012,morning,0.25,10.4794,10.1948,-0.2846,124
S012,noon,0.25,12.9653,12.5008,-0.4645,248
S014,afternoon,0.0,12.075,12.075,0.0,124
S014,dawn,0.5,6.4065,6.0648,-0.3416,186
S014,dusk,0.25,3.321,3.2412,-0.0799,186
S014,morning,0.25,14.4158,14.2192,-0.1966,124
S014,noon,0.5,18.3811,18.1463,-0.2348,248
S016,afternoon,0.25,12.8776,12.8593,-0.0184,124
S016,dawn,0.25,5.798,5.7332,-0.0648,186
S016,dusk,0.75,4.5382,4.2895,-0.2487,186
S016,morning,0.5,13.8336,13.7546,-0.079,124
S016,noon,0.75,17.0931,16.9128,-0.1803,248
S017,afternoon,0.0,13.9479,13.9479,0.0,124
S017,dawn,0.0,11.3703,11.3703,0.0,186
S017,dusk,0.0,7.519,7.519,0.0,186
S017,morning,0.0,21.069,21.069,0.0,124
S017,noon,0.0,22.4893,22.4893,0.0,248
S018,afternoon,0.5,15.887,15.7648,-0.1222,124
S018,dawn,0.5,6.1744,6.0079,-0.1665,186
S018,dusk,1.0,5.3799,5.0972,-0.2827,186
S018,morning,0.25,15.6752,15.5794,-0.0958,124
S018,noon,0.5,20.8305,20.5173,-0.3132,248
S019,afternoon,1.0,30.0001,28.7337,-1.2664,124
S019,dawn,0.75,31.7775,31.4925,-0.2851,186
S019,dusk,0.0,34.2015,34.2015,0.0,186
S019,morning,1.0,31.9782,29.7123,-2.2658,124
S019,noon,1.0,32.7413,31.1755,-1.5658,248
S020,afternoon,1.0,25.2967,15.216,-10.0807,124
S020,dawn,1.0,8.6852,7.509,-1.1762,186
S020,dusk,1.0,5.2015,4.6172,-0.5843,186
S020,morning,1.0,33.2497,17.1242,-16.1254,124
S020,noon,1.0,35.9318,20.0241,-15.9076,248
S021,afternoon,1.0,29.9058,22.3612,-7.5446,124
S021,dawn,1.0,14.8307,12.2326,-2.5981,186
S021,dusk,1.0,9.3968,6.6815,-2.7153,186
S021,morning,1.0,39.5173,26.6219,-12.8954,124
S021,noon,1.0,48.6423,31.2002,-17.4421,248
S022,afternoon,0.0,16.0146,16.0146,0.0,124
S022,dawn,0.0,7.101,7.101,0.0,186
S022,dusk,0.25,5.889,5.8104,-0.0787,186
S022,morning,0.0,17.1402,17.1402,0.0,124
S022,noon,0.0,21.3801,21.3801,0.0,248
S023,afternoon,0.25,10.8531,10.8167,-0.0364,124
S023,dawn,0.5,3.9538,3.8346,-0.1192,186
S023,dusk,0.25,3.3132,3.3072,-0.0061,186
S023,morning,0.25,10.849,10.7686,-0.0804,124
S023,noon,0.5,12.8268,12.6127,-0.2141,248
S024,afternoon,0.25,13.2069,13.1644,-0.0425,124
S024,dawn,0.25,6.4245,6.2942,-0.1302,186
S024,dusk,0.25,6.8211,6.8061,-0.015,186
S024,morning,0.25,12.6505,12.5999,-0.0507,124
S024,noon,0.25,16.3307,16.3263,-0.0044,248
S025,afternoon,0.25,12.4046,12.3801,-0.0245,124
S025,dawn,0.75,5.8315,5.1975,-0.634,186
S025,dusk,0.75,4.673,4.3417,-0.3313,186
S025,morning,0.75,13.9784,13.3296,-0.6487,124
S025,noon,0.75,17.2198,16.7638,-0.456,248
S028,afternoon,0.0,16.8667,16.8667,0.0,124
S028,dawn,0.25,7.8596,7.8067,-0.0529,186
S028,dusk,0.5,5.6494,5.4624,-0.187,186
S028,morning,1.0,19.5072,18.7725,-0.7347,124
S028,noon,1.0,25.0287,23.349,-1.6798,248
S030,afternoon,0.0,10.9513,10.9513,0.0,124
S030,dawn,0.25,5.3883,5.3692,-0.0191,186
S030,dusk,0.75,4.38,4.2433,-0.1366,186
S030,morning,0.25,13.5948,13.5006,-0.0941,124
S030,noon,0.25,16.8648,16.8519,-0.0129,248
S031,afternoon,0.0,13.2004,13.2004,0.0,124
S031,dawn,0.75,4.8898,4.3868,-0.5029,186
S031,dusk,0.25,5.0344,5.0095,-0.0249,186
S031,morning,0.5,11.7038,11.3447,-0.3591,124
S031,noon,0.0,13.8685,13.8685,0.0,248
S032,afternoon,1.0,34.2521,25.1287,-9.1234,124
S032,dawn,0.0,13.9766,13.9766,0.0,186
S032,dusk,1.0,7.5829,7.5344,-0.0484,186
S032,morning,1.0,39.9077,32.2799,-7.6278,124
S032,noon,0.25,35.0911,34.9392,-0.1518,248
S033,afternoon,0.75,19.9337,19.5276,-0.4061,124
S033,dawn,1.0,8.3737,7.7012,-0.6725,186
S033,dusk,1.0,6.8674,6.3179,-0.5495,186
S033,morning,0.75,19.3501,18.449,-0.9011,124
S033,noon,0.75,25.2781,24.8353,-0.4427,248
S034,afternoon,0.0,14.2422,14.2422,0.0,124
S034,dawn,0.5,7.675,7.1873,-0.4877,186
S034,dusk,0.25,4.0643,4.0508,-0.0135,186
S034,morning,0.0,15.4596,15.4596,0.0,124
S034,noon,0.5,21.0194,20.5774,-0.442,248
S035,afternoon,0.0,14.5414,14.5414,0.0,124
S035,dawn,0.25,7.1523,7.043,-0.1093,186
S035,dusk,0.5,5.2051,5.0379,-0.1672,186
S035,morning,0.25,16.5606,16.4459,-0.1146,124
S035,noon,0.75,20.7294,20.1228,-0.6066,248
S037,afternoon,1.0,24.8643,5.8203,-19.044,124
S037,dawn,1.0,15.1578,2.1897,-12.9682,186
S037,dusk,1.0,8.6398,1.5248,-7.115,186
S037,morning,1.0,31.365,7.0019,-24.3632,124
S037,noon,1.0,37.1266,9.5036,-27.623,248
S038,afternoon,0.0,18.6008,18.6008,0.0,124
S038,dawn,0.5,9.0417,8.4217,-0.62,186
S038,dusk,0.25,5.0246,4.9734,-0.0512,186
S038,morning,0.25,20.565,20.3617,-0.2032,124
S038,noon,0.25,23.9065,23.7761,-0.1304,248
S039,afternoon,0.75,17.2104,16.5418,-0.6686,124
S039,dawn,0.75,7.4069,7.1199,-0.287,186
S039,dusk,1.0,4.7592,4.4143,-0.3449,186
S039,morning,0.25,16.5121,16.3749,-0.1372,124
S039,noon,0.75,23.0417,21.8191,-1.2226,248
S040,afternoon,0.0,15.0607,15.0607,0.0,124
S040,dawn,0.5,8.1448,7.3622,-0.7826,186
S040,dusk,0.0,5.7152,5.7152,0.0,186
S040,morning,0.0,14.007,14.007,0.0,124
S040,noon,0.25,19.0645,19.0227,-0.0418,248
S041,afternoon,0.25,15.6392,15.4198,-0.2194,124
S041,dawn,0.75,7.3053,6.5737,-0.7316,186
S041,dusk,0.0,4.594,4.594,0.0,186
S041,morning,1.0,19.2553,16.8407,-2.4146,124
S041,noon,0.75,23.1286,22.4221,-0.7065,248
S042,afternoon,0.0,16.4743,16.4743,0.0,124
S042,dawn,0.25,7.9767,7.838,-0.1388,186
S042,dusk,0.5,5.1337,4.7389,-0.3948,186
S042,morning,0.0,15.7887,15.7887,0.0,124
S042,noon,0.25,22.5098,22.337,-0.1728,248
S044,afternoon,1.0,23.3492,10.9096,-12.4396,124
S044,dawn,1.0,13.2631,4.4204,-8.8426,186
S044,dusk,1.0,6.3726,2.556,-3.8167,186
S044,morning,1.0,31.1158,13.2604,-17.8555,124
S044,noon,1.0,36.2217,18.3485,-17.8731,248
S045,afternoon,0.0,24.9785,24.9785,0.0,124
S045,dawn,0.0,13.2114,13.2114,0.0,186
S045,dusk,0.0,8.7689,8.7689,0.0,186
S045,morning,0.0,30.7643,30.7643,0.0,124
S045,noon,0.0,37.904,37.904,0.0,248
S046,afternoon,1.0,29.1798,20.6158,-8.5641,124
S046,dawn,1.0,11.1106,10.1782,-0.9323,186
S046,dusk,1.0,6.3582,6.1293,-0.2289,186
S046,morning,0.75,30.2253,22.6871,-7.5383,124
S046,noon,0.75,33.7363,27.3134,-6.4229,248
S047,afternoon,0.25,14.0514,13.9508,-0.1006,124
S047,dawn,1.0,7.583,7.1806,-0.4024,186
S047,dusk,0.75,4.6354,4.3402,-0.2952,186
S047,morning,0.75,15.4933,14.964,-0.5293,124
