hour,n_sites,mae_MW_avg,rmse_MW_avg,nrmse_pct_avg,nrmse_pct_median,bias_MW_avg
6,68,0.2669,0.2942,5.0228,3.6762,-0.0068
7,68,0.3044,0.3893,6.3218,4.8529,-0.1275
8,68,0.4434,0.5654,8.998,7.4695,-0.2296
9,68,0.6307,0.7995,12.8961,10.4889,-0.1229
10,68,0.8184,1.0139,16.4052,13.1977,-0.0934
11,68,0.9363,1.1442,18.485,14.411,-0.1536
12,68,0.9806,1.1931,19.4427,14.7279,-0.1738
13,68,0.9324,1.1387,18.6174,14.7545,-0.1263
14,68,0.7901,0.9808,16.1,12.9101,-0.1348
15,68,0.5575,0.71,11.5785,9.3371,-0.1043
16,68,0.3627,0.4666,7.8146,6.2896,-0.067
17,68,0.2821,0.3497,5.8455,4.1079,-0.0398
18,68,0.2555,0.3004,5.1129,3.8897,0.0061
19,68,0.2521,0.2801,4.8137,3.7245,0.0148
