site_id,hour,n_rows,capacity_MW,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio
S002,6,122,3.3,0.3568,0.5903,17.888,-0.3568,0.0
S002,7,122,3.3,0.398,0.594,18.0001,-0.398,0.0053
S002,8,122,3.3,0.4503,0.6037,18.2933,-0.436,0.2133
S002,9,122,3.3,0.3864,0.4867,14.7488,-0.2989,0.5971
S002,10,122,3.3,0.3332,0.4142,12.5506,-0.2118,0.7648
S002,11,122,3.3,0.3729,0.5188,15.7226,-0.2699,0.7395
S002,12,122,3.3,0.4369,0.583,17.6675,-0.334,0.6923
S002,13,122,3.3,0.3731,0.4908,14.8733,-0.2726,0.7246
S002,14,122,3.3,0.3258,0.4246,12.8653,-0.2712,0.6908
S002,15,122,3.3,0.3585,0.4835,14.6511,-0.3351,0.5233
S002,16,122,3.3,0.409,0.5816,17.6248,-0.3958,0.1904
S002,17,122,3.3,0.3517,0.5756,17.4432,-0.3517,0.0177
S002,18,122,3.3,0.187,0.3864,11.7097,-0.187,0.0
S002,19,122,3.3,0.187,0.3864,11.7097,-0.187,0.0
S003,6,122,4.1667,0.2145,0.2145,5.148,0.2145,
S003,7,122,4.1667,0.2172,0.2192,5.2602,0.2172,
S003,8,122,4.1667,0.4045,0.4734,11.3604,0.4045,
S003,9,122,4.1667,0.7684,0.8415,20.196,0.7684,
S003,10,122,4.1667,1.0301,1.1114,26.6746,1.0301,
S003,11,122,4.1667,1.1909,1.2835,30.8038,1.1909,
S003,12,122,4.1667,1.261,1.3541,32.4992,1.261,
S003,13,122,4.1667,1.2089,1.2911,30.9868,1.2089,
S003,14,122,4.1667,1.0221,1.0933,26.2398,1.0221,
S003,15,122,4.1667,0.8036,0.8685,20.845,0.8036,
S003,16,122,4.1667,0.5446,0.5904,14.1697,0.5446,
S003,17,122,4.1667,0.2704,0.2999,7.1979,0.2704,
S003,18,122,4.1667,0.2167,0.2174,5.2185,0.2167,
S003,19,122,4.1667,0.2145,0.2145,5.148,0.2145,
S004,6,122,3.97,0.0012,0.0073,0.1839,-0.0012,0.0
S004,7,122,3.97,0.0794,0.1564,3.9394,-0.0794,0.0507
S004,8,122,3.97,0.2271,0.2858,7.2,-0.1914,0.5081
S004,9,122,3.97,0.2453,0.3396,8.5549,-0.1122,0.8542
S004,10,122,3.97,0.3108,0.4222,10.6353,-0.0297,0.9715
S004,11,122,3.97,0.329,0.4314,10.8675,-0.0563,0.9549
S004,12,122,3.97,0.3956,0.5364,13.5124,-0.0978,0.9266
S004,13,122,3.97,0.3578,0.5048,12.7162,-0.0278,0.9771
S004,14,122,3.97,0.3013,0.4407,11.1009,-0.0389,0.96
S004,15,122,3.97,0.2261,0.3303,8.32,-0.0821,0.8762
S004,16,122,3.97,0.1322,0.1894,4.7709,-0.0772,0.7204
S004,17,122,3.97,0.04,0.1183,2.9804,-0.0362,0.3433
S004,18,122,3.97,0.0013,0.0093,0.2348,-0.0013,0.0
S004,19,122,3.97,0.0,0.0,0.0,0.0,
S006,6,122,5.0,0.0,0.0,0.0,0.0,
S006,7,122,5.0,0.0099,0.0368,0.7361,-0.0099,0.1344
S006,8,122,5.0,0.1118,0.1653,3.3056,0.0175,1.1414
S006,9,122,5.0,0.3062,0.3798,7.5955,0.2463,1.8361
S006,10,122,5.0,0.4698,0.548,10.96,0.4276,1.9553
S006,11,122,5.0,0.5323,0.6182,12.3646,0.4456,1.7756
S006,12,122,5.0,0.5216,0.5963,11.9253,0.4163,1.6923
S006,13,122,5.0,0.465,0.5488,10.9757,0.3836,1.6561
S006,14,122,5.0,0.41,0.4762,9.5239,0.3018,1.6229
S006,15,122,5.0,0.2173,0.269,5.3797,0.149,1.452
S006,16,122,5.0,0.1017,0.1468,2.9354,-0.032,0.8035
S006,17,122,5.0,0.0328,0.0775,1.5498,-0.0182,0.318
S006,18,122,5.0,0.0,0.0,0.0,0.0,
S006,19,122,5.0,0.0,0.0,0.0,0.0,
S007,6,122,22.0,0.0231,0.0788,0.3582,-0.0231,0.0
S007,7,122,22.0,0.7349,1.2924,5.8746,-0.7148,0.071
S007,8,122,22.0,2.0468,2.4773,11.2604,-1.2617,0.6368
S007,9,122,22.0,1.9684,2.6642,12.1099,0.1175,1.0172
S007,10,122,22.0,2.1958,2.9337,13.3349,0.6542,1.074
S007,11,122,22.0,2.4851,3.3414,15.1884,0.0632,1.006
S007,12,122,22.0,2.2452,3.0214,13.7337,0.1863,1.0178
S007,13,122,22.0,2.6508,3.3944,15.4292,0.4319,1.0471
S007,14,122,22.0,1.7856,2.412,10.9635,-0.1586,0.9793
S007,15,122,22.0,1.2992,1.8551,8.4324,-0.2547,0.9494
S007,16,122,22.0,0.6239,0.8807,4.0031,-0.1233,0.9383
S007,17,122,22.0,0.1626,0.3279,1.4905,-0.1113,0.6766
S007,18,122,22.0,0.0193,0.0716,0.3254,-0.0193,0.0
S007,19,122,22.0,0.0,0.0,0.0,0.0,
S008,6,122,3.172,0.1305,0.1318,4.1539,0.1303,21.9118
S008,7,122,3.172,0.1159,0.1531,4.8281,0.0115,1.0898
S008,8,122,3.172,0.1935,0.2541,8.0109,-0.1025,0.7839
S008,9,122,3.172,0.2355,0.3321,10.4712,-0.059,0.9341
S008,10,122,3.172,0.3193,0.4562,14.3806,-0.097,0.9204
S008,11,122,3.172,0.3903,0.5146,16.2221,-0.1881,0.867
S008,12,122,3.172,0.3783,0.4964,15.6506,-0.1539,0.8926
S008,13,122,3.172,0.3855,0.5475,17.2614,-0.1239,0.9083
S008,14,122,3.172,0.2739,0.3955,12.4675,-0.0574,0.9468
S008,15,122,3.172,0.2165,0.3134,9.879,0.0155,1.0214
S008,16,122,3.172,0.1613,0.2267,7.1476,0.0399,1.11
S008,17,122,3.172,0.1136,0.1219,3.8444,0.0999,2.3407
S008,18,122,3.172,0.1311,0.1323,4.1707,0.1311,23.2154
S008,19,122,3.172,0.1365,0.1365,4.3033,0.1365,
S009,6,122,5.25,0.3779,0.3795,7.2285,0.3779,32.1486
S009,7,122,5.25,0.2924,0.3182,6.0604,0.2257,2.3731
S009,8,122,5.25,0.3622,0.549,10.4573,-0.1996,0.6615
S009,9,122,5.25,0.8116,1.0769,20.5131,-0.7533,0.3411
S009,10,122,5.25,1.1507,1.4198,27.0443,-1.1115,0.2597
S009,11,122,5.25,1.4156,1.6968,32.3203,-1.3793,0.2204
