site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S023,连洋徐圩光伏发电站,连云区,rooftop,16.37,1708,1235,27.69,0.691,1.0102,6.1712,0.1663,1.082,正常评价,否,
S049,华能灌云光伏发电站,灌云县,rooftop,14.1,1708,1238,27.52,0.612,0.92,6.5247,0.1222,1.0705,正常评价,否,
S031,富云杨集光伏电站,灌云县,ground,0.922,1708,1134,33.61,0.0416,0.0607,6.5769,0.0167,1.154,正常评价,否,
S062,韩华大浦光伏电站,连云区,rooftop,4.454,1708,1219,28.63,0.2362,0.2933,6.5845,0.1743,1.3324,正常评价,否,
S056,昱中科技光伏电站,连云区,rooftop,3.15,1708,1148,32.79,0.1315,0.2272,7.2119,-0.0618,0.8573,测试期分布漂移,是,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.109>=0.2
S006,沐恒石湖光伏电站,东海县,rooftop,5.0,1708,922,46.02,0.227,0.3624,7.2482,0.1663,1.6391,系统性偏差,是,"pred/actual=2.501超出[0.8,1.2]"
S047,汇九齿轮光伏发电站,灌云县,rooftop,4.8,1708,1230,27.99,0.2573,0.3532,7.3585,0.112,1.1608,正常评价,否,
S010,易睐珂浦南光伏发电站,海州区,rooftop,2.0,1708,1421,16.8,0.1127,0.1512,7.562,0.0654,1.2215,测试期分布漂移,是,cf_mean漂移-0.093>=0.1或cf_p95漂移-0.227>=0.2
S070,旭日虎山光伏发电站,连云区,rooftop,2.1,1708,1212,29.04,0.1116,0.1591,7.5776,0.0531,1.2151,测试期分布漂移,是,cf_mean漂移-0.092>=0.1或cf_p95漂移-0.221>=0.2
S064,昱瑞青口光伏发电站,赣榆区,rooftop,3.288,1708,1135,33.55,0.191,0.2539,7.7211,0.1214,1.282,正常评价,否,
S016,衡航亚新光伏电站,灌南县,rooftop,8.5,1708,1062,37.82,0.382,0.666,7.8352,-0.0785,0.9331,测试期分布漂移,是,cf_mean漂移-0.164>=0.1或cf_p95漂移-0.275>=0.2
S068,富云下车光伏电站,灌云县,ground,1.223,1708,1230,27.99,0.0724,0.0975,7.9729,0.0287,1.1663,正常评价,否,
