hour,sm_nrmse_Round58,city_nrmse_Round58,bias_Round58,sm_nrmse_Round59,city_nrmse_Round59,bias_Round59,sm_nrmse_Round60,city_nrmse_Round60,bias_Round60
6,4.1951,1.0339,-33.4595,4.3334,0.9798,-31.0312,4.1759,1.0411,-34.2408
7,5.6191,4.0362,-61.3347,5.7446,3.9794,-59.7719,5.5998,3.9909,-60.4122
8,7.8392,4.0803,-21.3063,7.8565,4.0772,-21.5291,7.8074,4.0511,-20.7877
9,11.3433,4.6635,1.6603,11.3167,4.6412,1.1202,11.2987,4.6715,2.073
10,14.5192,5.9006,8.2393,14.4799,5.8484,7.8088,14.478,5.9493,8.7217
11,16.3029,6.4196,8.2874,16.2907,6.3925,8.0175,16.2913,6.5091,8.8764
12,16.9753,6.4264,8.8577,16.9604,6.4232,8.7357,16.966,6.5491,9.541
13,16.578,6.5455,10.3659,16.5727,6.5104,10.1229,16.5814,6.6477,10.9998
14,14.2375,5.8861,5.7541,14.1581,5.8474,5.3744,14.1681,5.9243,6.2722
15,10.091,3.5769,1.1767,10.0458,3.5541,0.7185,10.0233,3.5815,1.6941
16,6.6768,2.1116,-2.3219,6.7186,2.1087,-2.5109,6.6784,2.1039,-1.5166
17,4.283,2.1053,-43.4928,4.357,2.0974,-43.3462,4.283,2.1053,-43.4928
18,4.1945,1.3154,-28.7523,4.3484,1.277,-25.6851,4.1945,1.3154,-28.7523
19,3.9396,1.2448,-27.8772,4.0822,1.2125,-24.9402,3.9396,1.2448,-27.8772
