site_id,capacity_mw,sm_nrmse_Round58,bias_Round58,sm_nrmse_Round59,bias_Round59,sm_nrmse_Round60,bias_Round60
S002,3.3,14.3005,-29.6838,14.3709,-20.1489,14.2739,-25.3691
S003,4.1667,13.5108,,13.5108,,13.5108,
S004,3.97,8.5326,8.5877,10.318,25.1039,9.3381,17.1531
S006,5.0,8.7137,80.3068,8.633,79.1889,8.7723,81.1139
S007,22.0,9.8416,6.9147,9.6672,3.8569,9.6113,2.244
S008,3.172,10.5289,14.6457,10.1535,7.9504,10.4694,13.8855
S009,5.25,14.5419,-19.235,15.056,-9.5513,14.8715,-12.5694
S010,2.0,7.2936,16.9386,7.2358,16.2487,7.2887,16.8833
S011,2.323,8.3177,17.6299,7.8492,10.1722,7.948,12.2272
S012,17.55,16.4076,157.8081,16.1426,153.5285,15.667,145.8116
S014,5.1,9.0076,20.8003,9.5116,25.4028,9.4028,24.4261
S016,8.5,7.7994,15.8051,8.1381,20.0783,8.0934,19.4648
S017,0.954,11.2308,66.1698,7.3158,16.3189,11.2113,66.3087
S018,5.1,8.0668,9.4078,8.4235,15.3049,8.0588,9.4961
S019,3.0,30.4289,-27.6506,30.9894,-35.1243,30.3453,-27.5911
S020,3.8,15.4758,-36.9331,14.0985,-11.778,14.4643,-27.0503
S021,2.2,18.7525,-27.9454,17.2428,0.8764,17.3875,-17.3902
S022,3.24,10.7702,-17.4227,13.2039,-32.5591,10.7625,-17.3111
S023,16.37,6.0975,1.9437,6.1003,2.4636,6.0969,1.7572
S024,5.99,7.83,19.1531,7.4617,10.9554,7.6676,16.2151
S025,5.65,7.8716,-4.0632,7.6903,0.7912,7.8629,-3.9695
S028,3.14,10.3411,1.6968,10.4332,5.8867,10.4581,6.6914
S030,2.9,9.3978,14.9552,9.3585,14.5299,9.381,14.7793
S031,0.9222,6.9664,23.1058,6.6123,17.2337,6.7318,19.5285
S032,9.335,20.3974,-73.4574,19.1028,-63.764,19.6509,-69.1078
S033,5.688,9.2184,1.9408,9.3525,9.0155,9.2768,6.9155
S034,3.496,11.198,21.0616,11.1241,20.2989,11.3746,22.7926
S035,5.296,8.3589,4.9985,8.4323,8.8624,8.4693,10.1649
S037,5.946,13.5068,5.8709,13.9898,-25.8904,13.5068,5.8709
S038,1.672,10.8707,11.7633,10.3746,5.7281,10.4737,7.2157
S039,3.45,8.8943,30.5547,10.3735,48.3232,9.6982,40.5342
S040,5.96,9.7922,13.3481,9.2567,7.9527,9.6456,12.0432
S041,2.2,11.4829,4.7194,12.5523,18.5089,11.7884,11.2321
S042,3.724,9.5125,19.6996,8.9253,9.9321,9.3087,17.202
S044,8.492,16.7033,,16.7033,,16.7033,
S045,2.915,17.8386,421.7666,17.1512,398.3915,17.383,407.4514
S046,4.25,17.5241,-37.9397,17.19,-21.0842,17.0768,-28.3287
S047,4.8,7.5607,-11.3163,6.8932,3.8752,7.5577,-11.2256
S048,4.0,7.6738,7.9505,7.3573,1.5166,7.5961,6.7283
S049,14.1,6.4051,-2.3231,6.3768,-0.7602,6.3883,-1.5387
S050,2.55,14.1835,48.0341,16.4253,71.3791,14.8865,55.7187
S051,5.025,10.6645,17.0617,11.7061,27.2929,11.2267,22.7758
S052,6.08,10.7726,-21.2603,12.5158,-32.3547,11.5235,-25.6898
S053,13.33,24.4977,-34.1394,24.5458,-38.8813,24.4839,-34.1069
S054,11.272,7.3939,10.9974,7.371,10.5979,7.2404,8.0218
S055,4.0,11.3707,9.9161,10.9953,3.9147,11.3017,8.8678
S056,3.15,7.7999,16.8575,8.2688,21.4266,8.1754,20.5566
S058,5.99,9.5604,-8.4382,9.6851,-11.24,9.5682,-8.6058
S059,2.0,13.8285,-23.4549,13.647,-26.0191,13.537,-26.7002
S060,5.84,9.6295,5.5355,11.254,21.7879,10.2796,13.3025
S061,3.784,9.1542,-2.0027,9.9218,10.1784,9.4591,4.4993
S062,4.4537,5.5442,13.3432,5.4162,8.8322,5.5212,12.7091
S063,3.66,10.4897,12.0725,10.428,7.3206,10.5056,12.6194
S064,3.288,7.4688,23.7096,7.3622,22.3983,7.5082,24.1641
S065,1.9239,10.5702,15.9117,9.8954,7.4038,10.0288,9.9035
S066,5.45,14.5461,-20.5429,15.0061,-12.2873,14.8686,-14.5326
S068,1.223,7.9177,16.5228,7.5373,7.2592,7.6152,10.1781
S069,3.0,16.1277,,16.1277,,16.1277,
S070,2.1,7.4279,19.3813,7.2452,15.8834,7.307,17.2119
S071,20.0,13.3968,-31.4187,13.2743,-47.7959,13.3872,-31.382
S072,3.125,11.8833,-7.5334,11.793,-6.7197,11.5853,-4.8367
S073,15.0,9.7717,-21.8138,9.1879,-17.4041,9.5822,-20.5023
S074,4.0,8.8023,4.7408,8.9747,12.4498,8.891,10.4437
S075,2.63,8.7841,0.5188,9.5851,12.6414,8.9775,4.7702
S076,5.0,21.3637,,21.3637,,21.3637,
S077,0.901,6.7634,,6.7634,,6.7634,
S115,7.0,17.6378,4.1065,17.5098,0.3483,17.5964,3.1476
S116,22.0,9.4768,0.6322,9.4881,1.4071,9.4724,-0.6384
