site_id,day_zero_rate,day_zero_run_rate,day_rows,site_short_name,county,capacity_mw,dev_type
S001,1.0,0.0,8708,智邦纺织光伏,灌云县,5.99,分布式
S069,1.0,0.0,4357,沐恒东海科创园光伏,东海县,3.0,分布式
S044,0.9655251666283613,0.0,4351,国能汇菇源光伏,灌云县,8.492,分布式
S107,0.9653351698806244,0.0,4356,中核田湾光伏,连云区,238.48,集中式
S037,0.9591180523656407,0.0,4354,华能中林三期光伏,灌云县,5.946,分布式
S089,0.94287680660702,0.0,4359,信诚宁海光伏,海州区,28.0,集中式
S055,0.8890420399724328,0.0,4353,沐恒曲阳光伏,东海县,4.0,分布式
S076,0.8669114272602111,0.0,4358,太阳光东海光伏,东海县,5.0,分布式
S045,0.8497361780224822,0.0,4359,华能华兴光伏,灌云县,2.915,分布式
S006,0.8294698186825797,0.0,4357,沐恒石湖光伏,东海县,5.0,分布式
S036,0.8126576473285944,0.0,4361,新朗启创光伏,连云区,2.97,分布式
S048,0.8124283421233662,0.0,4361,卓贵光之明光伏,连云区,4.0,分布式
S034,0.811424638678596,0.0,4359,建魄俊达光伏,灌云县,3.496,分布式
S015,0.8023442886692714,0.0,8702,振江轨道交通光伏,灌云县,9.73,分布式
S063,0.7975671333486344,0.0,4357,铭信润海光伏,东海县,3.66,分布式
S016,0.79150401836969,0.0,4355,衡航亚新光伏,灌南县,8.5,分布式
S012,0.7852718513420509,0.0,4359,泰富如意情光伏,东海县,17.55,分布式
S038,0.7794083925705113,0.0,4361,衡诚天晴光伏,海州区,1.672,分布式
S051,0.7731343283582089,0.0,4355,鲲鹏德宇光伏,灌云县,5.025,分布式
S056,0.7701307639366827,0.0,4359,昱中科技光伏,连云区,3.15,分布式
S061,0.7669035067614027,0.0,4363,嘉伏黎明光伏,连云区,3.784,分布式
S004,0.7655425556320257,0.0,4359,旭樱东堡光伏,连云区,3.97,分布式
S050,0.7648003671408903,0.0,4358,沐恒东海产业园光伏,东海县,2.55,分布式
S014,0.7639908256880734,0.0,4360,鲲鹏昇昌光伏,灌云县,5.1,分布式
S039,0.7637198622273249,0.0,4355,沐恒腾东光伏,东海县,3.45,分布式
S002,0.7631277229993121,0.0,4361,华筑泰宝光伏,连云区,3.3,分布式
S040,0.7576799633195782,0.0,4362,华电苏班光伏,赣榆区,5.96,分布式
S060,0.7528089887640449,0.0,4361,华电蒙然源光伏,赣榆区,5.84,分布式
S008,0.7291714482442048,0.0,4357,协鑫盛昌光伏,灌云县,3.172,分布式
S075,0.7226428079834825,0.0,4359,旭樱新田光伏,海州区,2.63,分布式
