site_id,json_rows,matched_rows,missing_in_source,bad_value_rows,max_abs_diff,status
S002,3439,3439,0,0,4.440892098500626e-16,PASS
S003,11938,11938,0,0,4.440892098500626e-16,PASS
S004,3519,3519,0,0,4.440892098500626e-16,PASS
S006,3461,3461,0,0,2.220446049250313e-16,PASS
S007,15344,15344,0,0,8.881784197001252e-16,PASS
S008,3844,3844,0,0,4.440892098500626e-16,PASS
S009,6115,6115,0,0,4.440892098500626e-16,PASS
S010,15344,15344,0,0,2.220446049250313e-16,PASS
S011,15344,15344,0,0,2.220446049250313e-16,PASS
S012,3435,3435,0,0,8.881784197001252e-16,PASS
S014,3440,3440,0,0,4.440892098500626e-16,PASS
S016,3444,3444,0,0,8.881784197001252e-16,PASS
S017,15344,15344,0,0,1.1102230246251565e-16,PASS
S018,9390,9390,0,0,8.881784197001252e-16,PASS
S019,15344,15344,0,0,4.440892098500626e-16,PASS
S020,5180,5180,0,0,4.440892098500626e-16,PASS
S021,3728,3728,0,0,2.220446049250313e-16,PASS
S022,15344,15344,0,0,4.440892098500626e-16,PASS
S023,15344,15344,0,0,8.881784197001252e-16,PASS
S024,12436,12436,0,0,8.881784197001252e-16,PASS
S025,8361,8361,0,0,8.881784197001252e-16,PASS
S028,6115,6115,0,0,4.440892098500626e-16,PASS
S030,15344,15344,0,0,4.440892098500626e-16,PASS
S031,15344,15344,0,0,1.1102230246251565e-16,PASS
S032,10500,10500,0,0,8.881784197001252e-16,PASS
S033,4121,4121,0,0,8.881784197001252e-16,PASS
S034,3119,3119,0,0,4.440892098500626e-16,PASS
S035,11578,11578,0,0,8.881784197001252e-16,PASS
S037,3462,3462,0,0,4.440892098500626e-16,PASS
S038,3440,3440,0,0,2.220446049250313e-16,PASS
S039,3435,3435,0,0,4.440892098500626e-16,PASS
S040,3710,3710,0,0,8.881784197001252e-16,PASS
S041,10262,10262,0,0,2.220446049250313e-16,PASS
S042,5661,5661,0,0,4.440892098500626e-16,PASS
S044,4236,4236,0,0,8.881784197001252e-16,PASS
S045,4065,4065,0,0,4.440892098500626e-16,PASS
S046,5324,5324,0,0,4.440892098500626e-16,PASS
S047,13398,13398,0,0,4.440892098500626e-16,PASS
S048,3439,3439,0,0,4.440892098500626e-16,PASS
S049,15344,15344,0,0,8.881784197001252e-16,PASS
S050,3435,3435,0,0,2.220446049250313e-16,PASS
S051,3440,3440,0,0,4.440892098500626e-16,PASS
S052,6986,6986,0,0,8.881784197001252e-16,PASS
S053,15344,15344,0,0,8.881784197001252e-16,PASS
S054,4904,4904,0,0,8.881784197001252e-16,PASS
S055,3435,3435,0,0,4.440892098500626e-16,PASS
S056,3519,3519,0,0,2.220446049250313e-16,PASS
S058,15344,15344,0,0,8.881784197001252e-16,PASS
S059,15344,15344,0,0,2.220446049250313e-16,PASS
S060,3584,3584,0,0,8.881784197001252e-16,PASS
S061,3519,3519,0,0,4.440892098500626e-16,PASS
S062,15344,15344,0,0,4.440892098500626e-16,PASS
S063,3438,3438,0,0,4.440892098500626e-16,PASS
S064,15344,15344,0,0,4.440892098500626e-16,PASS
S065,15344,15344,0,0,2.220446049250313e-16,PASS
S066,7434,7434,0,0,4.440892098500626e-16,PASS
S068,15344,15344,0,0,1.1102230246251565e-16,PASS
S069,3438,3438,0,0,0.0,PASS
S070,15344,15344,0,0,2.220446049250313e-16,PASS
S071,15344,15344,0,0,8.881784197001252e-16,PASS
S072,11578,11578,0,0,4.440892098500626e-16,PASS
S073,10467,10467,0,0,8.881784197001252e-16,PASS
S074,5087,5087,0,0,4.440892098500626e-16,PASS
S075,4072,4072,0,0,2.220446049250313e-16,PASS
S076,3440,3440,0,0,8.881784197001252e-16,PASS
S077,15344,15344,0,0,1.1102230246251565e-16,PASS
S115,15344,15344,0,0,8.881784197001252e-16,PASS
S116,15344,15344,0,0,8.881784197001252e-16,PASS
