hour,sm_nrmse_base,sm_nrmse_r59,sm_nrmse_delta,c_nrmse_base,c_nrmse_r59,c_nrmse_delta,bias_base,bias_r59,bias_delta
6,4.1951,4.3334,0.1383,1.0339,0.9798,-0.0542,-33.4595,-31.0312,2.4284
7,5.6191,5.7446,0.1255,4.0362,3.9794,-0.0567,-61.3347,-59.7719,1.5628
8,7.8392,7.8565,0.0172,4.0803,4.0772,-0.0031,-21.3063,-21.5291,-0.2228
9,11.3433,11.3167,-0.0266,4.6635,4.6412,-0.0223,1.6603,1.1202,-0.5401
10,14.5192,14.4799,-0.0393,5.9006,5.8484,-0.0522,8.2393,7.8088,-0.4305
11,16.3029,16.2907,-0.0122,6.4196,6.3925,-0.0271,8.2874,8.0175,-0.2699
12,16.9753,16.9604,-0.015,6.4264,6.4232,-0.0031,8.8577,8.7357,-0.122
13,16.578,16.5727,-0.0053,6.5455,6.5104,-0.0351,10.3659,10.1229,-0.243
14,14.2375,14.1581,-0.0794,5.8861,5.8474,-0.0387,5.7541,5.3744,-0.3796
15,10.091,10.0458,-0.0453,3.5769,3.5541,-0.0228,1.1767,0.7185,-0.4582
16,6.6768,6.7186,0.0418,2.1116,2.1087,-0.0029,-2.3219,-2.5109,-0.189
17,4.283,4.357,0.0741,2.1053,2.0974,-0.0079,-43.4928,-43.3462,0.1465
18,4.1945,4.3484,0.1539,1.3154,1.277,-0.0383,-28.7523,-25.6851,3.0673
19,3.9396,4.0822,0.1426,1.2448,1.2125,-0.0323,-27.8772,-24.9402,2.9371
