site_id,capacity_mw,test_rows,test_positive_rows,zero_ratio_pct,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,in_master,capacity_ok
S002,3.3,1415,1415,0.0,0.3646,0.5045,15.2885,-17.145,True,True
S004,3.97,1184,1184,0.0,0.353,0.4775,12.0273,30.9031,True,True
S007,22.0,1276,1276,0.0,1.6727,2.4292,11.0419,6.9344,True,True
S008,3.172,1319,1319,0.0,0.2377,0.3609,11.3785,0.1714,True,True
S009,5.25,1312,1312,0.0,0.4444,0.6429,12.2465,16.5942,True,True
S010,2.0,1421,1421,0.0,0.1005,0.1504,7.5196,14.6501,True,True
S011,2.323,1286,1286,0.0,0.1264,0.1946,8.3777,5.3375,True,True
S012,17.55,1402,1402,0.0,2.2035,3.2907,18.7503,171.3084,True,True
S014,5.1,1261,1261,0.0,0.3955,0.5229,10.2532,31.4622,True,True
S017,0.954,1288,1288,0.0,0.046,0.0678,7.1028,-18.9879,True,True
S018,5.1,1261,1261,0.0,0.3196,0.4828,9.467,13.2831,True,True
S019,3.0,1357,1357,0.0,0.6719,1.0443,34.8098,-37.2078,True,True
S020,3.8,1255,1255,0.0,0.2776,0.3927,10.3346,13.0616,True,True
S021,2.2,1205,1205,0.0,0.2092,0.2788,12.6742,-4.4677,True,True
S022,3.24,1313,1313,0.0,0.3133,0.4294,13.2537,-31.3055,True,True
S023,16.37,1235,1235,0.0,0.7748,1.1367,6.9437,2.3407,True,True
S024,5.99,1260,1260,0.0,0.3855,0.5322,8.8846,-6.4603,True,True
S025,5.65,1241,1241,0.0,0.3513,0.5045,8.9287,1.8697,True,True
S028,3.14,1238,1238,0.0,0.3038,0.437,13.9171,-6.3211,True,True
S030,2.9,1253,1253,0.0,0.2116,0.2966,10.2282,11.2887,True,True
S032,9.335,1263,1263,0.0,1.1967,1.6198,17.3514,-50.6066,True,True
S033,5.688,1278,1278,0.0,0.4321,0.6037,10.6137,9.0463,True,True
S035,5.296,1285,1285,0.0,0.3361,0.4809,9.0797,1.0498,True,True
S038,1.672,1223,1223,0.0,0.1353,0.1896,11.341,7.2977,True,True
S039,3.45,1266,1266,0.0,0.3156,0.4802,13.9188,53.2389,True,True
S040,5.96,1264,1264,0.0,0.4691,0.6429,10.787,9.2217,True,True
S041,2.2,1257,1257,0.0,0.215,0.2992,13.5978,12.3998,True,True
S042,3.724,1241,1241,0.0,0.2462,0.3668,9.85,4.1309,True,True
S046,4.25,1304,1304,0.0,0.3799,0.5527,13.0051,8.2277,True,True
S047,4.8,1230,1230,0.0,0.2416,0.3684,7.6759,-2.5908,True,True
S049,14.1,1238,1238,0.0,0.6645,1.0274,7.2862,-2.0866,True,True
S050,2.55,1440,1440,0.0,0.2984,0.4326,16.9665,84.4499,True,True
S051,5.025,1266,1266,0.0,0.4809,0.6356,12.6493,37.4344,True,True
S052,6.08,1290,1290,0.0,0.6533,0.9061,14.9023,-41.5595,True,True
S053,13.33,1662,1662,0.0,2.6683,3.2058,24.0499,-41.7196,True,True
S054,11.272,1247,1247,0.0,0.7875,1.0589,9.3941,21.8425,True,True
S055,4.0,1503,1503,0.0,0.5383,0.7086,17.716,83.3317,True,True
S056,3.15,1148,1148,0.0,0.2192,0.2908,9.2333,24.3897,True,True
S059,2.0,1677,1677,0.0,0.2476,0.286,14.2993,-32.0967,True,True
S060,5.84,1251,1251,0.0,0.6233,0.7947,13.6078,33.2501,True,True
S061,3.784,1277,1277,0.0,0.2964,0.4088,10.8034,15.379,True,True
S062,4.4537,1219,1219,0.0,0.2086,0.3252,7.3008,-10.0819,True,True
S064,3.288,1135,1135,0.0,0.1908,0.2684,8.1629,11.5547,True,True
S065,1.9239,1413,1413,0.0,0.1302,0.2009,10.4409,6.3632,True,True
S066,5.45,1281,1281,0.0,0.415,0.5811,10.6626,7.3883,True,True
S068,1.223,1230,1230,0.0,0.0722,0.1047,8.5602,3.0684,True,True
S070,2.1,1212,1212,0.0,0.1179,0.1731,8.2427,11.1924,True,True
S071,20.0,1495,1495,0.0,2.477,2.9347,14.6735,-40.3373,True,True
S072,3.125,1282,1282,0.0,0.3165,0.4254,13.6121,-9.8871,True,True
S073,15.0,1333,1333,0.0,1.101,1.5464,10.3095,-17.7194,True,True
S074,4.0,1281,1281,0.0,0.2768,0.4023,10.0576,10.8245,True,True
S075,2.63,1281,1281,0.0,0.211,0.29,11.0263,22.7675,True,True
S116,22.0,1334,1334,0.0,3.3259,4.225,19.2045,9.5673,True,True
