site_id,rows,mae,rmse,nmae_cap,nrmse_cap,corr,site_short_name,county,capacity_mw,install_group,capacity_bucket,coastal_flag
S116,28464,3.676772062956717,6.719701964991726,0.16712600286166895,0.3054409984087148,,林洋伊山光伏电站,灌云县,22.0,unknown,large,0
S012,8049,1.1608032443614071,2.333227176327265,0.06614263500634798,0.13294741745454502,0.6605777847338989,泰富如意情光伏,东海县,17.55,rooftop,medium,0
S115,28464,1.1521915401911185,2.1567515386036593,0.16459879145587406,0.30810736265766564,,鑫众墩尚光伏电站,赣榆区,7.0,unknown,medium,1
S007,28464,0.8844103736465646,1.8966676236463509,0.0402004715293893,0.08621216471119776,0.9406619887366635,林洋朝阳光伏,连云区,22.0,ground,large,1
S001,2005,0.9962904505642041,1.8621147515035052,0.16632561779035127,0.3108705762109358,0.5457845576525755,智邦纺织光伏,灌云县,5.99,rooftop,medium,0
S053,28464,0.8345627722863143,1.5168176833611484,0.06260785988644518,0.11378977369551001,0.7990439891772682,鹰游新立成光伏电站,灌云县,13.33,rooftop,medium,0
S073,20101,0.6643923098193669,1.4361057497169152,0.04429282065462446,0.09574038331446101,0.8429337568090026,华能裕灌光伏,灌南县,15.0,rooftop,medium,0
S044,9416,0.695266446393586,1.404260334001552,0.08187310956118535,0.16536273363183607,0.4816929932207954,国能汇菇源光伏,灌云县,8.492,rooftop,medium,0
S071,28464,0.649655679027662,1.3182090952178087,0.0324827839513831,0.06591045476089044,0.8099009558885302,协鑫南岗光伏,灌云县,20.0,ground,large,0
S032,20160,0.48117256844762646,1.053017395936164,0.051544999298085314,0.11280314900226715,0.669788951516538,华能中林光伏,灌云县,9.335,rooftop,medium,0
S054,10568,0.46211346229950273,0.9528815922538576,0.040996581112447014,0.08453527255623293,0.8643849982277318,鸿天伍江光伏,连云区,11.272,rooftop,medium,1
S023,28464,0.41140717965040324,0.8749871493127197,0.025131776398925058,0.05345065053834573,0.9425807674266742,连洋徐圩光伏,连云区,16.37,rooftop,medium,1
S037,8096,0.3715244805552611,0.8561648346796034,0.062483094610706544,0.14399004955930095,0.6244759945445195,华能中林三期光伏,灌云县,5.946,rooftop,medium,0
S076,8054,0.45734537377835965,0.8453650985397154,0.09146907475567193,0.16907301970794308,0.6978830202404189,太阳光东海光伏,东海县,5.0,rooftop,medium,0
S049,28464,0.3965905471521394,0.8448028296352247,0.028126989159726203,0.05991509430037054,0.9303900276854397,华能灌云光伏,灌云县,14.1,rooftop,medium,0
S016,8064,0.36546257442812136,0.7295216627247606,0.04299559699154369,0.08582607796761889,0.8993145909712034,衡航亚新光伏,灌南县,8.5,rooftop,medium,0
S040,8520,0.31588568476134654,0.6759456924487719,0.05300095381901788,0.11341370678670669,0.8600604178686194,华电苏班光伏,赣榆区,5.96,rooftop,medium,1
