site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_rows,train_valid_positive_rows,train_valid_zero_ratio_pct,train_valid_low_output_ratio_pct,train_valid_capacity_factor_mean,train_valid_capacity_factor_p95,test_rows,test_positive_rows,test_zero_ratio_pct,test_low_output_ratio_pct,test_capacity_factor_mean,test_capacity_factor_p95,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_actual_sum_mwh,test_pred_sum_mwh,capacity_factor_shift_mean,capacity_factor_shift_p95,diagnosis_group,capacity_mapping_suspicion
S002,华筑泰宝光伏,3.3,5893,3095,47.4801,1731,1680,2.9463,5.0838,0.289556,0.951515,1708,1415,17.1546,5.6206,0.191906,0.453485,0.304588,0.462029,14.000888,-16.747997,0.83252,36.3583,47.5995,1081.66,900.503612,-0.09764999999999999,-0.49803,other,训练/测试峰值容量利用率漂移大
S003,京运通西湖光伏电站,4.1667,20462,7350,64.0798,10230,7350,28.1525,7.1261,0.184515,0.573595,1708,0,100.0,0.0,0.0,0.0,0.588944,0.830954,19.942747,100591669245522.69,1005916692455.2268,76.5222,0.0,0.0,1005.916692,-0.184515,-0.573595,high_sample_bad,训练/测试峰值容量利用率漂移大
S004,旭樱东堡光伏,3.97,6033,2816,53.3234,1811,1632,9.884,3.7548,0.313931,0.741814,1708,1184,30.6792,8.0796,0.144861,0.471033,0.250427,0.400149,10.079316,31.900215,1.319002,61.6511,14.5785,982.27,1295.616243,-0.16907000000000003,-0.270781,other,训练/测试峰值容量利用率漂移大
S008,协鑫盛昌光伏,3.172,6588,3365,48.9223,2136,2046,4.2135,6.9757,0.416408,0.946564,1708,1319,22.7752,9.9532,0.20643,0.630517,0.184077,0.317339,10.004374,0.249832,1.002498,42.6815,35.3044,1118.39,1121.184093,-0.209978,-0.31604699999999997,other,训练/测试峰值容量利用率漂移大
S016,衡航亚新光伏,8.5,5904,2602,55.9282,1736,1490,14.1705,2.4194,0.301807,0.733235,1708,1062,37.822,2.2834,0.137992,0.458412,0.482367,0.735652,8.654724,27.524634,1.275246,62.2951,13.8173,2003.37,2554.790263,-0.163815,-0.274823,low_sample_good,训练/测试峰值容量利用率漂移大
S017,富云四队光伏,0.954,26304,5982,77.2582,13636,4694,65.5764,2.4201,0.100868,0.566038,1708,1288,24.5902,11.8852,0.081746,0.167715,0.035363,0.059518,6.238761,-18.141335,0.818587,35.1288,42.74,133.2,109.035742,-0.019122,-0.39832300000000004,other,训练/测试峰值容量利用率漂移大
S033,天瀚万发光伏,5.688,7065,3545,49.8231,2413,2267,6.0506,7.4596,0.371939,0.849859,1708,1278,25.1756,9.7775,0.176701,0.560214,0.324,0.522323,9.18289,9.115083,1.091151,49.5316,27.459,1716.67,1873.145898,-0.19523800000000002,-0.28964500000000004,low_sample_good,训练/测试峰值容量利用率漂移大
S034,建魄俊达光伏,3.496,5343,2332,56.3541,1411,1261,10.6308,3.8979,0.331339,0.795195,1708,1071,37.2951,4.0398,0.15304,0.517735,0.21325,0.369528,10.570025,19.827078,1.198271,55.6206,20.9016,913.83,1095.015787,-0.17829899999999999,-0.27746000000000004,other,训练/测试峰值容量利用率漂移大
S037,华能中林三期光伏,5.946,5936,762,87.1631,1754,3,99.829,0.0,0.000473,0.0,1708,759,55.5621,3.63,0.112857,0.489405,0.50206,0.877921,14.7649,50.884804,1.508848,52.3419,22.7752,1146.15,1729.366186,0.112384,0.489405,other,训练/测试峰值容量利用率漂移大
S038,衡诚天晴光伏,1.672,5894,2735,53.5969,1732,1512,12.7021,5.6582,0.361849,0.887859,1708,1223,28.3958,7.2014,0.184353,0.616029,0.101415,0.165493,9.89788,8.764585,1.087646,49.5316,27.0492,526.47,572.61291,-0.177496,-0.2718299999999999,low_sample_good,训练/测试峰值容量利用率漂移大
S039,沐恒腾东光伏,3.45,5889,2913,50.5349,1727,1647,4.6323,9.0909,0.270456,0.675362,1708,1266,25.8782,10.0117,0.110501,0.396087,0.234917,0.413831,11.995089,53.499618,1.534996,63.9344,12.6464,651.14,999.497414,-0.15995499999999996,-0.279275,other,训练/测试峰值容量利用率漂移大
S044,国能汇菇源光伏,8.492,7256,469,93.5364,2528,463,81.6851,1.8196,0.066556,0.575012,1708,0,100.0,0.0,0.0,0.0,1.443713,2.010586,23.676241,246586162353713.44,2465861623537.1343,75.3513,0.0,0.0,2465.861624,-0.066556,-0.575012,other,训练/测试峰值容量利用率漂移大
S045,华能华兴光伏,2.915,6969,1743,74.9892,2357,1583,32.8384,17.5223,0.239546,0.891938,1708,160,90.6323,0.1756,0.027693,0.267581,0.459907,0.663333,22.75584,541.532565,6.415326,69.1452,6.8501,137.88,884.5451,-0.211853,-0.624357,other,训练/测试峰值容量利用率漂移大
S059,首耀清墩光伏,2.0,26304,12838,51.1937,13636,11131,18.3705,9.7683,0.215204,0.58,1708,1677,1.815,1.2295,0.203267,0.205,0.243474,0.283428,14.171382,-32.006533,0.679935,30.9719,67.7986,694.36,472.119437,-0.011937000000000003,-0.375,other,训练/测试峰值容量利用率漂移大
S060,华电蒙然源光伏,5.84,6144,3029,50.6999,1876,1778,5.2239,7.4094,0.338841,0.810788,1708,1251,26.7564,7.4941,0.152557,0.501113,0.459933,0.681181,11.664051,33.632376,1.336324,58.4895,18.4426,1521.71,2033.497229,-0.186284,-0.3096749999999999,other,训练/测试峰值容量利用率漂移大
S074,华能中林二期光伏,4.0,8721,4246,51.3129,3379,2965,12.2521,7.7242,0.329755,0.835,1708,1281,25.0,10.6557,0.172938,0.55,0.207998,0.348481,8.712033,10.878425,1.108784,49.4731,27.5176,1181.51,1310.039674,-0.156817,-0.2849999999999999,other,训练/测试峰值容量利用率漂移大
S076,太阳光东海光伏,5.0,5894,1317,77.6552,1732,1317,23.9607,0.8083,0.309724,0.8949,1708,0,100.0,0.0,0.0,0.0,0.926196,1.278113,25.562252,158194356630366.25,1581943566303.6626,75.2927,0.0,0.0,1581.943566,-0.309724,-0.8949,other,训练/测试峰值容量利用率漂移大
S077,富云图河光伏,0.901,26304,5483,79.1553,13636,5483,59.7903,2.0094,0.119114,0.577137,1708,0,100.0,0.0,0.0,0.0,0.027819,0.047374,5.257969,4751485027824.574,47514850278.24574,74.7658,0.0,0.0,47.51485,-0.119114,-0.577137,other,训练/测试峰值容量利用率漂移大
