hour,n_sites,n_timestamps,capacity_sum_MW,actual_sum_MWh,pred_sum_MWh,mae_city_MW,rmse_city_MW,nrmse_city_pct,bias_city_MW,pred_actual_ratio
6,68,122,388.7,1251.69,1195.31,1.8746,2.1402,0.5506,-0.4622,0.955
7,68,122,388.7,2295.29,1237.33,9.7785,13.7046,3.5258,-8.6718,0.5391
8,68,122,388.7,5598.14,3693.59,17.4675,20.4962,5.273,-15.6111,0.6598
9,68,122,388.7,9618.74,8598.83,14.9543,19.9132,5.1231,-8.3599,0.894
10,68,122,388.7,12668.99,11893.93,17.5652,22.8423,5.8766,-6.353,0.9388
11,68,122,388.7,14773.59,13499.52,20.0169,25.8175,6.642,-10.4432,0.9138
12,68,122,388.7,15331.48,13889.67,20.1251,25.8985,6.6629,-11.8181,0.906
13,68,122,388.7,14189.79,13142.08,18.6139,24.0166,6.1788,-8.5878,0.9262
14,68,122,388.7,11923.45,10805.49,17.7063,24.0644,6.191,-9.1636,0.9062
15,68,122,388.7,8381.38,7516.29,11.7332,15.858,4.0798,-7.0909,0.8968
16,68,122,388.7,4473.15,3917.07,7.0067,9.9208,2.5523,-4.558,0.8757
17,68,122,388.7,1924.04,1593.74,3.9882,5.4306,1.3971,-2.7074,0.8283
18,68,122,388.7,1149.89,1200.45,3.2331,4.3686,1.1239,0.4144,1.044
19,68,122,388.7,1072.79,1195.31,3.0231,4.2906,1.1038,1.0042,1.1142
