site_id,site_name,site_status,exclude_reason,nrmse_pct,mae_MW,rmse_MW,pred_actual_ratio,test_zero_ratio_6_19_pct
S056,昱中科技光伏电站,测试期分布漂移,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.109>=0.2,7.2119,0.1315,0.2272,0.8573,32.79
S010,易睐珂浦南光伏发电站,测试期分布漂移,cf_mean漂移-0.093>=0.1或cf_p95漂移-0.227>=0.2,7.562,0.1127,0.1512,1.2215,16.8
S070,旭日虎山光伏发电站,测试期分布漂移,cf_mean漂移-0.092>=0.1或cf_p95漂移-0.221>=0.2,7.5776,0.1116,0.1591,1.2151,29.04
S016,衡航亚新光伏电站,测试期分布漂移,cf_mean漂移-0.164>=0.1或cf_p95漂移-0.275>=0.2,7.8352,0.382,0.666,0.9331,37.82
S039,沐恒腾东光伏电站,测试期分布漂移,cf_mean漂移-0.160>=0.1或cf_p95漂移-0.279>=0.2,8.1321,0.167,0.2806,1.055,25.88
S004,旭樱东堡光伏电站,测试期分布漂移,cf_mean漂移-0.169>=0.1或cf_p95漂移-0.271>=0.2,8.1951,0.1891,0.3253,0.8967,30.68
S014,鲲鹏昇昌光伏电站,测试期分布漂移,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.246>=0.2,8.2211,0.2485,0.4193,0.9146,26.17
S024,兴怡紧固件光伏电站,测试期分布漂移,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.212>=0.2,8.5083,0.3829,0.5096,1.3069,26.23
S025,夏源银得隆光伏电站,测试期分布漂移,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.205>=0.2,8.723,0.3814,0.4929,1.224,27.34
S074,华能中林二期光伏电站,测试期分布漂移,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.285>=0.2,8.7268,0.2021,0.3491,0.9545,25.0
S018,国能百菇源光伏电站,测试期分布漂移,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.231>=0.2,8.7795,0.327,0.4478,1.2329,26.17
S075,旭樱新田光伏电站,测试期分布漂移,cf_mean漂移-0.160>=0.1或cf_p95漂移-0.235>=0.2,8.9486,0.1413,0.2353,1.019,25.0
S042,国能联合动力光伏电站,测试期分布漂移,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.207>=0.2,9.0149,0.19,0.3357,0.8927,27.34
S033,天瀚万发光伏电站,测试期分布漂移,cf_mean漂移-0.195>=0.1或cf_p95漂移-0.290>=0.2,9.2742,0.3164,0.5275,0.9291,25.18
S035,国能品品鲜光伏电站,测试期分布漂移,cf_mean漂移-0.087>=0.1或cf_p95漂移-0.246>=0.2,9.7999,0.3833,0.519,1.3125,24.77
S051,鲲鹏德宇光伏电站,测试期分布漂移,cf_mean漂移-0.124>=0.1或cf_p95漂移-0.186>=0.2,9.8254,0.2967,0.4937,0.9444,25.88
S060,华电蒙然源光伏电站,测试期分布漂移,cf_mean漂移-0.186>=0.1或cf_p95漂移-0.310>=0.2,9.8409,0.3601,0.5747,0.9852,26.76
S040,华电苏班光伏电站,测试期分布漂移,cf_mean漂移-0.147>=0.1或cf_p95漂移-0.230>=0.2,9.8498,0.3418,0.587,0.8275,26.0
S061,嘉伏黎明光伏电站,测试期分布漂移,cf_mean漂移-0.134>=0.1或cf_p95漂移-0.225>=0.2,10.0639,0.2193,0.3808,0.7598,25.23
S034,建魄俊达光伏电站,测试期分布漂移,cf_mean漂移-0.178>=0.1或cf_p95漂移-0.277>=0.2,10.3164,0.2018,0.3607,1.048,37.3
S038,衡诚天晴光伏电站,测试期分布漂移,cf_mean漂移-0.177>=0.1或cf_p95漂移-0.272>=0.2,10.4006,0.1035,0.1739,0.919,28.4
S017,富云四队光伏电站,测试期分布漂移,cf_mean漂移-0.019>=0.1或cf_p95漂移-0.398>=0.2,10.523,0.0727,0.1004,1.4338,24.59
