类型,site_id,site_name,county,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,pred_actual_ratio
相对正确,S064,昱瑞青口光伏发电站,赣榆区,3.288,1708,1135,33.55,0.191,0.2539,7.7211,1.282
相对正确,S068,富云下车光伏电站,灌云县,1.223,1708,1230,27.99,0.0724,0.0975,7.9729,1.1663
相对正确,S011,中森西苑光伏电站,灌云县,2.323,1708,1286,24.71,0.1241,0.1862,8.0163,1.1265
相对正确,S048,卓贵光之明光伏电站,连云区,4.0,1708,1129,33.9,0.1961,0.3501,8.7515,0.7703
预测最好,S023,连洋徐圩光伏发电站,连云区,16.37,1708,1235,27.69,0.691,1.0102,6.1712,1.082
预测最好,S049,华能灌云光伏发电站,灌云县,14.1,1708,1238,27.52,0.612,0.92,6.5247,1.0705
预测最好,S031,富云杨集光伏电站,灌云县,0.922,1708,1134,33.61,0.0416,0.0607,6.5769,1.154
预测最好,S062,韩华大浦光伏电站,连云区,4.454,1708,1219,28.63,0.2362,0.2933,6.5845,1.3324
预测最好,S047,汇九齿轮光伏发电站,灌云县,4.8,1708,1230,27.99,0.2573,0.3532,7.3585,1.1608
预测最差,S030,中森侍庄光伏发电站,灌云县,2.9,1708,1253,26.64,0.1592,0.2602,8.9725,0.9426
预测最差,S007,林洋朝阳光伏电站,连云区,22.0,1708,1276,25.29,1.3029,2.1627,9.8304,0.9814
预测最差,S058,远途大浦光伏电站,连云区,5.99,1708,1296,24.12,0.4997,0.624,10.4171,1.1575
预测最差,S065,中盛石榴光伏电站,东海县,1.924,1708,1413,17.27,0.1445,0.2023,10.5142,1.1615
预测最差,S072,交控大浦光伏电站,连云区,3.125,1708,1282,24.94,0.271,0.3669,11.7394,1.0004
