site_id,hour,specialist_nrmse_pct
S002,10,17.694
S002,11,17.8211
S002,12,19.2253
S002,13,18.6504
S002,14,17.8136
S004,10,12.5962
S004,11,14.0102
S004,12,15.4356
S004,13,15.6129
S004,14,13.9482
S007,10,11.0041
S007,11,11.2689
S007,12,11.8363
S007,13,11.356
S007,14,9.501
S008,10,15.7591
S008,11,16.4934
S008,12,17.5046
S008,13,19.4588
S008,14,16.6349
S009,10,17.877
S009,11,20.054
S009,12,20.1563
S009,13,19.1619
S009,14,17.953
S010,10,9.6275
S010,11,10.1773
S010,12,10.7817
S010,13,10.7183
S010,14,10.2602
S011,10,7.8748
S011,11,8.4666
S011,12,9.2612
S011,13,8.9473
S011,14,8.4373
S012,10,16.5551
S012,11,17.5172
S012,12,18.897
S012,13,18.0571
S012,14,14.6313
S014,10,12.6505
S014,11,14.7032
S014,12,15.7117
S014,13,15.2903
S014,14,13.8293
S017,10,15.2555
S017,11,16.0536
S017,12,16.4419
S017,13,15.7774
S017,14,14.7628
S018,10,9.4783
S018,11,11.7928
S018,12,11.6237
S018,13,11.7105
S018,14,11.181
S019,10,15.8038
S019,11,16.1561
S019,12,16.0834
S019,13,14.8095
S019,14,14.9255
S020,10,18.1766
S020,11,19.819
S020,12,20.3133
S020,13,19.6028
S020,14,17.4517
S021,10,19.3276
S021,11,20.1572
S021,12,20.4424
S021,13,20.4989
S021,14,18.7897
S022,10,10.9462
S022,11,12.4041
S022,12,12.7786
S022,13,12.5243
S022,14,11.2374
S023,10,6.503
S023,11,7.0009
S023,12,7.1637
S023,13,7.3837
S023,14,6.5501
S024,10,9.462
S024,11,10.4401
S024,12,10.4038
S024,13,10.5436
S024,14,9.5029
S025,10,10.0217
S025,11,11.3911
S025,12,11.6496
S025,13,11.6953
S025,14,10.8327
S028,10,13.2597
S028,11,13.7617
S028,12,14.9018
S028,13,14.8928
S028,14,14.0956
S030,10,10.0413
S030,11,10.7693
S030,12,11.4162
S030,13,10.8683
S030,14,10.8822
S032,10,16.3818
S032,11,18.5894
S032,12,19.3361
S032,13,18.0568
S032,14,16.3956
S033,10,14.4198
S033,11,15.1341
S033,12,16.5941
S033,13,15.0412
S033,14,15.0698
S035,10,10.7775
S035,11,12.7563
S035,12,12.8326
S035,13,12.2375
S035,14,11.1059
S038,10,17.2839
S038,11,17.8401
S038,12,17.6389
S038,13,18.9707
S038,14,17.9932
S039,10,16.3255
S039,11,17.2444
S039,12,18.2326
S039,13,17.8844
S039,14,17.1641
S040,10,13.2866
S040,11,14.784
S040,12,16.3119
S040,13,17.0343
S040,14,15.7958
S041,10,13.2204
S041,11,14.7736
S041,12,15.4825
S041,13,15.7588
S041,14,14.4882
S042,10,11.3248
S042,11,13.0773
S042,12,12.8816
S042,13,13.1185
S042,14,12.2303
S046,10,18.169
S046,11,20.9079
S046,12,20.9783
S046,13,20.8538
S046,14,18.2697
S047,10,8.1641
S047,11,9.3331
S047,12,9.7254
S047,13,9.1282
S047,14,8.7936
S049,10,6.892
S049,11,8.0654
S049,12,8.7239
S049,13,8.2271
S049,14,7.1172
S050,10,21.1051
S050,11,20.3785
S050,12,20.9352
S050,13,20.5754
S050,14,19.0893
S051,10,13.8643
S051,11,16.5358
S051,12,15.8691
S051,13,15.1027
S051,14,13.1782
S052,10,16.0748
S052,11,17.609
S052,12,17.4144
S052,13,17.7372
S052,14,15.3872
S053,10,8.2744
S053,11,8.8035
S053,12,8.8486
S053,13,8.6689
S053,14,8.11
S054,10,11.0551
S054,11,12.5118
S054,12,13.0885
S054,13,13.0958
S054,14,10.8226
S055,10,18.3746
S055,11,24.4155
S055,12,24.5246
S055,13,24.4426
S055,14,22.2293
S056,10,12.5775
S056,11,12.5389
S056,12,13.2914
S056,13,12.2625
S056,14,11.7255
S059,10,8.0343
S059,11,9.2487
S059,12,9.3329
S059,13,9.0138
S059,14,8.1465
S060,10,17.8264
S060,11,17.8378
S060,12,19.0691
S060,13,18.8666
S060,14,17.8598
S061,10,15.1262
S061,11,15.2738
S061,12,16.0322
S061,13,16.5614
S061,14,15.4281
S062,10,8.1522
S062,11,9.3856
S062,12,10.4808
S062,13,9.5578
S062,14,8.7468
S064,10,8.0581
S064,11,8.8335
S064,12,9.4618
S064,13,9.7595
S064,14,8.9599
S065,10,11.8887
S065,11,12.3746
S065,12,13.7792
S065,13,12.3751
S065,14,11.7249
S066,10,16.7743
S066,11,18.8387
S066,12,18.6997
S066,13,18.7808
S066,14,17.4142
S068,10,8.495
S068,11,9.6187
S068,12,10.164
S068,13,10.005
S068,14,8.7668
S070,10,8.0309
S070,11,8.8829
S070,12,9.3823
S070,13,9.284
S070,14,8.3799
S071,10,7.5822
S071,11,8.1438
S071,12,8.5554
S071,13,8.3782
S071,14,7.8733
S072,10,14.2494
S072,11,14.7895
S072,12,15.7109
S072,13,14.8374
S072,14,13.5009
S073,10,11.1115
S073,11,11.9942
S073,12,11.4446
S073,13,11.0017
S073,14,10.4827
S074,10,10.6536
S074,11,13.0718
S074,12,12.5919
S074,13,13.2739
S074,14,13.0837
S075,10,14.6722
S075,11,13.6655
S075,12,14.9782
S075,13,14.2006
S075,14,14.413
S116,10,20.241
S116,11,22.1886
S116,12,23.1046
S116,13,22.1539
S116,14,19.8606
