site_id,hour,specialist_nrmse_pct
S002,10,17.593
S002,11,19.5752
S002,12,20.5524
S002,13,18.7271
S002,14,17.3381
S004,10,14.1286
S004,11,14.6464
S004,12,16.3767
S004,13,16.186
S004,14,15.3167
S007,10,14.4331
S007,11,14.8386
S007,12,15.0961
S007,13,14.4647
S007,14,12.3139
S008,10,16.5793
S008,11,18.6526
S008,12,18.687
S008,13,20.9808
S008,14,18.3388
S009,10,16.5501
S009,11,18.5598
S009,12,19.2302
S009,13,18.2092
S009,14,17.1155
S010,10,12.7597
S010,11,13.649
S010,12,14.1738
S010,13,14.1915
S010,14,13.4023
S011,10,10.8119
S011,11,11.3235
S011,12,12.0328
S011,13,11.8437
S011,14,11.3631
S012,10,17.0994
S012,11,17.7821
S012,12,18.1594
S012,13,17.992
S012,14,16.3133
S014,10,12.7361
S014,11,13.8492
S014,12,15.0516
S014,13,14.3939
S014,14,13.6312
S017,10,19.9676
S017,11,21.6802
S017,12,21.5356
S017,13,21.3491
S017,14,19.7836
S018,10,12.4846
S018,11,14.6108
S018,12,14.0865
S018,13,14.5898
S018,14,13.6731
S019,10,18.707
S019,11,19.7027
S019,12,19.6724
S019,13,18.1069
S019,14,17.5869
S020,10,17.1555
S020,11,18.3423
S020,12,19.6075
S020,13,19.0574
S020,14,17.2504
S021,10,21.7873
S021,11,23.5827
S021,12,24.7725
S021,13,23.8737
S021,14,21.7633
S022,10,13.0006
S022,11,14.8212
S022,12,15.0682
S022,13,14.9604
S022,14,13.3991
S023,10,8.7586
S023,11,9.2563
S023,12,9.666
S023,13,9.7763
S023,14,8.7991
S024,10,12.6779
S024,11,13.8296
S024,12,13.881
S024,13,14.1155
S024,14,12.5952
S025,10,13.7005
S025,11,15.3961
S025,12,15.1514
S025,13,15.5926
S025,14,14.0792
S028,10,13.2182
S028,11,15.0178
S028,12,15.4819
S028,13,15.5565
S028,14,15.0118
S030,10,14.0762
S030,11,14.8687
S030,12,15.111
S030,13,14.7007
S030,14,14.5382
S032,10,16.6242
S032,11,18.5742
S032,12,19.1402
S032,13,18.2905
S032,14,16.5426
S033,10,15.4114
S033,11,15.8007
S033,12,18.1768
S033,13,16.4632
S033,14,16.6779
S035,10,15.0971
S035,11,16.7988
S035,12,16.9279
S035,13,16.4331
S035,14,15.0391
S038,10,19.5359
S038,11,21.1039
S038,12,21.5271
S038,13,22.3262
S038,14,21.4929
S039,10,15.2112
S039,11,16.0951
S039,12,17.8825
S039,13,16.4607
S039,14,15.0343
S040,10,18.9262
S040,11,19.588
S040,12,19.2726
S040,13,19.9825
S040,14,19.2006
S041,10,17.4841
S041,11,19.2062
S041,12,19.4211
S041,13,20.0069
S041,14,18.2303
S042,10,13.0132
S042,11,14.9979
S042,12,14.9538
S042,13,14.3997
S042,14,13.6725
S046,10,18.5181
S046,11,20.6825
S046,12,20.6143
S046,13,20.9445
S046,14,18.2724
S047,10,11.3065
S047,11,12.3268
S047,12,12.4012
S047,13,12.332
S047,14,11.6978
S049,10,9.7633
S049,11,10.9523
S049,12,11.4937
S049,13,11.3288
S049,14,10.2032
S050,10,17.347
S050,11,18.1105
S050,12,20.0864
S050,13,18.6821
S050,14,16.7263
S051,10,11.99
S051,11,14.0145
S051,12,14.475
S051,13,13.7236
S051,14,12.8806
S052,10,15.6733
S052,11,16.5245
S052,12,16.67
S052,13,16.9356
S052,14,15.2511
S053,10,10.0084
S053,11,10.9178
S053,12,10.9973
S053,13,10.6921
S053,14,10.028
S054,10,12.9568
S054,11,14.6718
S054,12,15.1733
S054,13,15.0814
S054,14,13.4473
S055,10,16.3043
S055,11,21.1389
S055,12,22.1404
S055,13,20.9998
S055,14,17.6389
S056,10,11.0475
S056,11,12.508
S056,12,13.4768
S056,13,12.5315
S056,14,11.4382
S059,10,11.2193
S059,11,12.6567
S059,12,12.8364
S059,13,12.5887
S059,14,11.4487
S060,10,16.4965
S060,11,15.6119
S060,12,17.8092
S060,13,17.5467
S060,14,17.2039
S061,10,17.381
S061,11,17.96
S061,12,18.8442
S061,13,17.5489
S061,14,16.9607
S062,10,10.8888
S062,11,12.799
S062,12,13.6149
S062,13,12.8598
S062,14,11.8972
S064,10,11.0355
S064,11,12.3395
S064,12,12.7027
S064,13,13.3139
S064,14,12.2092
S065,10,15.5418
S065,11,16.6153
S065,12,17.5521
S065,13,16.4928
S065,14,16.1593
S066,10,16.4433
S066,11,18.1671
S066,12,18.2735
S066,13,18.2786
S066,14,17.0031
S068,10,11.9342
S068,11,13.0454
S068,12,13.3142
S068,13,13.2988
S068,14,12.1476
S070,10,11.0128
S070,11,12.0591
S070,12,12.4444
S070,13,12.4801
S070,14,11.1698
S071,10,10.0794
S071,11,11.0761
S071,12,11.1939
S071,13,10.9821
S071,14,10.0911
S072,10,19.2247
S072,11,19.5984
S072,12,20.4019
S072,13,19.5506
S072,14,17.4783
S073,10,14.2696
S073,11,15.3691
S073,12,15.2258
S073,13,15.0584
S073,14,14.1025
S074,10,12.4179
S074,11,14.4971
S074,12,14.4163
S074,13,14.9945
S074,14,14.7986
S075,10,13.0667
S075,11,13.9876
S075,12,15.7951
S075,13,15.2872
S075,14,14.6847
S116,10,21.4994
S116,11,23.7777
S116,12,24.4203
S116,13,23.6641
S116,14,21.3219
