item,exists,required,size_mb,status,detail
scripts/train_fixed.py,True,True,0.019,OK,
scripts/select_final_prediction_by_guard.py,True,True,0.048,OK,
scripts/apply_midday_site_nrmse_calibration.py,True,True,0.012,OK,
scripts/diagnose_site_capacity_mapping_round6.py,True,True,0.006,OK,
scripts/diagnose_midday_bias_stability_round6.py,True,True,0.004,OK,
scripts/regenerate_final_metrics_round7.py,True,True,0.007,OK,
scripts/assert_final_metrics_consistency_round7.py,True,True,0.003,OK,
src/pv_forecasting/core/evaluation.py,True,True,0.018,OK,
output/pv_pipeline/tables/distributed_predictions_final_full.pkl,True,True,192.121,OK,
output/pv_pipeline/tables/distributed_predictions_final_eval.pkl,True,True,11.763,OK,
output/pv_pipeline/metrics/final_version_selection_by_hour.csv,True,True,0.002,OK,
output/pv_pipeline/metrics/分布式光伏预测_逐小时平均NRMSE.csv,True,True,0.0,OK,
output/pv_pipeline/metrics/round6_watch_site_diagnosis.csv,True,True,0.001,OK,
output/pv_pipeline/metrics/round7_final_overall_metrics.csv,True,True,0.0,OK,
output/pv_pipeline/docs/当前最终结果摘要.md,True,True,0.007,OK,
final_eval_rows,True,True,0.0,OK,68888
final_eval_site_count,True,True,0.0,OK,53
final_eval_hour_range,True,True,0.0,OK,6-19
