hour,V0_site_mape_raw_mean,V0_site_mape_raw_median,V0_site_mape_clipped,V0_site_wape,V0_city_rel_err,V0_n_gt100,V0_n_gt200,V1_site_mape_raw_mean,V1_site_mape_raw_median,V1_site_mape_clipped,V1_site_wape,V1_city_rel_err,V1_n_gt100,V1_n_gt200,V1DD_site_mape_raw_mean,V1DD_site_mape_raw_median,V1DD_site_mape_clipped,V1DD_site_wape,V1DD_city_rel_err,V1DD_n_gt100,V1DD_n_gt200,delta_V1_vs_V0,delta_V1DD_vs_V0
6,74.25080057883766,79.097341734355,74.97838981763168,95.85197450371078,95.50656191829802,0,0,83.36902379992387,62.36690151225355,119.00342888902277,93.88157242396332,91.57263344984709,3,3,81.90870940934083,62.36690151225355,118.12747010686834,93.8302623887057,91.52036578023638,3,3,-3.9339284684509295,-3.9861961380616435
7,63.268699404520625,64.57082473666925,70.7591202704214,79.16644043235144,76.10781305264287,0,0,55.15219250784124,46.99425362848541,83.00293111925305,70.47682984813109,60.244430185494046,1,0,52.82433204991627,46.99425362848541,80.29295093417521,69.31367965512972,58.97975588046256,1,0,-15.863382867148822,-17.128057172180306
8,47.405525100755135,46.224345697797546,50.80020728628718,52.24170841177277,44.75070942398119,0,0,41.52465885586731,36.85331869453242,52.2805472613308,45.450772150882216,32.568898883469274,0,0,41.52465885586731,36.85331869453242,52.2805472613308,45.450772150882216,32.568898883469274,0,0,-12.181810540511918,-12.181810540511918
9,36.14719847811759,32.93704721735445,43.28517358344735,35.72523554048431,21.145198746306882,0,0,34.52196720976768,32.676272324306375,44.27929581168199,34.58433835986664,18.835677705773925,0,0,34.52196720976768,32.676272324306375,44.27929581168199,34.58433835986664,18.835677705773925,0,0,-2.3095210405329567,-2.3095210405329567
10,31.493796633621695,28.078077326970835,39.45263415386491,29.516023492067784,14.226977272738603,0,0,31.238644679031736,28.078077326970835,39.55068067686608,29.353329510050862,13.91163122355738,0,0,31.238644679031736,28.078077326970835,39.55068067686608,29.353329510050862,13.91163122355738,0,0,-0.31534604918122255,-0.31534604918122255
11,30.807213663809332,27.267684513643292,38.58377943160028,28.666987348138274,14.739509595778589,0,0,28.133695981777322,25.442424077155952,41.95325113727996,26.892997417708703,10.037683252041207,0,0,28.133695981777322,25.442424077155952,41.95325113727996,26.892997417708703,10.037683252041207,0,0,-4.701826343737382,-4.701826343737382
12,32.13809559128083,27.641279402242724,41.85409404444612,29.8478116849279,15.981492049713331,0,0,29.42410755021721,26.391983732500623,45.6017581056558,28.115336241455523,11.566199489410588,0,0,29.42410755021721,26.391983732500623,45.6017581056558,28.115336241455523,11.566199489410588,0,0,-4.415292560302744,-4.415292560302744
13,32.56416360748607,29.229773792498985,42.698774976037555,30.820221207807858,13.995586174088976,0,0,30.27564362791717,28.61436695400716,45.116779873362404,29.664623200492606,10.821271535061822,0,0,30.27564362791717,28.61436695400716,45.116779873362404,29.664623200492606,10.821271535061822,0,0,-3.1743146390271537,-3.1743146390271537
14,34.06711123125817,30.85549685582173,45.54223565549506,32.23164586627463,16.36518296897081,0,0,30.85099453299676,29.552658647264423,49.311914154778904,30.427610139785266,11.02721192596967,0,0,30.85099453299676,29.552658647264423,49.311914154778904,30.427610139785266,11.02721192596967,0,0,-5.33797104300114,-5.33797104300114
15,34.83473645575998,30.68553404294053,43.56029962874244,34.788367749665895,18.087100490336073,0,0,33.70884863287658,30.01889114668421,42.49886888056437,34.10611934486599,16.90142097806039,0,0,33.70884863287658,30.01889114668421,42.49886888056437,34.10611934486599,16.90142097806039,0,0,-1.1856795122756836,-1.1856795122756836
16,43.42302001050188,37.97742052614518,51.47353059988382,50.146861994767946,35.49397487829122,0,0,39.57407867530857,35.27717485788704,52.13711938219846,47.30501049280601,26.770246110902896,0,0,40.96151776830144,38.220093508988256,57.21901286346138,48.27732552421995,22.54090015316613,0,0,-8.723728767388323,-12.953074725125088
17,55.362454671401764,50.194276903156165,66.4786048924434,77.1986141409829,72.46202879874072,0,0,57.010260749196654,48.89703244418527,114.16607372717455,73.91206538154151,56.61718586095987,0,0,56.319923879232036,50.35433821014226,131.72944072135664,74.03216959105751,54.16524808605856,0,0,-15.844842937780847,-18.296780712682157
18,66.81944253193181,58.219781912266185,77.05240170913656,93.41321156804885,92.16306783966701,2,0,97.84473673567946,93.12275556664254,121.76970070143216,94.3929479196424,88.5147308383969,18,2,97.84473673567946,93.12275556664254,121.76970070143216,94.3929479196424,88.5147308383969,18,2,-3.6483370012701073,-3.6483370012701073
19,81.41529543715323,97.44099054056488,71.72798872841462,95.81216406054803,95.77487147830436,1,0,81.41529543715323,97.44099054056488,71.72798872841462,95.81216406054803,95.77487147830436,1,0,81.4114223777778,97.44099054056488,71.72103875899198,95.81139564567013,95.77410306342645,1,0,0.0,-0.0007684148779105726
