站点,n_total,n_nonzero,n_zero,zero_rate,max_real,MAE,RMSE,MAPE,pred_real_ratio,标注
中森侍庄光伏,2936,1253,1683,57.322888283378745,2.38,0.20100004865904342,0.2958787597002424,57.76961638208859,1.3020284177134023,🔵 0值过多(零值率57%) | 🟠 有效样本少(n=1253)
中森西苑光伏,2936,1286,1650,56.19891008174387,1.84,0.13366319051943953,0.20938833111986557,58.20376698856157,1.4201846750036524,🔵 0值过多(零值率56%) | 🟠 有效样本少(n=1286)
交控赣榆南光伏,2936,1257,1679,57.186648501362406,2.14,0.2100377549488098,0.29795173203927316,56.42472398113182,1.224662119980063,🔵 0值过多(零值率57%) | 🟠 有效样本少(n=1257)
兴怡紧固件光伏,2936,1260,1676,57.08446866485014,4.25,0.3407328443723532,0.5212751046604793,61.0615936018866,1.2995201315392195,🔵 0值过多(零值率57%) | 🟠 有效样本少(n=1260) | 🟡 MAE偏高(0.34MW)
华电苏班光伏,2936,1264,1672,56.94822888283378,5.45,0.396204181840828,0.5963898092013395,47.07425250604543,1.214955496237256,🔵 0值过多(零值率57%) | 🟠 有效样本少(n=1264) | 🟡 MAE偏高(0.4MW)
华筑泰宝光伏,2936,1415,1521,51.80517711171662,2.8,0.34934604905815975,0.5049167741526877,56.376047593411606,0.7651366958129416,🔵 0值过多(零值率52%) | 🟠 有效样本少(n=1415) | 🟡 MAE偏高(0.35MW)
华能中林三期光伏,2936,759,2177,74.14850136239782,4.1,0.39970245950737837,0.5352416305836756,48.961658178437226,1.2263118314854802,🔵 0值过多(零值率74%) | 🟠 有效样本少(n=759) | 🟡 MAE偏高(0.4MW)
华能星耀光伏,2936,1238,1698,57.833787465940055,2.98,0.25057619618506083,0.3607769184255072,51.57889132654889,1.3020310734730622,🔵 0值过多(零值率58%) | 🟠 有效样本少(n=1238)
华能灌云光伏,2936,1238,1698,57.833787465940055,10.16,0.7053490322905708,1.0866994136521673,65.28346664248191,1.2850414053958863,🔵 0值过多(零值率58%) | 🟠 有效样本少(n=1238) | 🟡 MAE偏高(0.71MW)
协鑫盛昌光伏,2936,1319,1617,55.07493188010899,3.17,0.24440901425578107,0.36897596958588746,55.607224934280076,1.226450652605475,🔵 0值过多(零值率55%) | 🟠 有效样本少(n=1319)
