站点ID,站点名称,平均相对误差(%),中位相对误差(%),样本数
S002,华筑泰宝光伏,34.248,26.995,1415
S004,旭樱东堡光伏,60.956,38.513,1184
S007,林洋朝阳光伏,39.638,15.022,1276
S008,协鑫盛昌光伏,30.207,14.118,1319
S009,华电金叶光伏,62.963,21.41,1312
S010,易睐珂浦南光伏,29.774,19.075,1421
S011,中森西苑光伏,26.584,12.563,1286
S012,泰富如意情光伏,801.036,865.599,1402
S014,鲲鹏昇昌光伏,59.798,43.751,1261
S017,富云四队光伏,33.594,22.6,1288
S018,国能百菇源光伏,32.138,15.062,1261
S019,首耀新海光伏,34.514,20.423,1357
S020,国能赫睿光伏,53.3,16.755,1255
S021,国能鑫江源光伏,44.958,20.374,1205
S022,浦西光伏电站,32.619,34.459,1313
S023,连洋徐圩光伏,28.794,12.621,1235
S024,兴怡紧固件光伏,37.2,27.453,1260
S025,夏源银得隆光伏,29.229,14.723,1241
S028,华能星耀光伏,38.272,29.372,1238
S030,中森侍庄光伏,33.813,16.041,1253
S032,华能中林光伏,53.011,55.973,1263
S033,天瀚万发光伏,36.304,24.838,1278
S035,国能品品鲜光伏,36.003,16.906,1285
S038,衡诚天晴光伏,31.558,20.79,1223
S039,沐恒腾东光伏,140.063,33.171,1266
S040,华电苏班光伏,39.011,24.659,1264
S041,交控赣榆南光伏,41.121,18.443,1257
S042,国能联合动力光伏,27.486,11.229,1241
S046,国能新易春光伏,81.566,17.321,1304
S047,汇九齿轮光伏电站,19.368,10.992,1230
S049,华能灌云光伏,27.375,12.81,1238
S050,沐恒东海产业园光伏,211.988,71.699,1440
S051,鲲鹏德宇光伏,76.74,53.132,1266
S052,鹰游新立成二期光伏,39.084,42.988,1290
S053,鹰游新立成光伏电站,42.04,42.54,1662
S054,鸿天伍江光伏,46.813,27.872,1247
S055,沐恒曲阳光伏,115.904,127.972,1503
S056,昱中科技光伏,48.212,25.237,1148
S059,首耀清墩光伏,34.536,32.509,1677
S060,华电蒙然源光伏,69.265,52.998,1251
S061,嘉伏黎明光伏,42.08,25.746,1277
S062,韩华大浦光伏电站,27.705,15.803,1219
S064,昱瑞青口光伏,37.808,13.462,1135
S065,中盛石榴光伏,25.35,13.517,1413
S066,科来恩润石光伏,41.728,15.487,1281
S068,富云下车光伏,28.268,19.524,1230
S070,旭日虎山光伏,39.246,21.389,1212
S071,协鑫南岗光伏,51.15,37.946,1495
S072,交控大浦光伏,28.374,18.732,1282
S073,华能裕灌光伏,27.179,25.608,1333
S074,华能中林二期光伏,38.658,18.263,1281
S075,旭樱新田光伏,53.33,30.974,1281
S116,林洋伊山光伏电站,109.172,34.118,1334
