datetime,date,hour,year,week,week_label,NRMSE_全部站点,NRMSE_去除最差站点后,NRMSE_降幅(%),MAPE(%)_全部站点,MAPE(%)_去除最差站点后,n_sites_全部站点,n_sites_去除最差站点后
2025-09-01 06:00,2025-09-01,6,2025,36,2025-W36,10.0337,6.4235,35.981,114.834,116.382,45,43
2025-09-01 07:00,2025-09-01,7,2025,36,2025-W36,9.6004,7.1851,25.158,33.543,32.545,52,49
2025-09-01 08:00,2025-09-01,8,2025,36,2025-W36,13.0083,9.3612,28.037,37.994,37.777,52,49
2025-09-01 09:00,2025-09-01,9,2025,36,2025-W36,17.3516,14.5631,16.071,46.38,47.494,53,50
2025-09-01 10:00,2025-09-01,10,2025,36,2025-W36,19.0346,19.1071,-0.381,59.305,61.272,53,50
2025-09-01 11:00,2025-09-01,11,2025,36,2025-W36,21.3779,22.1553,-3.636,60.045,61.82,52,49
2025-09-01 12:00,2025-09-01,12,2025,36,2025-W36,26.2028,20.046,23.497,52.906,53.476,52,49
2025-09-01 13:00,2025-09-01,13,2025,36,2025-W36,21.6505,21.8419,-0.884,59.444,61.257,52,49
2025-09-01 14:00,2025-09-01,14,2025,36,2025-W36,23.5399,17.5839,25.302,62.375,63.863,52,49
2025-09-01 15:00,2025-09-01,15,2025,36,2025-W36,23.9131,17.7039,25.966,58.545,59.514,52,49
2025-09-01 16:00,2025-09-01,16,2025,36,2025-W36,13.719,10.8295,21.062,49.328,49.528,52,49
2025-09-01 17:00,2025-09-01,17,2025,36,2025-W36,11.9352,10.4491,12.451,49.972,48.423,52,49
2025-09-01 18:00,2025-09-01,18,2025,36,2025-W36,8.9027,6.3141,29.076,62.173,61.832,53,50
2025-09-01 19:00,2025-09-01,19,2025,36,2025-W36,32.4119,38.9759,-20.252,100.0,100.0,7,5
2025-09-02 06:00,2025-09-02,6,2025,36,2025-W36,10.144,6.8227,32.742,139.915,142.43,43,40
2025-09-02 07:00,2025-09-02,7,2025,36,2025-W36,10.4402,10.1768,2.523,48.539,50.258,53,50
2025-09-02 08:00,2025-09-02,8,2025,36,2025-W36,14.7945,16.7406,-13.154,39.87,41.632,53,50
2025-09-02 09:00,2025-09-02,9,2025,36,2025-W36,16.6236,19.024,-14.44,54.817,57.734,53,50
2025-09-02 10:00,2025-09-02,10,2025,36,2025-W36,24.021,21.3728,11.024,60.555,62.013,53,50
2025-09-02 11:00,2025-09-02,11,2025,36,2025-W36,24.7892,20.7101,16.455,71.023,71.981,53,50
2025-09-02 12:00,2025-09-02,12,2025,36,2025-W36,31.4492,28.2689,10.113,78.984,81.42,53,50
2025-09-02 13:00,2025-09-02,13,2025,36,2025-W36,31.2114,27.3385,12.409,195.431,198.848,53,50
2025-09-02 14:00,2025-09-02,14,2025,36,2025-W36,25.3687,25.8224,-1.788,162.784,166.574,53,50
2025-09-02 15:00,2025-09-02,15,2025,36,2025-W36,21.5712,17.5901,18.456,289.143,290.953,53,50
2025-09-02 16:00,2025-09-02,16,2025,36,2025-W36,13.2327,11.3544,14.194,153.689,154.882,53,50
2025-09-02 17:00,2025-09-02,17,2025,36,2025-W36,9.3115,7.4605,19.879,70.066,70.066,52,49
2025-09-02 18:00,2025-09-02,18,2025,36,2025-W36,9.4723,6.751,28.729,75.506,76.532,50,47
2025-09-02 19:00,2025-09-02,19,2025,36,2025-W36,60.2593,53.8205,10.685,100.0,100.0,5,4
