hour,华筑泰宝光伏_avg_rel_err%,旭樱东堡光伏_avg_rel_err%,沐恒石湖光伏_avg_rel_err%,林洋朝阳光伏_avg_rel_err%,协鑫盛昌光伏_avg_rel_err%,易睐珂浦南光伏_avg_rel_err%,中森西苑光伏_avg_rel_err%,泰富如意情光伏_avg_rel_err%,鲲鹏昇昌光伏_avg_rel_err%,衡航亚新光伏_avg_rel_err%,富云四队光伏_avg_rel_err%,国能百菇源光伏_avg_rel_err%,首耀新海光伏_avg_rel_err%,浦西光伏电站_avg_rel_err%,连洋徐圩光伏_avg_rel_err%,兴怡紧固件光伏_avg_rel_err%,夏源银得隆光伏_avg_rel_err%,华能星耀光伏_avg_rel_err%,中森侍庄光伏_avg_rel_err%,富云杨集光伏_avg_rel_err%,天瀚万发光伏_avg_rel_err%,建魄俊达光伏_avg_rel_err%,国能品品鲜光伏_avg_rel_err%,华能中林三期光伏_avg_rel_err%,衡诚天晴光伏_avg_rel_err%,沐恒腾东光伏_avg_rel_err%,华电苏班光伏_avg_rel_err%,交控赣榆南光伏_avg_rel_err%,国能联合动力光伏_avg_rel_err%,汇九齿轮光伏电站_avg_rel_err%,卓贵光之明光伏_avg_rel_err%,华能灌云光伏_avg_rel_err%,沐恒东海产业园光伏_avg_rel_err%,鲲鹏德宇光伏_avg_rel_err%,鹰游新立成二期光伏_avg_rel_err%,鹰游新立成光伏电站_avg_rel_err%,鸿天伍江光伏_avg_rel_err%,沐恒曲阳光伏_avg_rel_err%,昱中科技光伏_avg_rel_err%,首耀清墩光伏_avg_rel_err%,华电蒙然源光伏_avg_rel_err%,嘉伏黎明光伏_avg_rel_err%,韩华大浦光伏电站_avg_rel_err%,铭信润海光伏_avg_rel_err%,昱瑞青口光伏_avg_rel_err%,中盛石榴光伏_avg_rel_err%,富云下车光伏_avg_rel_err%,旭日虎山光伏_avg_rel_err%,协鑫南岗光伏_avg_rel_err%,交控大浦光伏_avg_rel_err%,华能裕灌光伏_avg_rel_err%,华能中林二期光伏_avg_rel_err%,旭樱新田光伏_avg_rel_err%,city_avg_rel_err%
6,96.71,53.33,,63.12,112.91,67.71,92.71,81.81,76.45,,100.0,69.84,100.0,98.64,100.0,55.67,24.67,58.47,100.0,227.03,91.71,336.28,67.5,,57.2,73.32,33.15,68.92,21.97,100.0,,100.0,89.8,85.55,161.56,90.69,52.39,94.33,,102.2,59.88,77.89,78.54,,,54.25,123.58,,92.1,114.14,1495.46,99.45,38.72,92.13
7,77.37,91.81,23.55,148.48,47.86,72.05,74.95,55.92,47.12,38.55,100.0,55.64,98.19,82.77,87.08,87.1,42.61,48.33,96.42,200.88,58.49,52.31,65.41,47.05,62.59,58.14,52.9,75.76,47.12,91.61,70.56,86.89,75.27,98.06,71.75,77.16,70.79,78.08,120.82,83.95,50.02,53.04,61.68,35.93,92.06,75.18,132.04,80.52,87.07,76.12,387.06,61.19,81.0,68.09
8,53.81,68.72,39.8,62.28,40.38,53.41,46.3,49.58,65.29,28.53,70.4,43.8,67.72,45.99,54.09,44.63,40.75,35.76,61.92,136.68,56.42,62.71,41.2,39.54,44.62,37.88,37.22,45.33,37.12,59.09,47.54,72.37,58.29,66.6,54.79,57.34,41.43,40.62,48.97,57.13,39.39,65.53,31.33,54.45,55.13,65.85,64.92,74.86,63.5,72.91,48.85,74.59,47.98,38.13
9,49.94,72.99,34.97,70.38,30.91,62.79,34.9,88.05,56.27,36.93,46.56,36.64,50.52,49.67,46.61,52.19,31.59,28.53,36.44,67.54,51.53,33.97,39.55,32.28,32.49,38.02,35.06,48.5,44.06,33.45,45.81,47.39,70.27,48.43,43.84,37.86,39.75,12.14,67.11,37.57,36.54,49.1,39.1,48.48,40.69,56.25,31.83,59.51,47.83,64.56,37.96,46.26,60.38,27.3
10,52.87,45.24,34.33,64.38,31.16,44.26,39.33,81.26,35.2,42.25,44.92,40.91,49.24,46.85,39.78,35.04,39.06,26.52,32.83,49.95,37.86,34.25,45.18,32.02,28.08,54.29,29.05,41.93,35.29,28.45,36.46,35.65,68.6,53.3,38.55,27.46,46.8,13.23,35.22,35.93,30.58,33.09,31.61,37.29,45.19,50.86,34.99,63.83,38.05,46.83,32.85,43.96,63.93,22.89
11,31.35,50.14,25.56,67.94,32.15,30.57,40.95,200.42,47.0,33.36,53.11,37.56,40.52,41.54,37.16,50.74,33.8,31.56,38.67,50.71,27.33,37.34,47.14,25.35,32.73,55.36,30.94,40.19,28.79,33.19,33.55,55.62,140.15,68.82,38.7,22.91,49.45,14.25,35.08,41.78,37.68,35.17,30.92,33.51,41.61,42.57,33.23,47.19,37.47,41.82,39.0,49.52,47.25,17.93
12,40.01,60.16,27.89,46.45,39.13,34.13,43.07,192.37,43.52,36.52,64.18,43.54,38.84,45.49,52.07,37.92,56.7,35.01,39.12,38.38,41.71,42.95,44.7,30.62,40.62,34.37,34.52,45.47,40.67,35.17,41.42,43.08,129.63,69.82,41.64,23.1,41.45,15.26,41.55,42.61,38.73,42.24,43.23,55.85,50.92,46.48,35.64,51.17,41.89,52.47,44.41,44.5,52.44,18.79
13,36.03,57.55,28.63,62.02,47.45,30.31,41.22,168.47,51.02,41.48,44.76,38.65,41.06,41.4,53.11,42.22,45.32,39.97,53.07,33.26,28.22,76.77,48.09,30.85,32.26,28.68,37.79,51.39,43.42,38.54,47.75,54.42,98.43,67.25,43.14,25.05,46.1,14.9,62.96,33.03,36.26,42.05,41.1,42.29,47.98,39.41,40.38,60.42,44.57,48.79,39.62,38.41,61.85,20.25
14,37.73,76.63,28.76,58.6,34.84,36.86,40.96,146.03,63.2,45.29,44.37,53.41,44.62,40.43,63.71,44.61,44.19,45.77,54.81,49.47,41.72,64.68,56.67,42.75,38.99,33.68,34.35,86.06,47.84,42.92,41.71,70.3,93.46,55.95,41.23,30.05,58.21,16.73,38.16,32.6,40.19,47.06,37.62,55.17,47.41,49.36,43.8,69.35,84.61,48.18,40.79,60.99,55.29,22.23
15,45.93,58.45,28.32,48.3,35.5,33.68,42.51,47.49,41.43,33.79,58.28,63.4,42.4,41.89,57.64,40.47,35.58,50.66,42.9,45.51,39.01,27.26,46.99,44.44,37.02,42.89,33.46,41.7,38.89,41.52,40.45,42.81,56.08,61.75,40.27,42.59,32.5,19.69,28.56,53.33,33.46,36.52,36.88,32.2,48.14,42.0,37.65,37.2,82.05,48.02,49.07,42.14,43.03,25.14
