site_id,rows,nonnull_power_rows,positive_power_rows,zero_rows,zero_ratio_pct,capacity_mw,p95_power_mw,p99_power_mw,max_power_mw,p99_over_capacity,max_over_capacity,eval_pred_actual_ratio,midday_eval_rows,midday_site_nrmse_pct,midday_pred_actual_ratio,midday_bias_pct,is_watch_site,diagnostic_flags
S012,8049,8049,3143,4906,60.95,17.55,8.928,10.3516,12.36,0.5898,0.7043,1.3938,545.0,27.449,3.012,201.1964,True,midday_prediction_over_high
S055,8049,8049,2795,5254,65.28,4.0,2.033,2.44,2.73,0.61,0.6825,1.5804,568.0,26.3281,2.6769,167.6918,True,midday_prediction_over_high
S050,8049,8049,3940,4109,51.05,2.55,1.42,1.62,1.95,0.6353,0.7647,1.2965,609.0,24.0267,2.0003,100.0281,True,midday_prediction_over_high
S019,28464,28464,13435,15029,52.8,3.0,2.49,2.72,3.0,0.9067,1.0,0.9092,609.0,23.3159,0.8397,-16.0263,True,
S032,20160,20160,8960,11200,55.56,9.335,5.18,6.69,7.9,0.7167,0.8463,0.8997,610.0,22.0531,0.5125,-48.7481,True,midday_prediction_too_low
S072,22008,22008,10178,11830,53.75,3.125,2.85,3.12,3.13,0.9984,1.0016,0.9109,610.0,17.1177,0.8975,-10.2477,True,
S002,8053,8053,4001,4052,50.32,3.3,2.3,3.3,3.3,1.0,1.0,0.9697,608.0,13.0028,1.0253,2.53,True,
S059,28464,28464,13752,14712,51.69,2.0,1.16,1.31,1.54,0.655,0.77,0.8739,610.0,11.7484,1.2208,22.0834,True,
S053,28464,28464,14929,13535,47.55,13.33,6.86,8.55,10.48,0.6414,0.7862,0.8396,610.0,10.1743,0.9591,-4.0899,True,
S116,28464,28464,14018,14446,50.75,22.0,17.8,19.53,22.0,0.8877,1.0,0.9162,610.0,25.154,1.0895,8.9536,False,
S052,14136,14136,6610,7526,53.24,6.08,3.8555,4.9582,6.08,0.8155,1.0,0.7432,610.0,19.4346,0.5891,-41.0853,False,midday_prediction_too_low
S060,8304,8304,3921,4383,52.78,5.84,4.35,5.02,5.84,0.8596,1.0,1.194,610.0,17.821,1.3875,38.7459,False,
S028,12639,12639,5632,7007,55.44,3.14,2.4,2.74,3.14,0.8726,1.0,0.9852,610.0,17.7962,0.9589,-4.1097,False,
S039,8049,8049,3768,4281,53.19,3.45,2.16,2.47,3.09,0.7159,0.8957,1.1794,610.0,17.6517,1.4885,48.8475,False,
S041,19752,19752,9324,10428,52.79,2.2,1.98,2.15,2.2,0.9773,1.0,0.9395,609.0,17.1259,1.094,9.405,False,
S022,28464,28464,13111,15353,53.94,3.24,1.82,2.3,2.98,0.7099,0.9198,0.9439,610.0,17.0697,0.714,-28.6013,False,
S046,11288,11288,5275,6013,53.27,4.25,3.083,3.42,4.05,0.8047,0.9529,1.0493,610.0,16.8389,1.1251,12.5097,False,
S009,12639,12639,6015,6624,52.41,5.25,3.61,4.11,4.92,0.7829,0.9371,1.1562,610.0,16.0518,1.2169,21.6912,False,
S051,8054,8054,3452,4602,57.14,5.025,2.68,3.08,3.64,0.6129,0.7244,1.1873,593.0,15.7019,1.4543,45.4349,False,
S021,8552,8552,3759,4793,56.05,2.2,1.65,1.85,2.17,0.8409,0.9864,0.9325,595.0,15.441,0.972,-2.8026,False,
S004,8193,8193,3711,4482,54.71,3.97,2.73,3.22,3.83,0.8111,0.9647,1.1237,606.0,15.3245,1.3318,33.1796,False,
S008,8748,8748,4387,4361,49.85,3.172,2.84,3.1314,3.2,0.9872,1.0088,1.0603,610.0,14.6911,1.0337,3.3688,False,
S075,9146,9146,4241,4905,53.63,2.63,1.87,2.08,2.38,0.7909,0.9049,1.0421,610.0,14.4223,1.2389,23.8906,False,
S038,8054,8054,3518,4536,56.32,1.672,1.41,1.55,1.68,0.927,1.0048,1.0078,600.0,14.3834,1.0996,9.9638,False,
S061,8193,8193,3854,4339,52.96,3.784,2.7,3.12,3.81,0.8245,1.0069,1.0875,609.0,14.0368,1.1823,18.2326,False,
