site_id,hour,rows,capacity_mw,site_hour_nrmse_pct,actual_sum_mwh,pred_sum_mwh,pred_actual_ratio
S012,12,109,17.55,30.5315,232.14,665.0533,2.8649
S055,12,114,4.0,29.5927,60.94,168.42,2.7637
S012,11,109,17.55,29.3122,198.9,640.5322,3.2204
S055,11,113,4.0,28.5825,58.56,162.8336,2.7806
S012,13,109,17.55,28.1539,208.97,616.6374,2.9508
S055,13,114,4.0,27.681,58.91,159.1853,2.7022
S050,12,122,2.55,27.2494,59.59,119.6806,2.0084
S116,12,122,22.0,26.9268,1306.88,1370.4185,1.0486
S116,11,122,22.0,26.0837,1258.92,1344.3807,1.0679
S116,13,122,22.0,25.659,1261.09,1326.3665,1.0518
S012,10,109,17.55,25.0709,183.2,559.3853,3.0534
S032,12,122,9.335,24.8373,425.43,211.1528,0.4963
S019,10,121,3.0,24.7801,193.1,158.8518,0.8226
S050,13,122,2.55,24.6964,56.54,110.172,1.9486
S050,11,122,2.55,24.5661,55.57,110.6947,1.992
S019,14,122,3.0,24.1544,178.32,151.8038,0.8513
S116,10,122,22.0,23.8351,1083.89,1232.5762,1.1372
S032,13,122,9.335,23.7132,400.14,194.8926,0.4871
S012,14,109,17.55,23.5516,170.42,511.1697,2.9995
S032,11,122,9.335,23.4256,398.32,201.777,0.5066
S116,14,122,22.0,23.0589,1019.88,1187.9277,1.1648
S019,11,122,3.0,22.9962,214.52,175.4377,0.8178
S052,12,122,6.08,22.8407,301.66,169.0446,0.5604
S055,10,113,4.0,22.7426,53.5,138.1756,2.5827
S019,13,122,3.0,22.5642,207.6,176.8554,0.8519
S055,14,114,4.0,22.1188,52.26,132.0853,2.5275
S050,14,122,2.55,22.0505,45.52,94.9523,2.0859
S019,12,122,3.0,21.9833,215.96,184.7659,0.8556
S050,10,121,2.55,21.0515,47.78,94.5751,1.9794
S052,13,122,6.08,21.0173,273.3,159.9396,0.5852
S052,11,122,6.08,19.8949,277.49,164.0833,0.5913
S028,13,122,3.14,19.8652,149.83,145.0779,0.9683
S060,12,122,5.84,19.7501,244.32,331.3054,1.356
S032,10,122,9.335,19.7177,347.16,184.3714,0.5311
S022,12,122,3.24,19.4691,167.26,118.6572,0.7094
S039,12,122,3.45,19.1629,106.87,155.692,1.4568
S028,12,122,3.14,18.884,162.37,146.8005,0.9041
S072,13,122,3.125,18.8625,194.93,172.1033,0.8829
S041,13,122,2.2,18.8393,133.16,146.8126,1.1025
S046,13,122,4.25,18.592,175.58,205.2641,1.1691
S046,12,122,4.25,18.474,191.9,225.8699,1.177
S039,11,122,3.45,18.2816,102.35,150.9143,1.4745
S060,13,122,5.84,18.1248,213.76,305.6916,1.4301
S039,13,122,3.45,17.9976,100.25,147.8482,1.4748
S072,12,122,3.125,17.989,207.29,183.5984,0.8857
S022,11,122,3.24,17.8734,159.78,112.6176,0.7048
S028,14,122,3.14,17.846,121.77,124.5208,1.0226
S041,12,122,2.2,17.7779,147.32,155.2917,1.0541
S032,14,122,9.335,17.7466,323.62,178.8608,0.5527
S009,11,122,5.25,17.6613,215.86,261.7073,1.2124
S060,11,122,5.84,17.4628,235.27,307.8782,1.3086
S022,13,122,3.24,17.2921,158.75,113.0828,0.7123
S046,11,122,4.25,17.1844,192.99,207.2725,1.074
S009,12,122,5.25,17.1594,238.75,289.5577,1.2128
S072,11,122,3.125,17.152,203.84,180.4418,0.8852
S021,11,119,2.2,17.1094,101.55,96.6725,0.952
S052,14,122,6.08,16.9701,226.62,130.6914,0.5767
S060,10,122,5.84,16.8506,196.01,276.8336,1.4123
S060,14,122,5.84,16.7472,180.49,262.664,1.4553
S051,13,120,5.025,16.7418,142.63,207.1326,1.4522
S041,10,122,2.2,16.6942,114.28,132.4255,1.1588
S004,13,122,3.97,16.6696,148.19,200.66,1.3541
S004,12,121,3.97,16.5878,162.58,208.8173,1.2844
S009,13,122,5.25,16.5782,205.11,256.1828,1.249
S008,13,122,3.172,16.5494,164.9,167.2867,1.0145
S039,14,122,3.45,16.5403,80.53,127.7168,1.586
S021,13,119,2.2,16.3749,96.73,97.0235,1.003
S028,11,122,3.14,16.3605,150.02,141.3729,0.9424
S051,11,118,5.025,16.1863,133.72,198.2586,1.4826
S039,10,122,3.45,16.0931,86.24,126.6999,1.4692
S041,14,122,2.2,16.0918,114.2,125.729,1.101
S075,13,122,2.63,16.0661,104.2,129.1167,1.2391
S041,11,121,2.2,16.0489,141.52,151.3987,1.0698
S072,14,122,3.125,15.9524,171.93,151.5934,0.8817
S051,12,119,5.025,15.9187,156.51,212.3492,1.3568
S028,10,122,3.14,15.6892,131.01,127.8434,0.9758
S022,10,122,3.24,15.6541,134.66,96.1257,0.7138
S038,13,121,1.672,15.6081,79.18,87.812,1.109
S007,13,122,22.0,15.5743,1118.8,1237.2716,1.1059
S052,10,122,6.08,15.5339,237.54,151.9182,0.6395
S038,14,120,1.672,15.4224,65.13,76.4639,1.174
S072,10,122,3.125,15.3949,170.92,163.9315,0.9591
S075,12,122,2.63,15.3948,108.55,134.9538,1.2432
S004,14,122,3.97,15.3181,118.78,169.9293,1.4306
S021,12,119,2.2,15.2759,112.78,107.2952,0.9514
S073,11,122,15.0,15.1568,720.69,571.5333,0.793
S061,13,122,3.784,15.135,148.11,183.7897,1.2409
S008,11,122,3.172,15.0983,172.56,170.9099,0.9904
S040,13,122,5.96,15.0267,270.73,306.93,1.1337
S002,12,122,3.3,14.9377,132.44,133.4201,1.0074
S046,14,122,4.25,14.8703,147.75,170.6001,1.1547
S066,11,122,5.45,14.8335,234.41,258.3793,1.1023
S007,11,122,22.0,14.8311,1290.21,1350.2574,1.0465
S051,10,115,5.025,14.8269,117.33,179.3872,1.5289
S033,12,122,5.688,14.8167,276.56,304.7113,1.1018
S008,12,122,3.172,14.7889,174.83,174.647,0.999
S051,14,121,5.025,14.7196,121.5,179.744,1.4794
S065,13,122,1.9239,14.6751,105.26,111.6984,1.0612
