site_id,base_midday_avg_nrmse_pct,avg_nrmse_after_drop_site_pct,drop_contribution_pp
S012,14.43,14.184,0.246
S055,14.43,14.206,0.224
S116,14.43,14.226,0.204
S050,14.43,14.246,0.184
S019,14.43,14.26,0.17
S032,14.43,14.29,0.14
S052,14.43,14.338,0.092
S028,14.43,14.368,0.062
S060,14.43,14.368,0.062
S039,14.43,14.37,0.06
S041,14.43,14.38,0.05
S072,14.43,14.38,0.05
S022,14.43,14.38,0.05
S046,14.43,14.386,0.044
S009,14.43,14.402,0.028
S051,14.43,14.408,0.022
S021,14.43,14.412,0.018
S004,14.43,14.416,0.014
S008,14.43,14.428,0.002
S038,14.43,14.434,-0.004
S075,14.43,14.434,-0.004
S061,14.43,14.44,-0.01
S033,14.43,14.442,-0.012
S065,14.43,14.442,-0.012
S040,14.43,14.442,-0.012
S007,14.43,14.444,-0.014
S073,14.43,14.446,-0.016
S066,14.43,14.448,-0.018
S014,14.43,14.452,-0.022
S020,14.43,14.454,-0.024
S002,14.43,14.46,-0.03
S074,14.43,14.46,-0.03
S030,14.43,14.464,-0.034
S042,14.43,14.47,-0.04
S018,14.43,14.478,-0.048
S054,14.43,14.482,-0.052
S059,14.43,14.482,-0.052
S035,14.43,14.484,-0.054
S024,14.43,14.484,-0.054
S025,14.43,14.492,-0.062
S056,14.43,14.494,-0.064
S071,14.43,14.5,-0.07
S011,14.43,14.5,-0.07
S068,14.43,14.502,-0.072
S070,14.43,14.508,-0.078
S053,14.43,14.512,-0.082
S010,14.43,14.516,-0.086
S064,14.43,14.522,-0.092
S047,14.43,14.524,-0.094
S049,14.43,14.528,-0.098
S062,14.43,14.53,-0.1
S023,14.43,14.544,-0.114
S017,14.43,14.594,-0.164
