hour,strategy,n,S0_raw,S0_clip,S0_wape,S0_cre,S3_raw,S3_clip,S3_wape,S3_cre,S4_raw,S4_clip,S4_wape,S4_cre,v3_raw,v3_clip,v3_wape,v3_cre,delta_raw_vs_S0,delta_cre_vs_S0,n_gt200_S0,n_gt200_v3
6,S4,45,74.25080057883766,74.97838981763168,95.85197450371078,95.50656191829802,72.01444419520665,76.45225704817426,94.92661132473356,93.6878653054,73.30175322464359,74.39556094161802,95.82234937125011,95.47597915148425,73.30175322464359,74.39556094161802,95.82234937125011,95.47597915148425,-0.9490473541940645,-0.03058276681376526,0,0
7,S4,53,63.268699404520625,70.7591202704214,79.16644043235144,76.10781305264287,58.43299934401079,73.23564471362474,73.61376014966285,65.51310562290776,60.14120697615173,67.92296201451583,77.21877829736476,73.90052328861117,60.14120697615173,67.92296201451583,77.21877829736476,73.90052328861117,-3.127492428368896,-2.2072897640316995,0,0
8,S2,53,47.405525100755135,50.80020728628718,52.24170841177277,44.75070942398119,41.21099095753713,52.214798823705564,44.47757096277098,22.650993193573672,47.405525100755135,50.80020728628718,52.24170841177277,44.75070942398119,41.21099095753713,52.214798823705564,44.47757096277098,22.650993193573672,-6.194534143218007,-22.09971623040752,0,0
9,S2,53,36.14719847811759,43.28517358344735,35.72523554048431,21.145198746306882,36.26635268976044,53.64191275163278,35.38315152656627,7.757757524089759,35.49580861632811,43.9204572378819,35.32018038660023,19.54350655025386,36.26635268976044,53.64191275163278,35.38315152656627,7.757757524089759,0.11915421164285078,-13.387441222217124,0,0
10,S2,53,31.493796633621695,39.45263415386491,29.516023492067784,14.226977272738603,32.29178637765008,51.73307216622278,30.478698364368118,9.896938972520282,29.623301430868782,40.73055412151574,28.17844040494424,10.620663346038556,32.29178637765008,51.73307216622278,30.478698364368118,9.896938972520282,0.7979897440283814,-4.330038300218321,0,0
11,S2,53,30.807213663809332,38.58377943160028,28.666987348138274,14.739509595778589,28.480617614557456,47.33203877933988,26.75940972800404,3.83143629653254,28.506959864808955,40.280293906514174,27.136196085224494,10.93385231308078,28.480617614557456,47.33203877933988,26.75940972800404,3.83143629653254,-2.326596049251876,-10.908073299246048,0,0
12,S2,53,32.13809559128083,41.85409404444612,29.8478116849279,15.981492049713331,28.46993859382697,50.39134367105815,26.60006377125602,0.4232026733273078,29.63136724900024,43.96938003042381,28.122064129483444,11.912163880845538,28.46993859382697,50.39134367105815,26.60006377125602,0.4232026733273078,-3.6681569974538597,-15.558289376386023,0,0
13,S2,53,32.56416360748607,42.698774976037555,30.820221207807858,13.995586174088976,29.963429787506634,52.704861066230315,28.441029009691228,3.5098266213074014,30.211392283606784,44.85547868899181,29.188370009260662,9.563463718027435,29.963429787506634,52.704861066230315,28.441029009691228,3.5098266213074014,-2.600733819979439,-10.485759552781573,0,0
14,S2,53,34.06711123125817,45.54223565549506,32.23164586627463,16.36518296897081,32.80047803375706,57.10972995860904,30.958602080503518,3.776054218523823,31.99833915438157,47.19731450285421,30.803854098832677,12.147854621960146,32.80047803375706,57.10972995860904,30.958602080503518,3.776054218523823,-1.2666331975011076,-12.589128750446987,0,0
15,S2,53,34.83473645575998,43.56029962874244,34.788367749665895,18.087100490336073,40.7431775663492,58.11937067382663,39.471772000116694,8.430220598881986,33.921640032221326,44.922253675760004,34.23850485985497,13.69683412179414,40.7431775663492,58.11937067382663,39.471772000116694,8.430220598881986,5.908441110589223,-9.656879891454087,0,0
16,S4,53,43.42302001050188,51.47353059988382,50.146861994767946,35.49397487829122,47.220021907363765,69.79128898935187,51.16487096318907,5.936326503955835,40.59882926667268,57.39812138032623,48.063000469904715,21.627190799285682,40.59882926667268,57.39812138032623,48.063000469904715,21.627190799285682,-2.824190743829199,-13.866784079005537,0,0
17,S4,53,55.362454671401764,66.4786048924434,77.1986141409829,72.46202879874072,54.73571387605472,112.19201092784365,73.95645387810728,56.020257900624024,51.899797483904464,106.44206745097745,75.53405753155131,64.49580071674814,51.899797483904464,106.44206745097745,75.53405753155131,64.49580071674814,-3.4626571874972996,-7.966228081992583,0,0
18,S4,49,66.81944253193181,77.05240170913656,93.41321156804885,92.16306783966701,66.97824950563664,89.5999307394568,91.82523727117729,87.91815257760254,59.04711531923857,85.75635966729051,93.03903308555971,90.59234675013906,59.04711531923857,85.75635966729051,93.03903308555971,90.59234675013906,-7.7723272126932414,-1.5707210895279502,0,0
19,S3,15,81.41529543715323,71.72798872841462,95.81216406054803,95.77487147830436,79.13159380960845,67.74061827703116,94.71361613582586,94.08413309457778,81.4114223777778,71.72103875899198,95.81139564567013,95.77410306342645,79.13159380960845,67.74061827703116,94.71361613582586,94.08413309457778,-2.2837016275447866,-1.6907383837265826,0,0
