站点ID,站点名称,MAE(MW),RMSE(MW),相对误差均值(%),误差<1MW比例(%),样本数,问题标注
S002,华筑泰宝光伏,0.3646,0.5045,34.25,91.2,1415,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率50%)
S004,旭樱东堡光伏,0.353,0.4775,60.96,95.0,1184,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S007,林洋朝阳光伏,1.6727,2.4292,39.64,48.6,1276,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%) | ⚠️ 预测偏离极大(<1MW比例仅49%)
S008,协鑫盛昌光伏,0.2377,0.3609,30.21,97.6,1319,🟠 训练数据少(n<3000)
S009,华电金叶光伏,0.4444,0.6429,62.96,88.1,1312,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%)
S010,易睐珂浦南光伏,0.1005,0.1504,29.77,100.0,1421,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S011,中森西苑光伏,0.1264,0.1946,26.58,100.0,1286,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S012,泰富如意情光伏,2.2035,3.2907,801.04,48.4,1402,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率61%) | ⚠️ 预测偏离极大(<1MW比例仅48%)
S014,鲲鹏昇昌光伏,0.3955,0.5229,59.8,93.9,1261,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率59%)
S017,富云四队光伏,0.046,0.0678,33.59,100.0,1288,✅ 最好站点(MAE<0.1MW) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率76%)
S018,国能百菇源光伏,0.3196,0.4828,32.14,93.6,1261,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S019,首耀新海光伏,0.6719,1.0443,34.51,73.6,1357,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S020,国能赫睿光伏,0.2776,0.3927,53.3,97.5,1255,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
