power_alias,power_name_norm,file_dev_type,dev_type,site_id,match_method,match_score
浦西光伏电站总出力值,浦西,分布式,分布式,S022,exact_norm,1.0
林洋伊山光伏电站总出力值,林洋伊山,分布式,分布式,S116,exact_norm,1.0
林洋朝阳光伏总出力值,林洋朝阳光伏,分布式,分布式,S007,exact_norm,1.0
协鑫南岗光伏总出力值,协鑫南岗光伏,分布式,分布式,S071,exact_norm,1.0
中森侍庄光伏电站总出力值,中森侍庄,分布式,分布式,S030,fuzzy,0.8
华能灌云光伏总出力值,华能灌云光伏,分布式,分布式,S049,exact_norm,1.0
连洋徐圩光伏总出力值,连洋徐圩光伏,分布式,分布式,S023,exact_norm,1.0
旭日虎山光伏电站总出力值,旭日虎山,分布式,分布式,S070,fuzzy,0.8
易睐珂浦南光伏电站总出力值,易睐珂浦南,分布式,分布式,S010,fuzzy,0.8333333333333334
首耀清墩光伏总出力值,首耀清墩光伏,分布式,分布式,S059,exact_norm,1.0
首耀新海光伏总出力值,首耀新海光伏,分布式,分布式,S019,exact_norm,1.0
京运通牛山光伏电站总出力值,京运通牛山,分布式,分布式,S026,exact_norm,1.0
中盛石榴光伏电站总出力值,中盛石榴,分布式,分布式,S065,fuzzy,0.8
中森西苑光伏总出力值,中森西苑光伏,分布式,分布式,S011,exact_norm,1.0
远途大浦光伏总出力值,远途大浦光伏,分布式,分布式,S058,fuzzy,0.8
鑫众墩尚光伏电站总出力值,鑫众墩尚,分布式,分布式,S115,exact_norm,1.0
京运通西湖总出力值,京运通西湖,分布式,分布式,S003,exact_norm,1.0
珠江光伏总出力值,珠江光伏,分布式,分布式,S067,fuzzy,0.8
鹰游新立成总出力值,鹰游新立成,分布式,分布式,S053,exact_norm,1.0
韩华大浦光伏总出力值,韩华大浦光伏,分布式,分布式,S062,fuzzy,0.8
汇九齿轮光伏总出力值,汇九齿轮光伏,分布式,分布式,S047,fuzzy,0.8
兴怡紧固件光伏总出力值,兴怡紧固件光伏,分布式,分布式,S024,exact_norm,1.0
交控大浦光伏总出力值,交控大浦光伏,分布式,分布式,S072,exact_norm,1.0
国能品品鲜光伏总出力值,国能品品鲜光伏,分布式,分布式,S035,exact_norm,1.0
华能中林总出力值,华能中林,分布式,分布式,S032,fuzzy,0.8
华能裕灌光伏电站总出力值,华能裕灌,分布式,分布式,S073,fuzzy,0.8
恒邦智纺总出力值,恒邦智纺,分布式,分布式,S001,manual_override,1.0
国能百菇源光伏总出力值,国能百菇源光伏,分布式,分布式,S018,exact_norm,1.0
科来恩润石光伏电站总出力值,科来恩润石,分布式,分布式,S066,fuzzy,0.8333333333333334
鹰游新立成二期总出力值,鹰游新立成二期,分布式,分布式,S052,fuzzy,0.875
连云港.华电金叶光伏.总出力值,华电金叶光伏,分布式,分布式,S009,exact_norm,1.0
华能中林二期光伏总出力值,华能中林二期光伏,分布式,分布式,S074,exact_norm,1.0
国能汇菇源光伏总出力值,国能汇菇源光伏,分布式,分布式,S044,exact_norm,1.0
连云港.华电苏班光伏总出力值,华电苏班光伏,分布式,分布式,S040,exact_norm,1.0
连云港.华电蒙然源光伏.总出力值,华电蒙然源光伏,分布式,分布式,S060,exact_norm,1.0
鲲鹏德宇光伏总出力值,鲲鹏德宇光伏,分布式,分布式,S051,exact_norm,1.0
泰富如意情光伏总出力值,泰富如意情光伏,分布式,分布式,S012,exact_norm,1.0
富云杨集光伏电站总出力值,富云杨集,分布式,分布式,S031,fuzzy,0.8
富云四队光伏电站总出力值,富云四队,分布式,分布式,S017,fuzzy,0.8
富云下车光伏电站总出力值,富云下车,分布式,分布式,S068,fuzzy,0.8
富云图河光伏电站总出力值,富云图河,分布式,分布式,S077,fuzzy,0.8
昱瑞青口光伏电站总出力值,昱瑞青口,分布式,分布式,S064,fuzzy,0.8
欧翔神舟光伏总出力值,欧翔神舟光伏,分布式,分布式,S057,fuzzy,0.8
交控赣榆南光伏电站总出力值,交控赣榆南,分布式,分布式,S041,fuzzy,0.8333333333333334
夏源银得隆光伏总出力值,夏源银得隆光伏,分布式,分布式,S025,exact_norm,1.0
振江轨道交通总出力值,振江轨道交通,分布式,分布式,S015,fuzzy,0.8571428571428571
华能星耀光伏总出力值,华能星耀光伏,分布式,分布式,S028,exact_norm,1.0
华能华兴光伏总出力值,华能华兴光伏,分布式,分布式,S045,exact_norm,1.0
国能联合动力光伏总出力值,国能联合动力光伏,分布式,分布式,S042,exact_norm,1.0
国能新易春光伏总出力值,国能新易春光伏,分布式,分布式,S046,exact_norm,1.0
国能赫睿光伏总出力值,国能赫睿光伏,分布式,分布式,S020,exact_norm,1.0
鸿天伍江光伏总出力值,鸿天伍江光伏,分布式,分布式,S054,exact_norm,1.0
振江轨道交通二期总出力值,振江轨道交通二期,分布式,分布式,S015,fuzzy,0.75
协鑫盛昌光伏总出力值,协鑫盛昌光伏,分布式,分布式,S008,exact_norm,1.0
天瀚万发光伏总出力值,天瀚万发光伏,分布式,分布式,S033,exact_norm,1.0
旭樱新田光伏总出力值,旭樱新田光伏,分布式,分布式,S075,exact_norm,1.0
