site_id,hour,month,residual_norm_median,n_train,level,capacity_bucket
S002,10,5.0,0.2566666807929012,30,site_hour_month,
S002,10,6.0,0.005359606439904892,30,site_hour_month,
S002,11,5.0,0.23417039255955768,30,site_hour_month,
S002,11,6.0,0.1416928948699771,30,site_hour_month,
S002,12,5.0,0.22284892593690386,30,site_hour_month,
S002,12,6.0,0.06135416950586038,30,site_hour_month,
S002,13,5.0,0.2669791609014752,31,site_hour_month,
S002,13,6.0,0.07115765986438577,30,site_hour_month,
S002,14,5.0,0.2677844882037096,31,site_hour_month,
S002,14,6.0,0.03190707488239013,30,site_hour_month,
S003,10,1.0,0.0025503448073891707,54,site_hour_month,
S003,10,2.0,0.014243115521335234,55,site_hour_month,
S003,10,3.0,-0.007317179260561931,62,site_hour_month,
S003,10,4.0,-0.023520361520116204,52,site_hour_month,
S003,10,5.0,0.2808459035618516,31,site_hour_month,
S003,10,6.0,-0.02167093421607728,56,site_hour_month,
S003,10,7.0,-0.05966285807936446,31,site_hour_month,
S003,10,8.0,-0.04786172989361718,31,site_hour_month,
S003,10,9.0,0.018527179263224225,56,site_hour_month,
S003,10,10.0,-0.00022568076582229528,62,site_hour_month,
S003,10,11.0,-0.019476793065019617,60,site_hour_month,
S003,10,12.0,0.006613475654958435,42,site_hour_month,
S003,11,1.0,0.0038383194422083365,54,site_hour_month,
S003,11,2.0,-0.009527581406513516,55,site_hour_month,
S003,11,3.0,-0.024316253132061677,62,site_hour_month,
S003,11,4.0,-0.05707155601331031,52,site_hour_month,
S003,11,5.0,0.3333385942509109,31,site_hour_month,
S003,11,6.0,-0.006026779931817812,56,site_hour_month,
S003,11,7.0,-0.0709076977584947,31,site_hour_month,
S003,11,8.0,-0.030516282789848824,31,site_hour_month,
S003,11,9.0,0.029752059387454628,56,site_hour_month,
S003,11,10.0,0.01821304715885478,62,site_hour_month,
S003,11,11.0,-0.003906412624534115,60,site_hour_month,
S003,11,12.0,0.03516567702915153,42,site_hour_month,
S003,12,1.0,-3.5807702263578023e-05,54,site_hour_month,
S003,12,2.0,-0.020750294308327207,55,site_hour_month,
S003,12,3.0,-0.014578316396173865,62,site_hour_month,
S003,12,4.0,-0.0598934767147878,52,site_hour_month,
S003,12,5.0,0.35,31,site_hour_month,
S003,12,6.0,0.02832143598614104,57,site_hour_month,
S003,12,7.0,-0.015694915630657096,31,site_hour_month,
S003,12,8.0,-0.029133483167012683,31,site_hour_month,
S003,12,9.0,0.043497394240070555,56,site_hour_month,
S003,12,10.0,-0.005430818523779167,62,site_hour_month,
S003,12,11.0,0.004649133352814676,60,site_hour_month,
S003,12,12.0,0.03163930117677715,42,site_hour_month,
S003,13,1.0,-0.004185102638833742,54,site_hour_month,
S003,13,2.0,-0.021159318024119043,55,site_hour_month,
S003,13,3.0,-0.005324251803853121,62,site_hour_month,
S003,13,4.0,-0.035758913999032034,52,site_hour_month,
S003,13,5.0,0.35,31,site_hour_month,
S003,13,6.0,0.05023635111076164,57,site_hour_month,
S003,13,7.0,-0.08962114385981503,31,site_hour_month,
