site_id,station_name,hour,rows,nrmse_percent,mae_mw,rmse_mw,bias_percent,pred_actual_ratio,actual_zero_ratio,pred_zero_ratio,scene_main,risk_flags
S002,华筑泰宝光伏电站,6,122,17.888,0.3568,0.5903,-100.0,0.0,0.5574,1.0,night,high_bias
S002,华筑泰宝光伏电站,7,122,17.9533,0.3936,0.5925,-98.3774,0.0162,0.0738,0.9836,low,high_bias|under_prediction
S002,华筑泰宝光伏电站,8,122,17.3241,0.3994,0.5717,-60.5658,0.3943,0.0082,0.0,low,high_bias|under_prediction
S002,华筑泰宝光伏电站,9,122,13.0633,0.3223,0.4311,-17.8614,0.8214,0.0082,0.0,mid,ok
S002,华筑泰宝光伏电站,10,122,11.1157,0.2677,0.3668,-0.6193,0.9938,0.0082,0.0,mid,ok
S002,华筑泰宝光伏电站,11,122,13.6154,0.3409,0.4493,-6.6554,0.9334,0.0082,0.0,mid,ok
S002,华筑泰宝光伏电站,12,122,15.3644,0.3862,0.507,-12.8329,0.8717,0.0,0.0,clear_peak,ok
S002,华筑泰宝光伏电站,13,122,13.2094,0.3307,0.4359,-8.1277,0.9187,0.0,0.0,clear_peak,ok
S002,华筑泰宝光伏电站,14,122,10.3415,0.2645,0.3413,-6.6363,0.9336,0.0,0.0,mid,ok
S002,华筑泰宝光伏电站,15,122,11.6686,0.2838,0.3851,-20.6114,0.7939,0.0,0.0,mid,high_bias
S002,华筑泰宝光伏电站,16,122,15.0812,0.3104,0.4977,-47.3459,0.5265,0.0,0.0,mid,high_bias|under_prediction
S002,华筑泰宝光伏电站,17,122,16.9243,0.317,0.5585,-86.9523,0.1305,0.3115,0.5246,night,high_bias|under_prediction
S002,华筑泰宝光伏电站,18,122,11.6787,0.186,0.3854,-99.4867,0.0051,0.7131,0.9918,night,high_bias|under_prediction
S002,华筑泰宝光伏电站,19,122,11.7097,0.187,0.3864,-100.0,0.0,0.7131,1.0,night,high_bias
S003,京运通西湖光伏电站,6,122,1.848,0.077,0.077,939399999999.9998,9394000000.0,1.0,0.0,night,high_bias|over_prediction
S003,京运通西湖光伏电站,7,122,1.9854,0.0792,0.0827,965983807583.4072,9659838075.8341,1.0,0.0,low,high_bias|over_prediction
S003,京运通西湖光伏电站,8,122,6.88,0.2245,0.2867,2738815792802.7,27388157928.027,1.0,0.0,low,high_bias|over_prediction
S003,京运通西湖光伏电站,9,122,13.3054,0.4943,0.5544,6031014902871.552,60310149028.7155,1.0,0.0,mid,high_bias|over_prediction
S003,京运通西湖光伏电站,10,122,17.908,0.6805,0.7462,8302022142743.793,83020221427.4379,1.0,0.0,mid,high_bias|over_prediction
S003,京运通西湖光伏电站,11,122,21.332,0.8157,0.8888,9951660646130.152,99516606461.3015,1.0,0.0,mid,high_nrmse|high_bias|over_prediction
S003,京运通西湖光伏电站,12,122,22.6429,0.8682,0.9435,10591778992825.049,105917789928.2505,1.0,0.0,clear_peak,high_nrmse|high_bias|over_prediction
S003,京运通西湖光伏电站,13,122,21.4983,0.8312,0.8958,10140543356162.797,101405433561.628,1.0,0.0,clear_peak,high_nrmse|high_bias|over_prediction
S003,京运通西湖光伏电站,14,122,17.5904,0.6759,0.7329,8245638706277.316,82456387062.7732,1.0,0.0,mid,high_bias|over_prediction
S003,京运通西湖光伏电站,15,122,13.3229,0.5027,0.5551,6132639049916.158,61326390499.1616,1.0,0.0,mid,high_bias|over_prediction
S003,京运通西湖光伏电站,16,122,8.2558,0.3048,0.344,3718119896717.0693,37181198967.1707,1.0,0.0,mid,high_bias|over_prediction
S003,京运通西湖光伏电站,17,122,3.3251,0.0785,0.1385,957250661970.8707,9572506619.7087,1.0,0.5,low,high_bias|over_prediction
S003,京运通西湖光伏电站,18,122,1.9175,0.0787,0.0799,960695790456.3896,9606957904.5639,1.0,0.0,night,high_bias|over_prediction
S003,京运通西湖光伏电站,19,122,1.848,0.077,0.077,939399999999.9998,9394000000.0,1.0,0.0,night,high_bias|over_prediction
S004,旭樱东堡光伏电站,6,122,0.1839,0.0012,0.0073,-100.0,0.0,0.9672,1.0,night,high_bias
S004,旭樱东堡光伏电站,7,122,3.7892,0.0761,0.1504,-90.9272,0.0907,0.4672,0.9836,low,high_bias|under_prediction
S004,旭樱东堡光伏电站,8,122,6.7754,0.2157,0.269,-31.0694,0.6893,0.0246,0.5738,low,high_bias|under_prediction
S004,旭樱东堡光伏电站,9,122,8.6759,0.2327,0.3444,6.8514,1.0685,0.0082,0.123,mid,ok
S004,旭樱东堡光伏电站,10,122,11.3569,0.3475,0.4509,15.2991,1.153,0.0246,0.041,mid,ok
S004,旭樱东堡光伏电站,11,122,11.695,0.3601,0.4643,12.9364,1.1294,0.0,0.041,mid,ok
S004,旭樱东堡光伏电站,12,122,14.0781,0.4202,0.5589,9.8488,1.0985,0.0082,0.0328,mid,ok
S004,旭樱东堡光伏电站,13,122,13.7594,0.4068,0.5462,14.7795,1.1478,0.0,0.0328,clear_peak,ok
S004,旭樱东堡光伏电站,14,122,11.5634,0.3439,0.4591,13.1711,1.1317,0.0,0.0492,mid,ok
S004,旭樱东堡光伏电站,15,122,8.3159,0.2429,0.3301,6.9949,1.0699,0.0164,0.0984,mid,ok
S004,旭樱东堡光伏电站,16,122,4.6596,0.1325,0.185,13.5106,1.1351,0.0902,0.1885,mid,ok
S004,旭樱东堡光伏电站,17,122,2.4183,0.0413,0.096,-11.152,0.8885,0.7131,0.7951,night,ok
S004,旭樱东堡光伏电站,18,122,0.1148,0.0006,0.0046,-47.4431,0.5256,0.9754,0.9918,night,high_bias|under_prediction
S004,旭樱东堡光伏电站,19,122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,night,ok
S006,沐恒石湖光伏电站,6,122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,night,ok
S006,沐恒石湖光伏电站,7,122,0.7178,0.0093,0.0359,-81.3578,0.1864,0.9262,0.9918,low,high_bias|under_prediction
S006,沐恒石湖光伏电站,8,122,3.5184,0.1245,0.1759,50.9378,1.5094,0.4344,0.0,low,high_bias|over_prediction
S006,沐恒石湖光伏电站,9,122,6.9575,0.2708,0.3479,78.9485,1.7895,0.2049,0.0,mid,high_bias|over_prediction
S006,沐恒石湖光伏电站,10,122,11.8414,0.459,0.5921,95.0321,1.9503,0.1475,0.0,mid,high_bias|over_prediction
S006,沐恒石湖光伏电站,11,122,14.7884,0.6189,0.7394,99.424,1.9942,0.1393,0.0,mid,high_bias|over_prediction
S006,沐恒石湖光伏电站,12,122,16.3056,0.6957,0.8153,105.7537,2.0575,0.123,0.0,clear_peak,high_bias|over_prediction
S006,沐恒石湖光伏电站,13,122,15.2666,0.6262,0.7633,96.9602,1.9696,0.1311,0.0,clear_peak,high_bias|over_prediction
S006,沐恒石湖光伏电站,14,122,10.2528,0.374,0.5126,60.744,1.6074,0.1311,0.0,mid,high_bias|over_prediction
S006,沐恒石湖光伏电站,15,122,5.2276,0.1606,0.2614,33.6618,1.3366,0.1475,0.0,mid,high_bias|over_prediction
S006,沐恒石湖光伏电站,16,122,2.9506,0.088,0.1475,17.3566,1.1736,0.2131,0.0,mid,ok
S006,沐恒石湖光伏电站,17,122,1.6358,0.0394,0.0818,19.3301,1.1933,0.8443,0.5,low,ok
S006,沐恒石湖光伏电站,18,122,0.0385,0.0002,0.0019,3008650246.2275,30086502.4623,1.0,0.9836,night,high_bias|over_prediction
S006,沐恒石湖光伏电站,19,122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,night,ok
S007,林洋朝阳光伏电站,6,122,0.3582,0.0231,0.0788,-100.0,0.0,0.8934,1.0,night,high_bias
S007,林洋朝阳光伏电站,7,122,5.8784,0.7374,1.2932,-92.5313,0.0747,0.2131,0.9836,low,high_bias|under_prediction
S007,林洋朝阳光伏电站,8,122,8.1851,1.3639,1.8007,-5.5298,0.9447,0.0164,0.0,low,ok
S007,林洋朝阳光伏电站,9,122,12.2312,2.1217,2.6909,4.4451,1.0445,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,10,122,13.5137,2.2396,2.973,10.0015,1.1,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,11,122,15.1557,2.3655,3.3343,6.5209,1.0652,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,12,122,14.0718,2.3238,3.0958,11.0931,1.1109,0.0,0.0,clear_peak,ok
S007,林洋朝阳光伏电站,13,122,16.2897,2.7553,3.5837,15.4167,1.1542,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,14,122,11.6435,1.8442,2.5616,9.3366,1.0934,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,15,122,8.6377,1.2957,1.9003,4.618,1.0462,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,16,122,4.0934,0.6087,0.9006,5.9117,1.0591,0.0,0.0,mid,ok
S007,林洋朝阳光伏电站,17,122,1.4183,0.1523,0.312,-19.5689,0.8043,0.5164,0.5164,night,ok
S007,林洋朝阳光伏电站,18,122,0.2872,0.0174,0.0632,-73.8052,0.2619,0.9016,0.9918,night,high_bias|under_prediction
S007,林洋朝阳光伏电站,19,122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,night,ok
S008,协鑫盛昌光伏电站,6,122,3.5473,0.1113,0.1125,1778.1579,18.7816,0.8443,0.0,night,high_bias|over_prediction
S008,协鑫盛昌光伏电站,7,122,4.8361,0.108,0.1534,-8.7762,0.9122,0.1393,0.0,low,ok
S008,协鑫盛昌光伏电站,8,122,8.0132,0.202,0.2542,-4.5348,0.9547,0.0,0.0,low,ok
S008,协鑫盛昌光伏电站,9,122,10.1919,0.2315,0.3233,10.2662,1.1027,0.0082,0.0,mid,ok
S008,协鑫盛昌光伏电站,10,122,14.4717,0.3576,0.459,13.0319,1.1303,0.0,0.0,mid,ok
S008,协鑫盛昌光伏电站,11,122,16.0715,0.3731,0.5098,10.2853,1.1029,0.0,0.0,mid,ok
S008,协鑫盛昌光伏电站,12,122,15.2249,0.3525,0.4829,8.462,1.0846,0.0,0.0,clear_peak,ok
S008,协鑫盛昌光伏电站,13,122,17.0821,0.3906,0.5418,10.5226,1.1052,0.0,0.0,clear_peak,ok
S008,协鑫盛昌光伏电站,14,122,13.4654,0.3261,0.4271,15.1146,1.1511,0.0,0.0,mid,ok
