hour,n,actual_sum,pred_sum,raw_factor,shrink,final_factor,factor_clipped,factor_min,factor_max,factor_final,city_nrmse_before,city_nrmse_after,city_nrmse_delta,sm_nrmse_before,sm_nrmse_after,sm_nrmse_delta,bias_before,bias_after,bias_abs_delta,status,rollback_reason
6,4216,976.02,423.2671,2.3059,0.5843,1.763,1.03,0.97,1.03,1.0,2.5752,2.5284,-0.0468,4.3096,4.3147,0.0051,-56.6334,-55.3324,-1.301,rollback,bias_abs_delta=-1.301
7,4216,3242.2,2804.6836,1.156,0.5843,1.0911,1.03,0.97,1.03,1.0,3.8946,3.8642,-0.0304,7.7843,7.802,0.0177,-13.4944,-10.8993,-2.5952,rollback,bias_abs_delta=-2.595
8,4216,5895.77,5567.8363,1.0589,0.5843,1.0344,1.03,0.97,1.03,1.0,3.8601,3.706,-0.1541,12.0913,12.0926,0.0012,-5.5622,-2.7291,-2.8331,rollback,bias_abs_delta=-2.833
9,4216,8243.59,7930.1351,1.0395,0.5843,1.0231,1.0231,0.97,1.03,1.0,5.2819,5.1365,-0.1454,16.4337,16.4329,-0.0009,-3.8024,-1.5802,-2.2222,rollback,bias_abs_delta=-2.222
10,4216,10024.82,9768.1104,1.0263,0.5843,1.0154,1.0154,0.94,1.04,1.0,6.5572,6.5455,-0.0117,19.6935,19.7048,0.0113,-2.5607,-1.0602,-1.5006,rollback,bias_abs_delta=-1.501
11,4216,11006.24,10943.4348,1.0057,0.5843,1.0034,1.0034,0.94,1.04,1.0034,7.493,7.5078,0.0148,21.7585,21.7657,0.0072,-0.5706,-0.2326,-0.3381,ok,
12,4216,11338.33,11395.9664,0.9949,0.5843,0.997,0.997,0.94,1.04,0.997,6.3901,6.3733,-0.0168,22.6891,22.6821,-0.007,0.5083,0.2068,-0.3015,ok,
13,4216,11005.44,11195.443,0.983,0.5843,0.9901,0.9901,0.94,1.04,1.0,6.6603,6.5856,-0.0747,22.353,22.3232,-0.0298,1.7264,0.7194,-1.0071,rollback,bias_abs_delta=-1.007
14,4216,10068.32,9995.6563,1.0073,0.5843,1.0042,1.0042,0.94,1.04,1.0042,7.3355,7.3372,0.0017,21.122,21.123,0.0011,-0.7217,-0.3047,-0.417,ok,
15,4216,8336.09,7914.5723,1.0533,0.5843,1.0311,1.03,0.97,1.03,1.0,6.616,6.4295,-0.1865,18.0865,18.0624,-0.0241,-5.0565,-2.2082,-2.8483,rollback,bias_abs_delta=-2.848
16,4216,6323.56,5753.44,1.0991,0.5843,1.0579,1.03,0.97,1.03,1.0,5.8765,5.6644,-0.2121,14.5011,14.4514,-0.0497,-9.0158,-6.2863,-2.7295,rollback,bias_abs_delta=-2.730
17,4216,3760.8,3516.6268,1.0694,0.5843,1.0406,1.03,0.97,1.03,1.0,3.4291,3.3657,-0.0634,8.8244,8.8144,-0.0101,-6.4926,-3.6874,-2.8052,rollback,bias_abs_delta=-2.805
18,4216,1473.12,1414.0756,1.0418,0.5843,1.0244,1.0244,0.97,1.03,1.0,1.5457,1.5657,0.02,4.4643,4.5083,0.044,-4.0081,-1.6659,-2.3422,rollback,bias_abs_delta=-2.342
19,4216,373.86,393.205,0.9508,0.5843,0.9713,0.9713,0.97,1.03,1.0,0.6208,0.6165,-0.0043,3.7298,3.6804,-0.0493,5.1744,2.1559,-3.0185,rollback,bias_abs_delta=-3.019
