hour,scene_v151,n,actual_sum,pred_sum,raw_factor,global_factor,shrinkage_weight,final_factor,factor_clipped,valid_bias_before,valid_bias_after,valid_bias_delta,factor_final,reverted_bias
6,low,18926,4664.79,2178.0594,2.1417,1.353,0.9498,2.1021,1.2,-57.7305,-49.2765,-8.4539,1.2,False
6,night,13270,489.86,1701.8863,0.2878,0.5302,0.9299,0.3048,0.85,-57.7305,-49.2765,-8.4539,0.85,False
7,low,19225,8958.15,5223.2588,1.7151,1.353,0.9506,1.6972,1.2,-16.4192,-12.8804,-3.5388,1.2,False
7,mid,7963,8536.42,9069.3375,0.9412,0.9618,0.8884,0.9435,0.9435,-16.4192,-12.8804,-3.5388,0.9435,False
7,night,5008,207.77,639.487,0.3249,0.5302,0.8336,0.3591,0.85,-16.4192,-12.8804,-3.5388,0.85,False
8,low,13404,7727.48,5094.184,1.5169,1.353,0.9306,1.5055,1.2,-8.4861,-9.711,1.2248,1.0,True
8,mid,18792,30426.32,31335.7938,0.971,0.9618,0.9495,0.9705,0.9705,-8.4861,-9.711,1.2248,1.0,True
9,clear_peak,4671,13101.92,13567.3477,0.9657,0.959,0.8237,0.9645,0.9645,-6.9628,-8.7805,1.8178,1.0,True
9,low,5428,5009.9,3354.3712,1.4935,1.353,0.8444,1.4717,1.2,-6.9628,-8.7805,1.8178,1.0,True
9,mid,22100,42790.2,44165.5259,0.9689,0.9618,0.9567,0.9686,0.9686,-6.9628,-8.7805,1.8178,1.0,True
10,clear_peak,13717,43382.26,44919.7692,0.9658,0.959,0.9321,0.9653,0.9653,-5.6665,-7.4757,1.8093,1.0,True
10,low,4093,5411.61,4153.1458,1.303,1.353,0.8037,1.3128,1.2,-5.6665,-7.4757,1.8093,1.0,True
10,mid,14393,29186.46,30296.7823,0.9634,0.9618,0.935,0.9632,0.9632,-5.6665,-7.4757,1.8093,1.0,True
11,clear_peak,18460,61704.79,64172.6418,0.9615,0.959,0.9486,0.9614,0.9614,-3.5705,-5.6666,2.0961,1.0,True
11,low,3580,5540.02,4987.6201,1.1108,1.353,0.7817,1.1637,1.1637,-3.5705,-5.6666,2.0961,1.0,True
11,mid,10165,20989.2,21573.8937,0.9729,0.9618,0.9104,0.9719,0.9719,-3.5705,-5.6666,2.0961,1.0,True
12,clear_peak,22053,73761.32,76779.6637,0.9607,0.959,0.9566,0.9606,0.9606,-2.4212,-5.1008,2.6796,1.0,True
12,low,3417,5721.04,5442.3521,1.0512,1.353,0.7736,1.1195,1.1195,-2.4212,-5.1008,2.6796,1.0,True
12,mid,6737,12130.91,12622.8039,0.961,0.9618,0.8708,0.9611,0.9611,-2.4212,-5.1008,2.6796,1.0,True
13,clear_peak,21765,69898.88,73240.8235,0.9544,0.959,0.9561,0.9546,0.9546,-1.3946,-4.4966,3.1021,1.0,True
13,low,3215,5390.22,5128.9943,1.0509,1.353,0.7628,1.1226,1.1226,-1.3946,-4.4966,3.1021,1.0,True
13,mid,7227,12784.48,13197.612,0.9687,0.9618,0.8784,0.9679,0.9679,-1.3946,-4.4966,3.1021,1.0,True
14,clear_peak,18613,55128.83,57612.0524,0.9569,0.959,0.949,0.957,0.957,-3.8533,-6.1696,2.3163,1.0,True
14,low,3269,4760.48,4131.7105,1.1522,1.353,0.7658,1.1992,1.1992,-3.8533,-6.1696,2.3163,1.0,True
14,mid,10325,17805.28,18421.7669,0.9665,0.9618,0.9117,0.9661,0.9661,-3.8533,-6.1696,2.3163,1.0,True
15,clear_peak,13720,35240.43,36647.5593,0.9616,0.959,0.9321,0.9614,0.9614,-7.9786,-10.3296,2.3509,1.0,True
15,low,3751,3886.48,2430.5447,1.599,1.353,0.7895,1.5472,1.2,-7.9786,-10.3296,2.3509,1.0,True
15,mid,14747,21867.83,22545.0811,0.97,0.9618,0.9365,0.9694,0.9694,-7.9786,-10.3296,2.3509,1.0,True
16,clear_peak,5411,10731.0,11538.4034,0.93,0.959,0.844,0.9345,0.9345,-11.6764,-15.1379,3.4616,1.0,True
16,low,4956,3049.83,1807.6457,1.6872,1.353,0.8321,1.6311,1.2,-11.6764,-15.1379,3.4616,1.0,True
16,mid,21857,26149.5,27310.4777,0.9575,0.9618,0.9562,0.9577,0.9577,-11.6764,-15.1379,3.4616,1.0,True
17,low,8646,2469.63,1951.0925,1.2658,1.353,0.8963,1.2748,1.2,-9.0929,-13.9754,4.8826,1.0,True
17,mid,20040,17331.26,18672.5963,0.9282,0.9618,0.9525,0.9298,0.9298,-9.0929,-13.9754,4.8826,1.0,True
17,night,3541,304.31,14.13,21.5364,0.5302,0.7798,16.9105,1.2,-9.0929,-13.9754,4.8826,1.0,True
18,low,9995,2392.36,2095.252,1.1418,1.353,0.909,1.161,1.161,-6.7155,-8.325,1.6095,1.0,True
18,mid,10327,4425.24,4931.9814,0.8973,0.9618,0.9117,0.9029,0.9029,-6.7155,-8.325,1.6095,1.0,True
18,night,11905,868.92,1453.1432,0.598,0.5302,0.9225,0.5927,0.85,-6.7155,-8.325,1.6095,1.0,True
19,low,8097,1046.06,822.1458,1.2724,1.353,0.8901,1.2812,1.2,1.6345,5.4837,3.8493,1.0,True
19,night,24130,1603.05,2743.8608,0.5842,0.5302,0.9602,0.5821,0.85,1.6345,5.4837,3.8493,1.0,True
