hour,candidate,valid_baseline_nrmse,valid_candidate_nrmse,valid_delta_nrmse,valid_baseline_bias,valid_candidate_bias,valid_delta_bias,fallback_applied
0,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
0,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
0,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
1,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
1,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
1,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
2,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
2,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
2,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
3,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
3,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
3,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
4,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
4,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
4,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
5,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
5,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
5,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
6,round60_hour_scene,0.1523,0.151,-0.0013,-56.6334,-47.96,-8.6733,False
6,round60_site,0.1523,0.1523,0.0,-56.6334,-56.6334,0.0,False
6,round60_combined,0.1523,0.1523,0.0,-56.6334,-56.6334,0.0,False
7,round60_hour_scene,0.1605,0.1622,0.0018,-13.4944,-9.8228,-3.6716,False
7,round60_site,0.1605,0.1605,0.0,-13.4944,-13.4944,0.0,False
7,round60_combined,0.1605,0.1605,0.0,-13.4944,-13.4944,0.0,False
8,round60_hour_scene,0.2086,0.2086,0.0,-5.5622,-5.5622,0.0,False
8,round60_site,0.2086,0.2082,-0.0004,-5.5622,-6.1846,0.6225,False
8,round60_combined,0.2086,0.2082,-0.0004,-5.5622,-6.1846,0.6225,False
9,round60_hour_scene,0.2917,0.2917,0.0,-3.8024,-3.8024,0.0,False
9,round60_site,0.2917,0.2924,0.0007,-3.8024,-4.1097,0.3073,False
9,round60_combined,0.2917,0.2924,0.0007,-3.8024,-4.1097,0.3073,False
10,round60_hour_scene,0.3356,0.3356,0.0,-2.5607,-2.5607,0.0,False
10,round60_site,0.3356,0.3371,0.0015,-2.5607,-2.4813,-0.0794,False
10,round60_combined,0.3356,0.3371,0.0015,-2.5607,-2.4813,-0.0794,False
11,round60_hour_scene,0.36,0.36,0.0,-0.5706,-0.5706,0.0,False
11,round60_site,0.36,0.3607,0.0007,-0.5706,-0.3027,-0.2679,False
11,round60_combined,0.36,0.3607,0.0007,-0.5706,-0.3027,-0.2679,False
12,round60_hour_scene,0.3705,0.3705,0.0,0.5083,0.5083,0.0,False
12,round60_site,0.3705,0.3705,0.0,0.5083,0.8225,0.3141,False
12,round60_combined,0.3705,0.3705,0.0,0.5083,0.8225,0.3141,False
13,round60_hour_scene,0.3696,0.3696,0.0,1.7264,1.7264,0.0,False
13,round60_site,0.3696,0.3697,0.0001,1.7264,2.0393,0.3128,False
13,round60_combined,0.3696,0.3697,0.0001,1.7264,2.0393,0.3128,False
14,round60_hour_scene,0.3492,0.3492,0.0,-0.7217,-0.7217,0.0,False
14,round60_site,0.3492,0.3475,-0.0017,-0.7217,-0.5189,-0.2029,False
14,round60_combined,0.3492,0.3475,-0.0017,-0.7217,-0.5189,-0.2029,False
15,round60_hour_scene,0.2997,0.2997,0.0,-5.0565,-5.0565,0.0,False
15,round60_site,0.2997,0.2993,-0.0004,-5.0565,-5.362,0.3054,False
15,round60_combined,0.2997,0.2993,-0.0004,-5.0565,-5.362,0.3054,False
16,round60_hour_scene,0.2431,0.2431,0.0,-9.0158,-9.0158,0.0,False
16,round60_site,0.2431,0.2424,-0.0007,-9.0158,-9.5838,0.568,False
16,round60_combined,0.2431,0.2424,-0.0007,-9.0158,-9.5838,0.568,False
17,round60_hour_scene,0.1486,0.1486,0.0,-6.4926,-6.4926,0.0,False
17,round60_site,0.1486,0.1486,0.0,-6.4926,-6.4926,0.0,False
17,round60_combined,0.1486,0.1486,0.0,-6.4926,-6.4926,0.0,False
18,round60_hour_scene,0.1147,0.1147,0.0,-4.0081,-4.0081,0.0,False
18,round60_site,0.1147,0.1147,0.0,-4.0081,-4.0081,0.0,False
18,round60_combined,0.1147,0.1147,0.0,-4.0081,-4.0081,0.0,False
19,round60_hour_scene,0.146,0.146,0.0,5.1744,5.1744,0.0,False
19,round60_site,0.146,0.146,0.0,5.1744,5.1744,0.0,False
19,round60_combined,0.146,0.146,0.0,5.1744,5.1744,0.0,False
20,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
20,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
20,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
21,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
21,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
21,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
22,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
22,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
22,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
23,round60_hour_scene,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
23,round60_site,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
23,round60_combined,0.0316,0.0316,0.0,38936000000000.01,38936000000000.01,0.0,False
