hour,valid_baseline_sm_nrmse,valid_city_sm_nrmse,valid_sm_nrmse_delta,valid_baseline_city_nrmse,valid_city_city_nrmse,valid_city_nrmse_delta,fallback_applied,fallback_reason
6,4.3096,4.3096,0.0,2.5752,2.5752,0.0,False,
7,7.7843,7.7851,0.0008,3.8946,3.8894,-0.0051,False,
8,12.0913,12.0904,-0.001,3.8601,3.8513,-0.0087,False,
9,16.4337,16.4329,-0.0008,5.2819,5.275,-0.0069,False,
10,19.6935,19.6934,-0.0,6.5572,6.5558,-0.0014,False,
11,21.7585,21.7587,0.0002,7.493,7.4933,0.0004,False,
12,22.6891,22.6889,-0.0003,6.3901,6.3895,-0.0006,False,
13,22.353,22.3519,-0.0011,6.6603,6.6576,-0.0027,False,
14,21.122,21.122,0.0,7.3355,7.3355,-0.0,False,
15,18.0865,18.0844,-0.0021,6.616,6.6065,-0.0095,False,
16,14.5011,14.4963,-0.0048,5.8765,5.8596,-0.0169,False,
17,8.8244,8.8233,-0.0011,3.4291,3.4248,-0.0043,False,
18,4.4643,4.4656,0.0013,1.5457,1.5461,0.0004,False,
19,3.7298,3.728,-0.0017,0.6208,0.6206,-0.0002,False,
