site_id,valid_baseline_nrmse,valid_city_nrmse,valid_nrmse_delta,valid_baseline_bias_abs,valid_city_bias_abs,valid_bias_abs_delta,fallback_applied,fallback_reason
S002,15.5667,15.5665,-0.0001,2.0927,2.0324,-0.0603,False,
S003,21.4815,21.4868,0.0053,191.4818,191.6405,0.1586,False,
S004,15.3099,15.3029,-0.007,21.1755,21.1314,-0.044,False,
S006,10.9735,10.9765,0.003,41.8951,41.9565,0.0614,False,
S007,13.1312,13.1315,0.0002,0.9194,0.8632,-0.0561,False,
S008,16.181,16.1791,-0.002,2.5791,2.5221,-0.0571,False,
S009,20.3113,20.306,-0.0053,27.8263,27.804,-0.0223,False,
S010,11.7489,11.75,0.0011,0.1497,0.2083,0.0585,False,
S011,14.347,14.3469,-0.0001,2.4369,2.3788,-0.0581,False,
S012,9.3088,9.3091,0.0003,2.9256,2.9826,0.0569,False,
S014,12.5788,12.5781,-0.0007,0.0701,0.0147,-0.0554,False,
S016,12.136,12.1354,-0.0006,1.224,1.2808,0.0567,False,
S017,16.6059,16.5991,-0.0067,24.5636,24.5172,-0.0464,False,
S018,14.4743,14.4742,-0.0,1.999,2.0565,0.0575,False,
S019,32.3705,32.3727,0.0022,5.7279,5.6716,-0.0563,False,
S020,27.3015,27.2967,-0.0048,54.117,54.0964,-0.0206,False,
S021,33.0647,33.0595,-0.0053,58.3642,58.3374,-0.0268,False,
S022,15.0874,15.0813,-0.0061,19.7372,19.69,-0.0471,False,
S023,9.3346,9.3361,0.0015,0.6325,0.6888,0.0563,False,
S024,11.9495,11.9496,0.0,0.207,0.2639,0.0569,False,
S025,12.1059,12.1071,0.0013,3.3839,3.4428,0.0589,False,
S028,17.1554,17.1482,-0.0072,21.4625,21.4152,-0.0473,False,
S030,11.6248,11.6246,-0.0002,0.249,0.1921,-0.0569,False,
S031,10.4863,10.4866,0.0003,0.557,0.4972,-0.0598,False,
S032,29.0088,29.0061,-0.0027,66.5384,66.5292,-0.0093,False,
S033,17.8384,17.8312,-0.0072,17.8233,17.7775,-0.0458,False,
S034,14.3373,14.3358,-0.0015,2.3951,2.3394,-0.0557,False,
S035,14.4542,14.4543,0.0002,2.9683,3.028,0.0597,False,
S037,26.3378,26.3491,0.0114,113098564587981.81,113168216271256.42,69651683274.6094,True,bias_abs_delta=+69651683274.609pp
S038,17.2061,17.2065,0.0004,2.9992,2.9444,-0.0548,False,
S039,15.8021,15.7976,-0.0044,23.2481,23.2008,-0.0473,False,
S040,13.6221,13.6195,-0.0027,3.4414,3.3866,-0.0548,False,
S041,16.0264,16.022,-0.0044,15.895,15.8469,-0.0481,False,
S042,15.4424,15.4413,-0.0011,1.111,1.0542,-0.0568,False,
S044,25.2478,25.2578,0.0099,150502288367017.06,150588972004318.12,86683637301.0625,True,bias_abs_delta=+86683637301.062pp
S045,26.2384,26.2432,0.0048,88.5702,88.6788,0.1086,False,
S046,26.3573,26.353,-0.0043,35.7428,35.7218,-0.021,False,
S047,13.4315,13.4308,-0.0008,4.5918,4.6514,0.0596,False,
S048,14.5945,14.5926,-0.0019,0.568,0.5147,-0.0533,False,
S049,9.7139,9.7141,0.0002,0.885,0.9428,0.0578,False,
S050,13.2481,13.2434,-0.0047,24.1395,24.0941,-0.0453,False,
S051,10.7701,10.7709,0.0007,1.2503,1.3034,0.0531,False,
S052,16.2607,16.2618,0.001,2.1212,2.0651,-0.0561,False,
S053,17.9638,17.9634,-0.0004,13.167,13.1031,-0.0639,False,
S054,10.9811,10.9816,0.0004,2.4355,2.4935,0.058,False,
S055,18.6533,18.6539,0.0007,6.7837,6.8359,0.0522,False,
S056,11.0571,11.0563,-0.0008,1.4848,1.4253,-0.0595,False,
S058,13.4727,13.4712,-0.0015,0.0471,0.1054,0.0583,False,
S059,10.8172,10.8177,0.0006,0.4108,0.3517,-0.0591,False,
S060,16.3324,16.323,-0.0093,22.813,22.7725,-0.0406,False,
S061,17.2473,17.2407,-0.0066,19.8561,19.8105,-0.0456,False,
S062,10.1263,10.1262,-0.0001,1.4038,1.4626,0.0588,False,
S063,18.0014,18.0011,-0.0003,1.6281,1.5704,-0.0577,False,
S064,11.7124,11.7122,-0.0002,0.01,0.0477,0.0377,False,
S065,14.3412,14.3411,-0.0001,0.8475,0.7914,-0.0561,False,
S066,17.8592,17.8549,-0.0043,19.4033,19.3775,-0.0258,False,
S068,11.3481,11.3498,0.0017,0.9507,0.8929,-0.0578,False,
S069,24.177,24.1875,0.0105,51346357477318.15,51377562189056.0,31204711737.8516,True,bias_abs_delta=+31204711737.852pp
S070,10.0652,10.0645,-0.0007,0.3134,0.2549,-0.0585,False,
S071,8.0834,8.0841,0.0007,16.4967,16.4404,-0.0563,False,
S072,13.9631,13.9603,-0.0027,0.932,0.9898,0.0578,False,
S073,11.2823,11.282,-0.0003,1.4132,1.4725,0.0593,False,
S074,16.6366,16.6289,-0.0078,20.2845,20.2384,-0.0462,False,
S075,14.6889,14.682,-0.0069,20.686,20.6411,-0.0449,False,
S076,23.6664,23.6669,0.0004,3.9373,3.9968,0.0595,False,
S077,21.234,21.2421,0.0081,818.9188,819.4574,0.5386,False,
S115,13.4828,13.484,0.0012,0.2381,0.2919,0.0537,False,
S116,12.4343,12.4342,-0.0001,0.6665,0.6103,-0.0563,False,
