station_id,capacity_mw,capacity_bucket,n,actual_sum,pred_sum,raw_factor,group_factor,shrinkage_weight,final_factor,factor_clipped,status,apply_hours
S002,3.3,medium,1113,1420.32,1237.4327,1.1478,1.0301,0.2706,1.0619,1.0619,ok,8-16
S004,3.97,medium,1163,2038.32,1689.2252,1.2067,1.0301,0.2794,1.0794,1.0794,ok,8-16
S006,5.0,medium,1125,857.73,915.9753,0.9364,1.0301,0.2727,1.0045,1.0045,ok,8-16
S007,22.0,large,8766,83483.63,87101.0635,0.9585,0.9491,0.745,0.9561,0.9561,ok,8-16
S008,3.172,medium,1373,2551.69,2798.3344,0.9119,1.0301,0.314,0.993,0.993,ok,8-16
S009,5.25,medium,2834,5377.41,4631.2207,1.1611,1.0301,0.4858,1.0937,1.0937,ok,8-16
S010,2.0,small,8766,6085.61,6047.2729,1.0063,0.9793,0.745,0.9995,0.9995,ok,8-16
S011,2.323,small,8766,6432.77,6827.9765,0.9421,0.9793,0.745,0.9516,0.9516,ok,8-16
S012,17.55,large,1109,4775.07,4952.7502,0.9641,0.9491,0.2699,0.9532,0.9532,ok,8-16
S014,5.1,medium,1114,2283.66,2215.5974,1.0307,1.0301,0.2708,1.0302,1.0302,ok,8-16
S016,8.5,medium,1116,4036.59,3883.9429,1.0393,1.0301,0.2711,1.0326,1.0326,ok,8-16
S017,0.954,small,8766,1198.4,2400.8818,0.4991,0.9793,0.745,0.6216,0.85,ok,8-16
S018,5.1,medium,4939,9889.93,9205.9283,1.0743,1.0301,0.6221,1.0576,1.0576,ok,8-16
S019,3.0,medium,8766,11496.38,12839.1269,0.8954,1.0301,0.745,0.9297,0.9297,ok,8-16
S020,3.8,medium,2232,3297.05,1993.5818,1.6538,1.0301,0.4266,1.2962,1.2,ok,8-16
S021,2.2,small,1297,1133.25,482.0404,2.3509,0.9793,0.3018,1.3933,1.2,ok,8-16
S022,3.24,medium,8766,6504.45,7694.4671,0.8453,1.0301,0.745,0.8924,0.8924,ok,8-16
S023,16.37,large,8766,39343.44,38768.5332,1.0148,0.9491,0.745,0.9981,0.9981,ok,8-16
S024,5.99,medium,6895,12876.32,13574.0868,0.9486,1.0301,0.6968,0.9733,0.9733,ok,8-16
S025,5.65,medium,4275,8557.44,7932.7625,1.0787,1.0301,0.5876,1.0587,1.0587,ok,8-16
S028,3.14,medium,2834,3648.89,3385.5993,1.0778,1.0301,0.4858,1.0532,1.0532,ok,8-16
S030,2.9,small,8766,9565.81,9519.5426,1.0049,0.9793,0.745,0.9984,0.9984,ok,8-16
S031,0.9222,small,8766,2411.84,2497.3293,0.9658,0.9793,0.745,0.9692,0.9692,ok,8-16
S032,9.335,medium,5652,9623.41,6628.7267,1.4518,1.0301,0.6533,1.3055,1.2,ok,8-16
S033,5.688,medium,1550,4645.12,4244.5027,1.0944,1.0301,0.3407,1.052,1.052,ok,8-16
S034,3.496,medium,908,1471.94,1528.8415,0.9628,1.0301,0.2323,1.0144,1.0144,ok,8-16
S035,5.296,medium,6345,11540.62,10847.5076,1.0639,1.0301,0.679,1.053,1.053,ok,8-16
S037,5.946,medium,1126,3.0,1108.0281,,1.0301,0.2729,1.0301,1.0301,used_group_factor,8-16
S038,1.672,small,1114,937.25,1036.4986,0.9042,0.9793,0.2708,0.959,0.959,ok,8-16
S039,3.45,medium,1109,1444.32,1185.1102,1.2187,1.0301,0.2699,1.081,1.081,ok,8-16
S040,5.96,medium,1287,3476.13,3900.6303,0.8912,1.0301,0.3002,0.9884,0.9884,ok,8-16
S041,2.2,small,5499,5841.78,5250.0008,1.1127,0.9793,0.647,1.0656,1.0656,ok,8-16
S042,3.724,medium,2540,3850.3,4204.8783,0.9157,1.0301,0.4585,0.9776,0.9776,ok,8-16
S045,2.915,small,1514,1456.4,1532.3124,0.9505,0.9793,0.3354,0.9697,0.9697,ok,8-16
S046,4.25,medium,2323,3906.38,2805.0969,1.3926,1.0301,0.4364,1.1883,1.1883,ok,8-16
S047,4.8,medium,7515,11271.61,9235.4844,1.2205,1.0301,0.7147,1.1661,1.1661,ok,8-16
S048,4.0,medium,1113,1222.29,1393.9959,0.8768,1.0301,0.2706,0.9886,0.9886,ok,8-16
S049,14.1,large,8766,34004.07,33055.4363,1.0287,0.9491,0.745,1.0084,1.0084,ok,8-16
S050,2.55,small,1109,999.11,799.5074,1.2497,0.9793,0.2699,1.0523,1.0523,ok,8-16
S051,5.025,medium,1114,1888.27,1716.287,1.1002,1.0301,0.2708,1.0491,1.0491,ok,8-16
S052,6.08,medium,3393,5292.91,6182.1474,0.8562,1.0301,0.5307,0.9378,0.9378,ok,8-16
S053,13.33,large,8766,35873.58,44331.2538,0.8092,0.9491,0.745,0.8449,0.85,ok,8-16
S054,11.272,large,2053,6687.27,6649.93,1.0056,0.9491,0.4063,0.9721,0.9721,ok,8-16
S055,4.0,medium,1109,506.71,573.8224,0.883,1.0301,0.2699,0.9904,0.9904,ok,8-16
S056,3.15,medium,1163,1302.76,1256.7289,1.0366,1.0301,0.2794,1.0319,1.0319,ok,8-16
S058,5.99,medium,8766,14778.18,14972.0436,0.9871,1.0301,0.745,0.998,0.998,ok,8-16
S059,2.0,small,8766,5187.19,5484.4322,0.9458,0.9793,0.745,0.9544,0.9544,ok,8-16
S060,5.84,medium,1206,3322.53,2807.6138,1.1834,1.0301,0.2867,1.074,1.074,ok,8-16
S061,3.784,medium,1163,1832.54,1577.4259,1.1617,1.0301,0.2794,1.0668,1.0668,ok,8-16
S062,4.4537,medium,8766,10252.21,10443.5698,0.9817,1.0301,0.745,0.994,0.994,ok,8-16
S063,3.66,medium,1112,1856.01,1978.6634,0.938,1.0301,0.2704,1.0052,1.0052,ok,8-16
S064,3.288,medium,8766,8950.52,8995.4671,0.995,1.0301,0.745,1.0039,1.0039,ok,8-16
S065,1.9239,small,8766,7149.46,7655.8782,0.9339,0.9793,0.745,0.9455,0.9455,ok,8-16
S066,5.45,medium,3681,7381.98,6532.4303,1.1301,1.0301,0.551,1.0852,1.0852,ok,8-16
S068,1.223,small,8766,3484.32,3748.6195,0.9295,0.9793,0.745,0.9422,0.9422,ok,8-16
S070,2.1,small,8766,5577.26,5683.6115,0.9813,0.9793,0.745,0.9808,0.9808,ok,8-16
S071,20.0,large,8766,28158.47,36868.7851,0.7637,0.9491,0.745,0.811,0.85,ok,8-16
S072,3.125,medium,6345,9267.86,8988.1227,1.0311,1.0301,0.679,1.0308,1.0308,ok,8-16
S073,15.0,large,5631,22941.28,21770.1616,1.0538,0.9491,0.6524,1.0174,1.0174,ok,8-16
S074,4.0,medium,2171,4075.79,3712.8385,1.0978,1.0301,0.4198,1.0585,1.0585,ok,8-16
S075,2.63,small,1516,1779.85,1524.1579,1.1678,0.9793,0.3357,1.0426,1.0426,ok,8-16
S115,7.0,medium,8766,26557.07,27185.3018,0.9769,1.0301,0.745,0.9904,0.9904,ok,8-16
S116,22.0,large,8766,84512.92,84488.0448,1.0003,0.9491,0.745,0.9873,0.9873,ok,8-16
