station_id,station_name,capacity_mw,rows,positive_rows,zero_ratio_6_19,actual_sum_mwh_like,pred_sum_mwh_like,pred_actual_ratio,bias_percent,mae_mw,rmse_mw,nrmse_percent,pred_zero_ratio_6_19,actual_max_mw,pred_max_mw,max_power_ratio,has_geo_ratio,geo_confidence,scene_night_ratio_6_19,scene_low_ratio,scene_mid_ratio,scene_clear_peak_ratio,g_blend_non_null_ratio,g_blend_zero_ratio,risk_flags
S002,华筑泰宝光伏电站,3.3,1708,1415,0.1715,1081.66,760.582,0.7032,-29.6838,0.3105,0.4719,14.3005,0.3214,2.8,1.8366,0.6559,1.0,,0.2324,0.2324,0.4233,0.1118,0.9994,0.0006,high_bias|under_prediction|daytime_scene_night
S003,京运通西湖光伏电站,4.1667,1708,0,1.0,0.0,706.1496,,,0.4134,0.563,13.5108,0.0357,0.0,1.6162,0.0,1.0,,0.2324,0.2348,0.4221,0.1107,0.9994,0.0006,high_actual_zero_ratio|daytime_scene_night
S004,旭樱东堡光伏电站,3.97,1708,1184,0.3068,982.27,1066.6247,1.0859,8.5877,0.2015,0.3387,8.5326,0.4251,3.25,2.3499,0.7231,1.0,,0.2324,0.2324,0.4227,0.1124,0.9994,0.0006,daytime_scene_night
S006,沐恒石湖光伏电站,5.0,1708,922,0.4602,444.33,801.1572,1.8031,80.3068,0.2476,0.4357,8.7137,0.3197,1.49,2.1145,1.4191,1.0,,0.2319,0.2354,0.4221,0.1107,0.9994,0.0006,high_bias|over_prediction|capacity_or_power_outlier|daytime_scene_night
S007,林洋朝阳光伏电站,22.0,1708,1276,0.2529,7950.52,8500.2754,1.0691,6.9147,1.2749,2.1652,9.8416,0.3208,18.14,17.4167,0.9601,1.0,,0.2319,0.233,0.4221,0.113,0.9994,0.0006,daytime_scene_night
S008,协鑫盛昌光伏电站,3.172,1708,1319,0.2278,1118.39,1282.1859,1.1465,14.6457,0.2225,0.334,10.5289,0.0369,3.17,2.5199,0.7949,1.0,,0.2313,0.2371,0.4221,0.1095,0.9994,0.0006,daytime_scene_night
S009,华电金叶光伏电站,5.25,1708,1312,0.2319,1441.68,1164.3723,0.8076,-19.235,0.5204,0.7634,14.5419,0.0375,4.47,3.9102,0.8748,1.0,,0.2324,0.7676,0.0,0.0,0.0,1.0,irradiance_zero_or_missing|daytime_scene_night
S010,易睐珂浦南光伏发电站,2.0,1708,1421,0.168,504.46,589.9086,1.1694,16.9386,0.1004,0.1459,7.2936,0.0369,1.52,1.3243,0.8712,1.0,,0.2319,0.2359,0.418,0.1142,0.9994,0.0006,daytime_scene_night
S011,中森西苑光伏电站,2.323,1708,1286,0.2471,554.57,652.3404,1.1763,17.6299,0.1266,0.1932,8.3177,0.0369,1.84,1.4302,0.7773,1.0,,0.2307,0.2412,0.4186,0.1095,0.9994,0.0006,daytime_scene_night
S012,泰富如意情光伏电站,17.55,1708,1402,0.1792,1572.74,4054.6509,2.5781,157.8081,1.8217,2.8795,16.4076,0.3197,10.24,8.6635,0.846,1.0,,0.2319,0.2354,0.4221,0.1107,0.9994,0.0006,high_bias|over_prediction|daytime_scene_night
S014,鲲鹏昇昌光伏电站,5.1,1708,1261,0.2617,1127.35,1361.8421,1.208,20.8003,0.2849,0.4594,9.0076,0.3226,3.7,2.974,0.8038,1.0,,0.2301,0.2295,0.4315,0.1089,0.9994,0.0006,high_bias|daytime_scene_night
S016,衡航亚新光伏电站,8.5,1708,1062,0.3782,2003.37,2320.0053,1.1581,15.8051,0.4384,0.663,7.7994,0.0381,6.04,4.7384,0.7845,1.0,,0.2301,0.2319,0.4297,0.1083,0.9994,0.0006,daytime_scene_night
S017,富云四队光伏电站,0.954,1708,1288,0.2459,133.2,221.3382,1.6617,66.1698,0.0824,0.1071,11.2308,0.0,0.56,0.5208,0.93,1.0,,0.2307,0.2342,0.4256,0.1095,0.9994,0.0006,high_bias|over_prediction|daytime_scene_night
S018,国能百菇源光伏电站,5.1,1708,1261,0.2617,1352.64,1479.894,1.0941,9.4078,0.261,0.4114,8.0668,0.0375,4.09,3.1087,0.7601,1.0,,0.2313,0.2319,0.4239,0.113,0.9994,0.0006,daytime_scene_night
S019,首耀新海光伏电站,3.0,1708,1357,0.2055,1877.38,1358.2724,0.7235,-27.6506,0.5603,0.9129,30.4289,0.0369,2.8,2.5383,0.9065,1.0,,0.2307,0.2359,0.4198,0.1136,0.9994,0.0006,high_nrmse|high_bias|under_prediction|daytime_scene_night
S020,国能赫睿光伏电站,3.8,1708,1255,0.2652,986.63,622.2367,0.6307,-36.9331,0.4146,0.5881,15.4758,0.0375,2.88,2.8311,0.983,1.0,,0.2324,0.7676,0.0,0.0,0.0,1.0,high_bias|under_prediction|irradiance_zero_or_missing|daytime_scene_night
S021,国能鑫江源光伏电站,2.2,1708,1205,0.2945,677.14,487.9104,0.7205,-27.9454,0.3077,0.4126,18.7525,0.0375,2.17,0.4586,0.2113,1.0,,0.2324,0.7676,0.0,0.0,0.0,1.0,high_bias|under_prediction|irradiance_zero_or_missing|daytime_scene_night
S022,浦西光伏电站,3.24,1708,1313,0.2313,1044.7,862.6848,0.8258,-17.4227,0.2451,0.349,10.7702,0.0369,2.98,1.7133,0.5749,1.0,,0.2319,0.2359,0.4174,0.1148,0.9994,0.0006,daytime_scene_night
S023,连洋徐圩光伏发电站,16.37,1708,1235,0.2769,3464.1,3531.4319,1.0194,1.9437,0.6372,0.9982,6.0975,0.0375,10.04,8.474,0.844,1.0,,0.2307,0.2289,0.428,0.1124,0.9994,0.0006,daytime_scene_night
S024,兴怡紧固件光伏电站,5.99,1708,1260,0.2623,1349.51,1607.983,1.1915,19.1531,0.3112,0.469,7.83,0.0369,4.25,3.645,0.8576,1.0,,0.2324,0.2348,0.4204,0.1124,0.9994,0.0006,daytime_scene_night
S025,夏源银得隆光伏电站,5.65,1708,1241,0.2734,1573.0,1509.0864,0.9594,-4.0632,0.3024,0.4447,7.8716,0.0369,4.51,3.0755,0.6819,1.0,,0.2301,0.2441,0.418,0.1077,0.9994,0.0006,daytime_scene_night
S028,华能星耀光伏电站,3.14,1708,1238,0.2752,997.39,1014.3132,1.017,1.6968,0.2202,0.3247,10.3411,0.0,2.98,2.2231,0.746,1.0,,0.2307,0.2412,0.4186,0.1095,0.9994,0.0006,daytime_scene_night
S030,中森侍庄光伏发电站,2.9,1708,1253,0.2664,924.57,1062.8416,1.1496,14.9552,0.1833,0.2725,9.3978,0.0369,2.38,2.1378,0.8982,1.0,,0.2307,0.2418,0.418,0.1095,0.9994,0.0006,daytime_scene_night
S031,富云杨集光伏电站,0.9222,1708,1134,0.3361,185.22,228.0167,1.2311,23.1058,0.0448,0.0642,6.9664,0.0375,0.63,0.5346,0.8486,1.0,,0.2301,0.2365,0.4245,0.1089,0.9994,0.0006,high_bias|daytime_scene_night
