priority_rank,station_id,station_name,capacity_mw,nrmse_percent,bias_percent,pred_actual_ratio,zero_ratio_6_19,main_bad_hours,main_risk_flags,recommended_next_action
1,S053,鹰游新立成光伏发电站,13.33,24.4977,-34.1394,0.6586,0.0269,,high_nrmse|high_bias|under_prediction,建议检查容量映射或功率异常
2,S012,泰富如意情光伏电站,17.55,16.4076,157.8081,2.5781,0.1792,,high_bias|over_prediction|daytime_scene_night,建议检查是否存在系统性高估，考虑站点级 bias 校准
3,S071,协鑫南岗光伏发电站,20.0,13.3968,-31.4187,0.6858,0.1247,,high_bias|under_prediction|daytime_scene_night,建议检查是否存在系统性低估，考虑站点级 bias 校准
4,S007,林洋朝阳光伏电站,22.0,9.8416,6.9147,1.0691,0.2529,,daytime_scene_night,暂不需要模型修正，持续监控
5,S116,林洋伊山光伏发电站,22.0,9.4768,0.6322,1.0063,0.219,,low_confidence_geo|daytime_scene_night,建议更新 S116 精确坐标（confidence=low）
6,S032,华能中林光伏电站,9.335,20.3974,-73.4574,0.2654,0.2605,,high_nrmse|high_bias|under_prediction,建议检查辐照特征链路
7,S073,华能裕灌光伏电站,15.0,9.7717,-21.8138,0.7819,0.2196,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
8,S115,鑫众墩尚光伏发电站,7.0,17.6378,4.1065,1.0411,0.3384,,daytime_scene_night,暂不需要模型修正，持续监控
9,S023,连洋徐圩光伏发电站,16.37,6.0975,1.9437,1.0194,0.2769,,daytime_scene_night,暂不需要模型修正，持续监控
10,S019,首耀新海光伏电站,3.0,30.4289,-27.6506,0.7235,0.2055,,high_nrmse|high_bias|under_prediction,建议检查是否存在系统性低估，考虑站点级 bias 校准
11,S049,华能灌云光伏发电站,14.1,6.4051,-2.3231,0.9768,0.2752,,daytime_scene_night,暂不需要模型修正，持续监控
12,S054,鸿天伍江光伏电站,11.272,7.3939,10.9974,1.11,0.2699,,daytime_scene_night,暂不需要模型修正，持续监控
13,S037,华能中林三期光伏电站,5.946,13.5068,5.8709,1.0587,0.5556,,high_actual_zero_ratio|daytime_scene_night,建议核实功率数据是否存在长期限电或遮挡
14,S066,科来恩润石光伏电站,5.45,14.5461,-20.5429,0.7946,0.25,,high_bias|irradiance_zero_or_missing|daytime_scene_night,建议检查辐照特征链路
15,S009,华电金叶光伏电站,5.25,14.5419,-19.235,0.8076,0.2319,,irradiance_zero_or_missing|daytime_scene_night,建议检查辐照特征链路
16,S046,国能新易春光伏电站,4.25,17.5241,-37.9397,0.6206,0.2365,,high_bias|under_prediction|irradiance_zero_or_missing,建议检查辐照特征链路
17,S016,衡航亚新光伏电站,8.5,7.7994,15.8051,1.1581,0.3782,,daytime_scene_night,暂不需要模型修正，持续监控
18,S052,鹰游新立成二期光伏电站,6.08,10.7726,-21.2603,0.7874,0.2447,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
19,S020,国能赫睿光伏电站,3.8,15.4758,-36.9331,0.6307,0.2652,,high_bias|under_prediction|irradiance_zero_or_missing,建议检查辐照特征链路
20,S040,华电苏班光伏电站,5.96,9.7922,13.3481,1.1335,0.26,,daytime_scene_night,暂不需要模型修正，持续监控
21,S058,远途大浦光伏电站,5.99,9.5604,-8.4382,0.9156,0.2412,,daytime_scene_night,暂不需要模型修正，持续监控
22,S060,华电蒙然源光伏电站,5.84,9.6295,5.5355,1.0554,0.2676,,daytime_scene_night,暂不需要模型修正，持续监控
23,S051,鲲鹏德宇光伏电站,5.025,10.6645,17.0617,1.1706,0.2588,,daytime_scene_night,暂不需要模型修正，持续监控
24,S033,天瀚万发光伏电站,5.688,9.2184,1.9408,1.0194,0.2518,,daytime_scene_night,暂不需要模型修正，持续监控
25,S045,华能华兴光伏电站,2.915,17.8386,421.7666,5.2177,0.9063,,high_bias|over_prediction|high_actual_zero_ratio,建议核实功率数据是否存在长期限电或遮挡
26,S002,华筑泰宝光伏电站,3.3,14.3005,-29.6838,0.7032,0.1715,,high_bias|under_prediction|daytime_scene_night,建议检查是否存在系统性低估，考虑站点级 bias 校准
27,S024,兴怡紧固件光伏电站,5.99,7.83,19.1531,1.1915,0.2623,,daytime_scene_night,暂不需要模型修正，持续监控
28,S014,鲲鹏昇昌光伏电站,5.1,9.0076,20.8003,1.208,0.2617,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
29,S055,沐恒曲阳光伏电站,4.0,11.3707,9.9161,1.0992,0.12,,daytime_scene_night,暂不需要模型修正，持续监控
30,S025,夏源银得隆光伏电站,5.65,7.8716,-4.0632,0.9594,0.2734,,daytime_scene_night,暂不需要模型修正，持续监控
31,S035,国能品品鲜光伏电站,5.296,8.3589,4.9985,1.05,0.2477,,daytime_scene_night,暂不需要模型修正，持续监控
32,S006,沐恒石湖光伏电站,5.0,8.7137,80.3068,1.8031,0.4602,,high_bias|over_prediction|capacity_or_power_outlier,建议检查容量映射或功率异常
33,S021,国能鑫江源光伏电站,2.2,18.7525,-27.9454,0.7205,0.2945,,high_bias|under_prediction|irradiance_zero_or_missing,建议检查辐照特征链路
34,S018,国能百菇源光伏电站,5.1,8.0668,9.4078,1.0941,0.2617,,daytime_scene_night,暂不需要模型修正，持续监控
35,S034,建魄俊达光伏电站,3.496,11.198,21.0616,1.2106,0.373,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
36,S063,铭信润海光伏电站,3.66,10.4897,12.0725,1.1207,0.3659,,daytime_scene_night,暂不需要模型修正，持续监控
37,S072,交控大浦光伏电站,3.125,11.8833,-7.5334,0.9247,0.2494,,daytime_scene_night,暂不需要模型修正，持续监控
38,S047,汇九齿轮光伏发电站,4.8,7.5607,-11.3163,0.8868,0.2799,,daytime_scene_night,暂不需要模型修正，持续监控
39,S050,沐恒东海产业园光伏电站,2.55,14.1835,48.0341,1.4803,0.1569,,high_bias|over_prediction|daytime_scene_night,建议检查是否存在系统性高估，考虑站点级 bias 校准
40,S042,国能联合动力光伏电站,3.724,9.5125,19.6996,1.197,0.2734,,daytime_scene_night,暂不需要模型修正，持续监控
41,S074,华能中林二期光伏电站,4.0,8.8023,4.7408,1.0474,0.25,,daytime_scene_night,暂不需要模型修正，持续监控
42,S022,浦西光伏电站,3.24,10.7702,-17.4227,0.8258,0.2313,,daytime_scene_night,暂不需要模型修正，持续监控
43,S061,嘉伏黎明光伏电站,3.784,9.1542,-2.0027,0.98,0.2523,,daytime_scene_night,暂不需要模型修正，持续监控
44,S004,旭樱东堡光伏电站,3.97,8.5326,8.5877,1.0859,0.3068,,daytime_scene_night,暂不需要模型修正，持续监控
45,S008,协鑫盛昌光伏电站,3.172,10.5289,14.6457,1.1465,0.2278,,daytime_scene_night,暂不需要模型修正，持续监控
46,S028,华能星耀光伏电站,3.14,10.3411,1.6968,1.017,0.2752,,daytime_scene_night,暂不需要模型修正，持续监控
47,S048,卓贵光之明光伏电站,4.0,7.6738,7.9505,1.0795,0.339,,daytime_scene_night,暂不需要模型修正，持续监控
48,S039,沐恒腾东光伏电站,3.45,8.8943,30.5547,1.3055,0.2588,,high_bias|over_prediction|daytime_scene_night,建议检查是否存在系统性高估，考虑站点级 bias 校准
49,S059,首耀清墩光伏电站,2.0,13.8285,-23.4549,0.7655,0.0181,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
50,S030,中森侍庄光伏发电站,2.9,9.3978,14.9552,1.1496,0.2664,,daytime_scene_night,暂不需要模型修正，持续监控
51,S041,交控赣榆南光伏电站,2.2,11.4829,4.7194,1.0472,0.2641,,daytime_scene_night,暂不需要模型修正，持续监控
52,S062,韩华大浦光伏电站,4.4537,5.5442,13.3432,1.1334,0.2863,,daytime_scene_night,暂不需要模型修正，持续监控
53,S056,昱中科技光伏电站,3.15,7.7999,16.8575,1.1686,0.3279,,daytime_scene_night,暂不需要模型修正，持续监控
54,S064,昱瑞青口光伏发电站,3.288,7.4688,23.7096,1.2371,0.3355,,high_bias|daytime_scene_night,偏差较大，建议分析偏差来源（数据/特征/模型）
55,S075,旭樱新田光伏电站,2.63,8.7841,0.5188,1.0052,0.25,,daytime_scene_night,暂不需要模型修正，持续监控
56,S065,中盛石榴光伏电站,1.9239,10.5702,15.9117,1.1591,0.1727,,daytime_scene_night,暂不需要模型修正，持续监控
57,S011,中森西苑光伏电站,2.323,8.3177,17.6299,1.1763,0.2471,,daytime_scene_night,暂不需要模型修正，持续监控
58,S038,衡诚天晴光伏电站,1.672,10.8707,11.7633,1.1176,0.284,,daytime_scene_night,暂不需要模型修正，持续监控
59,S070,旭日虎山光伏发电站,2.1,7.4279,19.3813,1.1938,0.2904,,daytime_scene_night,暂不需要模型修正，持续监控
60,S010,易睐珂浦南光伏发电站,2.0,7.2936,16.9386,1.1694,0.168,,daytime_scene_night,暂不需要模型修正，持续监控
61,S017,富云四队光伏电站,0.954,11.2308,66.1698,1.6617,0.2459,,high_bias|over_prediction|daytime_scene_night,建议检查是否存在系统性高估，考虑站点级 bias 校准
62,S068,富云下车光伏电站,1.223,7.9177,16.5228,1.1652,0.2799,,daytime_scene_night,暂不需要模型修正，持续监控
