site_id,split,pred_col,n_matched,max_diff,mean_diff
S002,train,power_pred_cal,863,4.993168129718839e-05,2.0102614790000794e-05
S002,valid,power_pred_final,868,4.999779834077844e-05,2.459524414900166e-05
S002,test,power_pred_final,1708,4.990518950576117e-05,1.8487763123442125e-05
S003,train,power_pred_cal,9362,4.99961156615325e-05,1.7070869162601908e-05
S003,valid,power_pred_final,868,4.9977923318511586e-05,2.4365689345580074e-05
S003,test,power_pred_final,1708,4.994977820860225e-05,1.8737004541856922e-05
S004,train,power_pred_cal,943,4.9957981584025646e-05,1.9991648808843327e-05
S004,valid,power_pred_final,868,4.998480157947238e-05,2.3464690435533457e-05
S004,test,power_pred_final,1708,4.99559269476757e-05,1.8677821198352243e-05
S006,train,power_pred_cal,885,4.9967301077286086e-05,1.969992761230693e-05
S006,valid,power_pred_final,868,4.997080891655514e-05,2.3984615251727494e-05
S006,test,power_pred_final,1708,4.991751010036127e-05,1.8342677928877306e-05
S007,train,power_pred_cal,12768,4.9998136126383486e-05,1.7365997512150904e-05
S007,valid,power_pred_final,868,4.994699338567443e-05,2.4055743472758556e-05
S007,test,power_pred_final,1708,4.999275710002027e-05,1.865709710129695e-05
S008,train,power_pred_cal,1268,4.9994701574629374e-05,1.9606053912959622e-05
S008,valid,power_pred_final,868,4.9998111280147306e-05,2.214166506992764e-05
S008,test,power_pred_final,1708,4.997872453627039e-05,1.5693072271844142e-05
S009,train,power_pred_cal,3539,4.9972060509606564e-05,1.6853096671210224e-05
S009,valid,power_pred_final,868,4.999335366262514e-05,2.350189478983396e-05
S009,test,power_pred_final,1708,4.9891552181574594e-05,1.8567985554480166e-05
S010,train,power_pred_cal,12768,4.999205042433008e-05,1.739021485870971e-05
S010,valid,power_pred_final,868,4.970338507537253e-05,2.3801428222054128e-05
S010,test,power_pred_final,1708,4.998618573595626e-05,1.8353706050691032e-05
S011,train,power_pred_cal,12768,4.9994075388526404e-05,1.7209449308498828e-05
S011,valid,power_pred_final,868,4.994227851695676e-05,2.348477651380978e-05
S011,test,power_pred_final,1708,4.998998970590085e-05,1.8743533069875866e-05
S012,train,power_pred_cal,859,4.99245468579268e-05,2.0120858848933544e-05
S012,valid,power_pred_final,868,4.996773354321027e-05,2.5106135102167965e-05
S012,test,power_pred_final,1708,4.995239688199149e-05,1.8418338431962026e-05
S014,train,power_pred_cal,864,4.9923591915801424e-05,1.9990255011364503e-05
S014,valid,power_pred_final,868,4.9976943185647826e-05,2.4762390921256884e-05
S014,test,power_pred_final,1708,4.9976280210306534e-05,1.8707479369175667e-05
S016,train,power_pred_cal,868,4.9873317092608005e-05,2.020338257064084e-05
S016,valid,power_pred_final,868,4.997233550874114e-05,2.3630005027066836e-05
S016,test,power_pred_final,1708,4.990318115272174e-05,1.848785592858883e-05
S017,train,power_pred_cal,12768,4.9999263502575886e-05,1.7202596387575245e-05
S017,valid,power_pred_final,868,4.997732737022087e-05,2.4084413445884684e-05
S017,test,power_pred_final,1708,4.996435543511146e-05,1.829305952118494e-05
S018,train,power_pred_cal,6814,4.999820504458796e-05,1.7780810598299373e-05
S018,valid,power_pred_final,868,4.989586183246075e-05,2.480544069352688e-05
S018,test,power_pred_final,1708,4.9992715961622025e-05,1.9048915911131574e-05
S019,train,power_pred_cal,12768,4.999486621026783e-05,1.7389896574820932e-05
S019,valid,power_pred_final,868,4.999229251168025e-05,2.3612502004304866e-05
S019,test,power_pred_final,1708,4.994657548829107e-05,1.8302815486231957e-05
S020,train,power_pred_cal,2604,4.999549192663544e-05,1.7819975276150834e-05
S020,valid,power_pred_final,868,4.9940162614503514e-05,2.3973296081435884e-05
S020,test,power_pred_final,1708,4.998869118200133e-05,1.868035323623239e-05
S021,train,power_pred_cal,1152,4.998764248753673e-05,2.0372552147378895e-05
S021,valid,power_pred_final,868,4.998996713717618e-05,2.3744926531630622e-05
S021,test,power_pred_final,1708,4.9988793072303084e-05,1.875441515402014e-05
S022,train,power_pred_cal,12768,4.9994954369442235e-05,1.7200635291025872e-05
S022,valid,power_pred_final,868,4.9915280480566926e-05,2.3735028473062608e-05
S022,test,power_pred_final,1708,4.999914303971398e-05,1.8451407508161733e-05
S023,train,power_pred_cal,12768,4.9991304166496775e-05,1.717532656229791e-05
S023,valid,power_pred_final,868,4.998191817362496e-05,2.364526571000572e-05
S023,test,power_pred_final,1708,4.998264379396655e-05,1.8577440097634132e-05
S024,train,power_pred_cal,9860,4.9986417253067295e-05,1.696950599693089e-05
S024,valid,power_pred_final,868,4.9916383053322244e-05,2.2999765722530275e-05
S024,test,power_pred_final,1708,4.996612085061969e-05,1.8317970415608267e-05
S025,train,power_pred_cal,5785,4.999654811577159e-05,1.773540112451094e-05
S025,valid,power_pred_final,868,4.9979353272888716e-05,2.4360880021049817e-05
S025,test,power_pred_final,1708,4.99237298342281e-05,1.8654776613224004e-05
S028,train,power_pred_cal,3539,4.999587218468271e-05,1.665913019319369e-05
S028,valid,power_pred_final,868,4.9998139698859134e-05,2.3430457654395027e-05
S028,test,power_pred_final,1708,4.999739787137081e-05,1.841953302583116e-05
S030,train,power_pred_cal,12768,4.997682697871486e-05,1.706727822849375e-05
S030,valid,power_pred_final,868,4.99469286532328e-05,2.34969429076903e-05
S030,test,power_pred_final,1708,4.99799895375963e-05,1.8302225086791052e-05
S031,train,power_pred_cal,12768,4.9999741384906815e-05,1.733024003212863e-05
S031,valid,power_pred_final,868,4.9952894224190164e-05,2.3082609353897277e-05
S031,test,power_pred_final,1708,4.999257924750977e-05,1.867880642119568e-05
S032,train,power_pred_cal,7924,2.7755575615628914e-17,2.7755575615628914e-17
S032,valid,power_pred_final,868,4.993642875231186e-05,2.2660345723061707e-05
S032,test,power_pred_final,1708,4.992284872390451e-05,1.8099864673766626e-05
S033,train,power_pred_cal,1545,4.998945870671179e-05,1.9670326051653246e-05
S033,valid,power_pred_final,868,4.999594738119839e-05,2.3738923496670756e-05
S033,test,power_pred_final,1708,4.999739689548477e-05,1.8897432520313095e-05
S034,train,power_pred_cal,543,4.990672313642808e-05,2.056012335554405e-05
S034,valid,power_pred_final,868,4.99164229368354e-05,2.4083341863306364e-05
S034,test,power_pred_final,1708,4.9996939668783824e-05,1.8375779764988323e-05
S035,train,power_pred_cal,9002,4.999813723749469e-05,1.682773118955793e-05
S035,valid,power_pred_final,868,4.9936765538216576e-05,2.3516741135680302e-05
S035,test,power_pred_final,1708,4.998625715380012e-05,1.9030585149535555e-05
S037,train,power_pred_cal,886,4.995619558711972e-05,6.264645947931361e-06
