site_id,split,pred_col,time,pred_json,pred_pkl,diff
S064,train,power_pred_cal,2024-08-29 14:00:00,1.8947,1.8947499999740536,4.9999974053527296e-05
S031,train,power_pred_cal,2023-03-20 17:00:00,0.0647,0.0647499997413849,4.9999741384906815e-05
S064,train,power_pred_cal,2024-05-18 08:00:00,0.7177,0.7176500004952582,4.9999504741826684e-05
S116,train,power_pred_cal,2024-09-30 08:00:00,3.452,3.4520499994460376,4.9999446037674034e-05
S065,valid,power_pred_final,2025-08-13 09:00:00,0.3553,0.35534999939404405,4.999939404404241e-05
S049,train,power_pred_cal,2023-03-02 13:00:00,6.937,6.936950000663624,4.999933637606091e-05
S017,train,power_pred_cal,2023-01-27 11:00:00,0.4259,0.4258500007364974,4.9999263502575886e-05
S017,train,power_pred_cal,2023-01-02 09:00:00,0.1056,0.1056499991690283,4.999916902830026e-05
S022,test,power_pred_final,2025-09-09 17:00:00,0.3495,0.34945000085696026,4.999914303971398e-05
S039,test,power_pred_final,2025-11-23 13:00:00,0.827,0.8270499991317464,4.999913174641435e-05
S073,train,power_pred_cal,2024-06-10 17:00:00,2.6168,2.616849998921218,4.9998921217930814e-05
S069,test,power_pred_final,2025-11-12 15:00:00,0.5833,0.5833499987937996,4.999879379952166e-05
S049,train,power_pred_cal,2023-03-29 11:00:00,7.3528,7.352849998587453,4.99985874524711e-05
S053,train,power_pred_cal,2024-05-20 15:00:00,4.7138,4.713849998468916,4.9998468916179206e-05
S049,valid,power_pred_final,2025-07-02 09:00:00,5.1793,5.179349998411362,4.999841136221761e-05
S018,train,power_pred_cal,2024-09-27 11:00:00,2.8937,2.8937499982050445,4.999820504458796e-05
S028,valid,power_pred_final,2025-07-04 10:00:00,1.8276,1.8276499981396988,4.9998139698859134e-05
S035,train,power_pred_cal,2024-03-02 15:00:00,1.9245,1.9244500018627626,4.999813723749469e-05
S007,train,power_pred_cal,2023-02-22 13:00:00,5.5412,5.541249998136126,4.9998136126383486e-05
S008,valid,power_pred_final,2025-07-19 17:00:00,0.6354,0.6354499981112801,4.9998111280147306e-05
