hour,rows,computed_site_nrmse_mean_pct,computed_city_nrmse_pct
6,1241,5.805275787573165,13.378
7,4668,5.120733921775967,3.294
8,6331,7.256731614177804,1.293
9,6388,10.679775107174798,0.199
10,6403,13.288946683700166,2.674
11,6414,14.684065927547564,2.043
12,6421,15.362772952918565,2.328
13,6419,15.312044441244534,2.555
14,6419,13.508792180566687,2.504
15,6415,9.985493495563363,0.448
16,6341,6.701836741633422,0.459
17,3480,5.4283467160436345,5.142
18,1255,5.341586363562177,11.615
19,693,13.533009224526849,20.141
