hour,metric,before,after,delta
6,site_raw_mean,83.37,72.01,-11.35
6,site_raw_median,62.37,74.47,12.1
6,clip_mape,119.0,76.45,-42.55
6,WAPE,93.88,94.93,1.05
6,city_rel_err,91.57,93.69,2.12
6,>100%站点,3.0,1.0,-2.0
6,>200%站点,3.0,0.0,-3.0
7,site_raw_mean,55.15,58.43,3.28
7,site_raw_median,46.99,56.32,9.33
7,clip_mape,83.0,73.24,-9.77
7,WAPE,70.48,73.61,3.14
7,city_rel_err,60.24,65.51,5.27
7,>100%站点,1.0,0.0,-1.0
7,>200%站点,0.0,0.0,0.0
8,site_raw_mean,41.52,41.14,-0.38
8,site_raw_median,36.85,38.39,1.53
8,clip_mape,52.28,51.64,-0.64
8,WAPE,45.45,44.48,-0.97
8,city_rel_err,32.57,24.74,-7.83
8,>100%站点,0.0,0.0,0.0
8,>200%站点,0.0,0.0,0.0
9,site_raw_mean,34.52,34.19,-0.34
9,site_raw_median,32.68,32.6,-0.07
9,clip_mape,44.28,49.21,4.93
9,WAPE,34.58,33.24,-1.35
9,city_rel_err,18.84,0.6,-18.24
9,>100%站点,0.0,0.0,0.0
9,>200%站点,0.0,0.0,0.0
10,site_raw_mean,31.24,29.96,-1.28
10,site_raw_median,28.08,26.94,-1.14
10,clip_mape,39.55,44.66,5.1
10,WAPE,29.35,28.42,-0.93
10,city_rel_err,13.91,1.31,-12.61
10,>100%站点,0.0,0.0,0.0
10,>200%站点,0.0,0.0,0.0
11,site_raw_mean,28.13,28.61,0.47
11,site_raw_median,25.44,25.02,-0.43
11,clip_mape,41.95,41.81,-0.15
11,WAPE,26.89,26.74,-0.15
11,city_rel_err,10.04,3.27,-6.77
11,>100%站点,0.0,0.0,0.0
11,>200%站点,0.0,0.0,0.0
12,site_raw_mean,29.42,29.75,0.32
12,site_raw_median,26.39,26.15,-0.25
12,clip_mape,45.6,45.15,-0.45
12,WAPE,28.12,27.55,-0.56
12,city_rel_err,11.57,6.42,-5.14
12,>100%站点,0.0,0.0,0.0
12,>200%站点,0.0,0.0,0.0
13,site_raw_mean,30.28,30.75,0.47
13,site_raw_median,28.61,28.01,-0.61
13,clip_mape,45.12,47.03,1.91
13,WAPE,29.66,29.06,-0.6
13,city_rel_err,10.82,3.93,-6.9
13,>100%站点,0.0,0.0,0.0
13,>200%站点,0.0,0.0,0.0
14,site_raw_mean,30.85,32.4,1.55
14,site_raw_median,29.55,30.02,0.47
14,clip_mape,49.31,50.86,1.55
14,WAPE,30.43,30.58,0.15
14,city_rel_err,11.03,4.06,-6.96
14,>100%站点,0.0,0.0,0.0
14,>200%站点,0.0,0.0,0.0
15,site_raw_mean,33.71,36.08,2.37
15,site_raw_median,30.02,33.97,3.95
15,clip_mape,42.5,50.15,7.65
15,WAPE,34.11,35.59,1.49
15,city_rel_err,16.9,1.76,-15.15
15,>100%站点,0.0,0.0,0.0
15,>200%站点,0.0,0.0,0.0
16,site_raw_mean,39.57,44.99,5.42
16,site_raw_median,35.28,41.01,5.74
16,clip_mape,52.14,66.0,13.86
16,WAPE,47.31,49.72,2.41
16,city_rel_err,26.77,11.0,-15.77
16,>100%站点,0.0,0.0,0.0
16,>200%站点,0.0,0.0,0.0
17,site_raw_mean,57.01,53.74,-3.27
17,site_raw_median,48.9,49.23,0.33
17,clip_mape,114.17,111.53,-2.64
17,WAPE,73.91,73.78,-0.13
17,city_rel_err,56.62,57.06,0.44
17,>100%站点,0.0,1.0,1.0
17,>200%站点,0.0,0.0,0.0
18,site_raw_mean,97.84,66.73,-31.12
18,site_raw_median,93.12,48.69,-44.44
18,clip_mape,121.77,89.53,-32.24
18,WAPE,94.39,91.82,-2.57
18,city_rel_err,88.51,87.92,-0.59
18,>100%站点,18.0,4.0,-14.0
18,>200%站点,2.0,2.0,0.0
19,site_raw_mean,81.42,79.13,-2.28
19,site_raw_median,97.44,96.42,-1.02
19,clip_mape,71.73,67.74,-3.99
19,WAPE,95.81,94.71,-1.1
19,city_rel_err,95.77,94.08,-1.69
19,>100%站点,1.0,1.0,0.0
19,>200%站点,0.0,0.0,0.0
