site_id,valid_rows,valid_active_rows,baseline_mape_active,calibrated_mape_active,baseline_score,calibrated_score,a,b,enable_calibration,reason
S001,799,672,77.3904117041844,75.39901299023049,54.92812759122068,54.48953295935532,1.0,0.0,False,no_improvement
S002,4001,3283,55.43329367729248,50.09740763586847,39.50673237432058,36.984010890944674,0.95,-0.09,True,improved
S003,7350,5783,33.14122692558449,32.58362767396329,24.9720824969603,24.355136826476702,0.95,0.1,True,improved
S004,3711,3175,46.55287951719589,43.08731139044726,32.609621539552236,31.175887587316605,0.95,-0.06999999999999998,True,improved
S006,2914,2386,92.75543580329196,78.62604357181432,68.62288889091244,58.71277030120606,0.95,-0.1,True,improved
S007,13737,11437,36.776205512754316,36.387731508515515,25.12182262371978,24.848852140364542,1.0,0.0,False,no_improvement
S008,4387,3587,44.27243815399493,43.21133202637574,30.40950391429154,29.76608592085633,0.95,0.07000000000000003,True,improved
S009,6015,4831,99.93702428035628,85.16745367105904,78.7055605868672,68.47453380053302,0.95,0.20000000000000004,True,improved
S010,13857,10930,30.818630915058908,30.06914248636737,22.700375172137942,22.013291053691493,0.96,0.05000000000000003,True,improved
S011,13929,11121,30.86204282465243,30.647387256891744,22.768608375285428,22.237975127635544,1.01,0.030000000000000034,True,improved
S012,3143,1710,37.7139547022249,36.93943648095968,27.49337333437353,27.255026731941925,1.0,0.0,False,no_improvement
S014,3279,2597,48.496736200005486,45.686759300256234,33.931483005573945,32.82121430977213,0.95,-0.06999999999999998,True,improved
S016,3409,3083,48.90976617274988,45.103699236680725,33.77125877980996,31.83848081215803,0.95,-0.1,True,improved
S017,6844,5451,43.0231057337056,42.49848010184157,31.328595939640483,30.82299001056265,1.0,0.0,False,no_improvement
S018,8631,7399,35.65998769446545,34.492971774769444,25.299783476830893,24.459924432799852,0.95,0.13,True,improved
S019,13435,11226,35.94504663806033,35.34298884390253,26.914434588362948,25.9826219438461,1.0,0.08000000000000004,True,improved
S020,5231,4291,96.48259784031737,78.4802466089465,75.63140452805716,63.12439151197998,0.95,0.20000000000000004,True,improved
S021,3759,3237,88.70080754413264,64.19427830672697,70.2111246411838,52.23191380595992,0.95,0.20000000000000004,True,improved
S022,13111,10337,41.44613185532916,39.93434476009141,32.92489862087139,31.075304234734915,0.95,0.11000000000000001,True,improved
S023,13209,10661,30.3041502507164,29.484134956373392,21.946701552303505,21.306323406127003,0.98,0.2,True,improved
S024,10256,8458,32.17036241240283,30.702286792302893,23.25706300144996,22.085929758877533,0.95,0.16999999999999998,True,improved
S025,7371,6391,37.18164717302799,35.05402281756793,27.44033822973142,25.721530458203198,0.95,0.20000000000000004,True,improved
S028,5632,5002,37.232616757747,36.14993003818209,26.914491558024523,25.977274201408395,0.95,0.1,True,improved
S030,13753,11278,36.83153127086701,36.56004249529903,26.681878010074307,26.186045790203966,1.0,0.0,False,no_improvement
S031,12550,10841,30.30795783237296,30.08062675931582,22.394711388321383,21.908428505249994,1.01,0.010000000000000023,True,improved
S032,8960,6831,95.41553750604722,82.58605448092779,74.92388954459454,66.06152422234386,0.95,0.20000000000000004,True,improved
S033,4500,3785,40.49409143078128,39.480331077079754,28.333259254934244,27.830065856388565,1.0,0.0,False,no_improvement
S034,3126,2824,45.908699600407445,44.21493655446062,32.31295263124862,31.817599432931928,1.0,0.0,False,no_improvement
S035,9926,8239,38.611072357484474,37.016226368914644,27.62152584875598,26.390941324556007,0.95,0.16,True,improved
S037,1648,1427,53.369358109132136,47.21359594347541,35.434473558239425,32.1423447953065,0.95,-0.1,True,improved
S038,3518,3015,43.38758491824781,42.262207589477775,30.989710892115795,30.584068039907113,1.0,0.0,False,no_improvement
