hour,n,city_rel_err_before,city_rel_err_after,delta_cre,clip_before,clip_after,mape_before,mape_after,delta_mape,wape_before,wape_after
6,1143,95.51,93.69,-1.82,74.98,76.45,74.98,76.45,1.47,95.85,94.93
7,4309,76.11,65.51,-10.59,70.76,73.24,70.76,73.24,2.48,79.17,73.61
8,6174,44.75,24.74,-20.01,50.8,51.64,51.82,53.25,1.42,52.24,44.48
9,6289,21.15,0.6,-20.55,43.29,49.21,44.55,51.11,6.56,35.73,33.24
10,6326,14.23,1.31,-12.92,39.45,44.66,41.11,47.05,5.94,29.52,28.42
11,6339,14.74,3.27,-11.47,38.58,41.81,39.83,43.64,3.82,28.67,26.74
12,6352,15.98,6.42,-9.56,41.85,45.15,42.86,46.62,3.76,29.85,27.55
13,6345,14.0,3.93,-10.07,42.7,47.03,44.15,49.03,4.88,30.82,29.06
14,6334,16.37,4.06,-12.3,45.54,50.86,46.77,52.52,5.74,32.23,30.58
15,6313,18.09,1.76,-16.33,43.56,50.15,43.93,50.73,6.79,34.79,35.59
16,6173,35.49,11.0,-24.5,51.47,66.0,51.92,66.96,15.04,50.15,49.72
17,3180,72.46,57.06,-15.4,66.48,111.53,66.48,111.53,45.05,77.2,73.78
18,1143,92.16,87.92,-4.24,77.05,89.53,77.05,89.53,12.48,93.41,91.82
19,682,95.77,94.08,-1.69,71.73,67.74,74.47,70.69,-3.77,95.81,94.71
