site_id,json_rows,matched_rows,missing_in_source,bad_value_rows,max_abs_diff,status
S002,2576,2576,0,0,4.440892098500626e-16,PASS
S003,2576,2576,0,0,4.440892098500626e-16,PASS
S004,2576,2576,0,0,4.440892098500626e-16,PASS
S006,2576,2576,0,0,2.220446049250313e-16,PASS
S007,2576,2576,0,0,8.881784197001252e-16,PASS
S008,2576,2576,0,0,4.440892098500626e-16,PASS
S009,2576,2576,0,0,4.440892098500626e-16,PASS
S010,2576,2576,0,0,2.220446049250313e-16,PASS
S011,2576,2576,0,0,2.220446049250313e-16,PASS
S012,2576,2576,0,0,8.881784197001252e-16,PASS
S014,2576,2576,0,0,4.440892098500626e-16,PASS
S016,2576,2576,0,0,8.881784197001252e-16,PASS
S017,2576,2576,0,0,1.1102230246251565e-16,PASS
S018,2576,2576,0,0,4.440892098500626e-16,PASS
S019,2576,2576,0,0,4.440892098500626e-16,PASS
S020,2576,2576,0,0,4.440892098500626e-16,PASS
S021,2576,2576,0,0,2.220446049250313e-16,PASS
S022,2576,2576,0,0,4.440892098500626e-16,PASS
S023,2576,2576,0,0,8.881784197001252e-16,PASS
S024,2576,2576,0,0,4.440892098500626e-16,PASS
S025,2576,2576,0,0,4.440892098500626e-16,PASS
S028,2576,2576,0,0,4.440892098500626e-16,PASS
S030,2576,2576,0,0,4.440892098500626e-16,PASS
S031,2576,2576,0,0,1.1102230246251565e-16,PASS
S032,2576,2576,0,0,8.881784197001252e-16,PASS
S033,2576,2576,0,0,4.440892098500626e-16,PASS
S034,2576,2576,0,0,4.440892098500626e-16,PASS
S035,2576,2576,0,0,4.440892098500626e-16,PASS
S037,2576,2576,0,0,4.440892098500626e-16,PASS
S038,2576,2576,0,0,2.220446049250313e-16,PASS
S039,2576,2576,0,0,4.440892098500626e-16,PASS
S040,2576,2576,0,0,8.881784197001252e-16,PASS
S041,2576,2576,0,0,2.220446049250313e-16,PASS
S042,2576,2576,0,0,4.440892098500626e-16,PASS
S044,2576,2576,0,0,0.0,PASS
S045,2576,2576,0,0,4.440892098500626e-16,PASS
S046,2576,2576,0,0,4.440892098500626e-16,PASS
S047,2576,2576,0,0,4.440892098500626e-16,PASS
S048,2576,2576,0,0,4.440892098500626e-16,PASS
S049,2576,2576,0,0,8.881784197001252e-16,PASS
S050,2576,2576,0,0,2.220446049250313e-16,PASS
S051,2576,2576,0,0,4.440892098500626e-16,PASS
S052,2576,2576,0,0,8.881784197001252e-16,PASS
S053,2576,2576,0,0,8.881784197001252e-16,PASS
S054,2576,2576,0,0,8.881784197001252e-16,PASS
S055,2576,2576,0,0,4.440892098500626e-16,PASS
S056,2576,2576,0,0,2.220446049250313e-16,PASS
S058,2576,2576,0,0,8.881784197001252e-16,PASS
S059,2576,2576,0,0,2.220446049250313e-16,PASS
S060,2576,2576,0,0,4.440892098500626e-16,PASS
S061,2576,2576,0,0,4.440892098500626e-16,PASS
S062,2576,2576,0,0,4.440892098500626e-16,PASS
S063,2576,2576,0,0,4.440892098500626e-16,PASS
S064,2576,2576,0,0,4.440892098500626e-16,PASS
S065,2576,2576,0,0,2.220446049250313e-16,PASS
S066,2576,2576,0,0,4.440892098500626e-16,PASS
S068,2576,2576,0,0,1.1102230246251565e-16,PASS
S069,2576,2576,0,0,0.0,PASS
S070,2576,2576,0,0,2.220446049250313e-16,PASS
S071,2576,2576,0,0,8.881784197001252e-16,PASS
S072,2576,2576,0,0,4.440892098500626e-16,PASS
S073,2576,2576,0,0,8.881784197001252e-16,PASS
S074,2576,2576,0,0,4.440892098500626e-16,PASS
S075,2576,2576,0,0,2.220446049250313e-16,PASS
S076,2576,2576,0,0,8.881784197001252e-16,PASS
S077,2576,2576,0,0,1.1102230246251565e-16,PASS
S115,2576,2576,0,0,8.881784197001252e-16,PASS
S116,2576,2576,0,0,8.881784197001252e-16,PASS
