site_id,json_rows,matched_rows,missing_in_power_clean,max_abs_diff_power_clean,bad_rows
S002,2576,2576,0,4.440892098500626e-16,0
S003,2576,2576,0,4.440892098500626e-16,0
S004,2576,2576,0,4.440892098500626e-16,0
S006,2576,2576,0,2.220446049250313e-16,0
S007,2576,2576,0,8.881784197001252e-16,0
S008,2576,2576,0,4.440892098500626e-16,0
S009,2576,2576,0,4.440892098500626e-16,0
S010,2576,2576,0,2.220446049250313e-16,0
S011,2576,2576,0,2.220446049250313e-16,0
S012,2576,2576,0,8.881784197001252e-16,0
S014,2576,2576,0,4.440892098500626e-16,0
S016,2576,2576,0,8.881784197001252e-16,0
S017,2576,2576,0,1.1102230246251565e-16,0
S018,2576,2576,0,4.440892098500626e-16,0
S019,2576,2576,0,4.440892098500626e-16,0
S020,2576,2576,0,4.440892098500626e-16,0
S021,2576,2576,0,2.220446049250313e-16,0
S022,2576,2576,0,4.440892098500626e-16,0
S023,2576,2576,0,8.881784197001252e-16,0
S024,2576,2576,0,4.440892098500626e-16,0
S025,2576,2576,0,4.440892098500626e-16,0
S028,2576,2576,0,4.440892098500626e-16,0
S030,2576,2576,0,4.440892098500626e-16,0
S031,2576,2576,0,1.1102230246251565e-16,0
S032,2576,2576,0,8.881784197001252e-16,0
S033,2576,2576,0,4.440892098500626e-16,0
S034,2576,2576,0,4.440892098500626e-16,0
S035,2576,2576,0,4.440892098500626e-16,0
S037,2576,2576,0,4.440892098500626e-16,0
S038,2576,2576,0,2.220446049250313e-16,0
S039,2576,2576,0,4.440892098500626e-16,0
S040,2576,2576,0,8.881784197001252e-16,0
S041,2576,2576,0,2.220446049250313e-16,0
S042,2576,2576,0,4.440892098500626e-16,0
S044,2576,2576,0,0.0,0
S045,2576,2576,0,4.440892098500626e-16,0
S046,2576,2576,0,4.440892098500626e-16,0
S047,2576,2576,0,4.440892098500626e-16,0
S048,2576,2576,0,4.440892098500626e-16,0
S049,2576,2576,0,8.881784197001252e-16,0
S050,2576,2576,0,2.220446049250313e-16,0
S051,2576,2576,0,4.440892098500626e-16,0
S052,2576,2576,0,8.881784197001252e-16,0
S053,2576,2576,0,8.881784197001252e-16,0
S054,2576,2576,0,8.881784197001252e-16,0
S055,2576,2576,0,4.440892098500626e-16,0
S056,2576,2576,0,2.220446049250313e-16,0
S058,2576,2576,0,8.881784197001252e-16,0
S059,2576,2576,0,2.220446049250313e-16,0
S060,2576,2576,0,4.440892098500626e-16,0
S061,2576,2576,0,4.440892098500626e-16,0
S062,2576,2576,0,4.440892098500626e-16,0
S063,2576,2576,0,4.440892098500626e-16,0
S064,2576,2576,0,4.440892098500626e-16,0
S065,2576,2576,0,2.220446049250313e-16,0
S066,2576,2576,0,4.440892098500626e-16,0
S068,2576,2576,0,1.1102230246251565e-16,0
S069,2576,2576,0,0.0,0
S070,2576,2576,0,2.220446049250313e-16,0
S071,2576,2576,0,8.881784197001252e-16,0
S072,2576,2576,0,4.440892098500626e-16,0
S073,2576,2576,0,8.881784197001252e-16,0
S074,2576,2576,0,4.440892098500626e-16,0
S075,2576,2576,0,2.220446049250313e-16,0
S076,2576,2576,0,8.881784197001252e-16,0
S077,2576,2576,0,1.1102230246251565e-16,0
S115,2576,2576,0,8.881784197001252e-16,0
S116,2576,2576,0,8.881784197001252e-16,0
