hour,n_samples,n_modified,guard_passed,city_rel_err_before,city_rel_err_after,city_rel_err_delta,clipped_mape_before,clipped_mape_after,clipped_mape_delta,raw_mape_before,raw_mape_after,raw_mape_delta,wape_before,wape_after,wape_delta
6,1143,60,True,95.5276,95.5221,-0.0055,46.7398,46.722,-0.0178,75.066,74.9729,-0.0931,95.8714,95.8659,-0.0055
7,4309,200,True,76.1767,76.0677,-0.1091,40.7643,40.6952,-0.0692,70.7863,70.7256,-0.0607,79.2265,79.1309,-0.0957
8,6174,0,,44.7507,44.7507,0.0,43.9207,43.9207,0.0,51.8247,51.8247,0.0,52.2417,52.2417,0.0
9,6289,0,,21.1452,21.1452,0.0,38.1479,38.1479,0.0,44.5547,44.5547,0.0,35.7252,35.7252,0.0
10,6326,0,,14.227,14.227,0.0,35.7023,35.7023,0.0,41.1095,41.1095,0.0,29.516,29.516,0.0
11,6339,0,,14.7395,14.7395,0.0,35.5546,35.5546,0.0,39.8273,39.8273,0.0,28.667,28.667,0.0
12,6352,0,,15.9815,15.9815,0.0,38.3322,38.3322,0.0,42.8632,42.8632,0.0,29.8478,29.8478,0.0
13,6345,0,,13.9956,13.9956,0.0,39.3454,39.3454,0.0,44.1519,44.1519,0.0,30.8202,30.8202,0.0
14,6334,0,,16.3652,16.3652,0.0,40.3127,40.3127,0.0,46.7715,46.7715,0.0,32.2316,32.2316,0.0
15,6313,0,,18.0871,18.0871,0.0,37.9061,37.9061,0.0,43.9329,43.9329,0.0,34.7884,34.7884,0.0
16,6173,0,True,35.494,35.494,0.0,38.9161,38.9161,0.0,51.9194,51.9194,0.0,50.1469,50.1469,0.0
17,3180,416,True,72.462,72.3239,-0.1382,36.2959,36.1524,-0.1435,66.4786,66.3081,-0.1705,77.1986,77.0767,-0.1219
18,1143,207,False,92.1631,92.1631,0.0,44.6095,44.6095,0.0,77.0524,77.0524,0.0,93.4132,93.4132,0.0
19,682,9,True,95.7749,95.7749,-0.0,63.7854,63.7853,-0.0001,74.4681,74.4679,-0.0001,95.8122,95.8122,-0.0
