hour,n_samples,city_rel_err_before,city_rel_err_after,city_rel_err_delta,clipped_mape_before,clipped_mape_after,mape_before,mape_after,mape_delta
6,1143,91.52,91.56,0.04,118.13,118.06,118.13,118.06,-0.06
7,4309,58.98,59.1,0.12,80.29,80.31,80.29,80.31,0.02
8,6174,32.57,32.57,0.0,52.28,52.28,54.45,54.45,0.0
9,6289,18.84,18.84,0.0,44.28,44.28,46.19,46.19,0.0
10,6326,13.91,13.91,0.0,39.55,39.55,41.3,41.3,0.0
11,6339,10.04,10.04,0.0,41.95,41.95,44.27,44.27,0.0
12,6352,11.57,11.57,0.0,45.6,45.6,46.98,46.98,0.0
13,6345,10.82,10.82,0.0,45.12,45.12,46.88,46.88,0.0
14,6334,11.03,11.03,0.0,49.31,49.31,50.93,50.93,0.0
15,6313,16.9,16.9,0.0,42.5,42.5,43.01,43.01,0.0
16,6173,22.54,22.54,0.0,57.22,57.22,58.05,58.05,0.0
17,3180,54.17,54.17,0.0,131.73,131.73,131.73,131.73,0.0
18,1143,88.51,88.51,0.0,121.77,121.77,121.77,121.77,0.0
19,682,95.77,95.77,0.0,71.72,71.72,74.46,74.46,0.0
