site_id,capacity_mw,rows,soft_rate,hard_rate,mean_run_len,weighted_soft_rate
S071,20.0,26304,0.016689476885644768,0.013001824817518248,7.734341252699784,0.3337895377128953
S003,4.1667,20470,0.06829506595017099,0.06106497313141182,7.508426966292135,0.28456505129457743
S054,11.272,8416,0.023051330798479087,0.018179657794676805,7.384236453201971,0.2598346007604563
S045,2.915,6977,0.04944818689981367,0.04643829726243371,8.94236311239193,0.14414146481295687
S040,5.96,6368,0.01821608040201005,0.016959798994974875,8.813559322033898,0.1085678391959799
S035,5.296,19856,0.01868452860596293,0.01435334407735697,6.71875,0.09895326349717969
S024,5.99,21328,0.015238184546136534,0.010830832708177045,6.298245614035087,0.09127672543135784
S053,13.33,26304,0.005284367396593674,0.004600060827250608,6.062068965517241,0.07044061739659367
S037,5.946,5944,0.011271870794078062,0.00958950201884253,7.117647058823529,0.06702254374158816
S073,15.0,17949,0.004234219176555797,0.0036770850743774027,6.978021978021978,0.06351328764833696
S062,4.45368,26304,0.013153892944038929,0.010948905109489052,7.540106951871658,0.0585832299270073
S077,0.901,26304,0.05892639902676399,0.054668491484184914,8.4106463878327,0.05309268552311436
S049,14.1,26304,0.003725669099756691,0.0028132603406326034,6.9655172413793105,0.05253193430656934
S025,5.65,14343,0.00892421390225197,0.008087568848915847,7.814285714285714,0.05042180854772363
S017,0.954,26304,0.05166514598540146,0.039043491484184914,7.1924746743849495,0.049288549270072986
S034,3.496,5351,0.014016071762287422,0.012334143150812932,7.258823529411765,0.04900018688095683
S061,3.784,6041,0.012249627545108426,0.011421950008276775,8.707317073170731,0.046352590630690284
S076,5.0,5902,0.007455099966113182,0.00626906133514063,6.829787234042553,0.03727549983056591
S055,4.0,5897,0.008478887569950822,0.006443954553162625,7.444444444444445,0.03391555027980329
S044,8.492,7264,0.003579295154185022,0.0031662995594713655,6.857142857142857,0.03039537444933921
S063,3.66,5900,0.007627118644067797,0.006610169491525424,6.730769230769231,0.027915254237288138
S038,1.672,5902,0.01592680447305998,0.013554727211114876,8.6,0.026629617078956284
S019,3.0,26304,0.008819951338199513,0.006843065693430657,6.717472118959108,0.02645985401459854
S072,3.125,19856,0.007806204673650282,0.004885173247381144,5.6892655367231635,0.02439438960515713
S014,5.1,5902,0.004574720433751271,0.0018637749915282956,4.2727272727272725,0.02333107421213148
S016,8.5,5912,0.0027063599458728013,0.0016914749661705007,4.117647058823529,0.02300405953991881
S052,6.08,11984,0.003755006675567423,0.0032543391188251,9.333333333333334,0.022830440587449933
S059,2.0,26304,0.010530717761557177,0.008972019464720194,7.6976744186046515,0.021061435523114354
S058,5.99,26304,0.003117396593673966,0.0024711070559610706,6.872340425531915,0.018673205596107058
S047,4.8,22976,0.003612465181058496,0.0028725626740947075,6.923076923076923,0.01733983286908078
S051,5.025,5902,0.003049813622500847,0.0010166045408336157,3.6666666666666665,0.015325313453066758
S018,5.1,16102,0.0028567879766488633,0.0022357471121599803,6.230769230769231,0.014569618680909202
S022,3.24,26304,0.004219890510948905,0.003117396593673966,5.666666666666667,0.013672445255474454
S007,22.0,26304,0.0005322384428223844,0.00030413625304136254,3.6153846153846154,0.011709245742092457
S068,1.223,26304,0.009390206812652069,0.0072992700729927005,6.762081784386617,0.011484222931873482
S070,2.1,26304,0.005322384428223844,0.004638077858880779,6.551724137931035,0.011177007299270073
S065,1.9239,26304,0.005626520681265207,0.004486009732360097,7.023952095808383,0.01082486313868613
S060,5.84,6152,0.001625487646293888,0.0014629388816644994,7.571428571428571,0.009492847854356307
S064,3.288,26304,0.00239507299270073,0.0015967153284671533,4.733333333333333,0.007875
S074,4.0,8729,0.0017184098980410128,0.0013747279184328101,4.578947368421052,0.006873639592164051
S011,2.323,26304,0.002775243309002433,0.002014902676399027,6.247058823529412,0.006446890206812652
S075,2.63,6994,0.002287675150128682,0.0017157563625965113,5.916666666666667,0.006016585644838433
S030,2.9,26304,0.0019768856447688566,0.0008743917274939173,4.411764705882353,0.005732968369829684
S048,4.0,5901,0.0013557024233180816,0.0,2.6470588235294117,0.0054228096932723265
S033,5.688,7073,0.0008482963381874735,0.0008482963381874735,4.2,0.004825109571610349
S042,3.724,9713,0.0012354576340986307,0.0012354576340986307,4.875,0.004600844229383301
S002,3.3,5901,0.0013557024233180816,0.0,3.6,0.004473817996949669
S028,3.14,10487,0.0011442738628778487,0.0,3.5,0.003593019929436445
S041,2.2,17600,0.0013636363636363637,0.0011931818181818183,5.117647058823529,0.0030000000000000005
S031,0.9222,26304,0.002166970802919708,0.0008363746958637469,4.945205479452055,0.0019983804744525546
S004,3.97,6041,0.0004966065220989903,0.0,1.6666666666666667,0.0019715278927329915
S023,16.37,26304,0.00011405109489051095,0.0,1.4285714285714286,0.0018670164233576642
S056,3.15,6041,0.0004966065220989903,0.0,1.6666666666666667,0.0015643105446118194
S010,2.0,26304,0.0007603406326034064,0.0002281021897810219,1.5988700564971752,0.0015206812652068127
S012,17.55,5897,0.0,0.0,1.5,0.0
S006,5.0,5943,0.0,0.0,1.0,0.0
S039,3.45,5897,0.0,0.0,1.6666666666666667,0.0
S008,3.172,6596,0.0,0.0,1.6666666666666667,0.0
S069,3.0,5900,0.0,0.0,,0.0
S050,2.55,5897,0.0,0.0,1.5,0.0
