hour,selected_version,is_final_guard_rollback,is_mae_rmse_guard_rollback,is_midday_nrmse_priority,score,mae,rmse,city_rel_err,site_mape_raw_mean,site_mape_clipped,site_wape,n_gt100,n_gt200,nrmse_capacity_pct,site_nrmse_mean_pct,pred_actual_ratio,ratio_abs_err
6,V1,False,False,0,16.1346,0.2318,0.6085,62.2117,68.1773,48.3854,74.7679,0,0,10.34,4.9825,0.377883,57.0917
7,BlendTotal_a10,False,False,0,6.1525,0.3182,0.5588,17.314,35.2808,39.5305,36.0264,1,0,9.5013,6.9006,0.82686,12.194
8,BlendTotal_a10,False,False,0,6.2455,0.5353,0.8615,11.2692,34.6748,49.0997,34.3928,1,0,14.6628,11.4687,0.887308,6.1492
9,BlendTotal_a10,False,False,0,7.0236,0.7492,1.1956,7.7146,35.0719,56.158,34.4105,1,0,20.3409,15.7179,0.922854,2.5946
10,Round6StableBias,False,False,1,11.2319,0.7878,1.299,3.8367,30.6003,53.5693,29.9106,0,0,22.1069,17.1991,0.961633,1.2833
11,Round6StableBias,False,False,1,12.4535,0.871,1.4072,4.1362,30.6681,51.489,30.1584,0,0,23.9536,19.1052,0.958638,0.9838
12,Round6StableBias,False,False,1,13.0407,0.9083,1.4549,3.7413,31.6015,51.0234,30.5133,0,0,24.7685,20.0579,0.962587,1.3787
13,Round6StableBias,False,False,1,12.8597,0.9086,1.4375,3.3166,32.346,52.8838,31.4284,0,0,24.4754,19.7985,0.966834,1.8034
14,Round6StableBias,False,False,1,12.4065,0.855,1.3255,3.7826,33.6387,55.9479,32.0118,0,0,22.5715,19.0786,0.962174,1.3374
15,BlendTotal_a10,False,False,0,7.3694,0.7888,1.2199,8.745,37.2028,59.7325,35.7238,1,0,20.755,17.2013,0.91255,3.625
16,BlendTotal_a10,False,False,0,7.6495,0.6336,0.9946,14.8008,38.6588,56.7567,38.0729,1,0,16.9354,14.0,0.851992,9.6808
17,V1,False,False,0,9.5043,0.4405,0.8094,27.6507,40.3106,46.4819,44.3901,0,0,13.824,9.2702,0.723493,22.5307
18,V1,False,False,0,6.9102,0.2019,0.4582,23.3892,43.5021,39.2456,50.106,0,0,7.8008,4.4779,0.766108,18.2692
19,V1,False,False,0,22.4844,0.3202,1.0839,68.8078,123.734,35.394,114.3399,22,5,18.5246,5.1041,0.311922,63.6878
